lockitver|DO NOT DELETE THIS LINE! 2896
itm_sarranid_horseman_helmet_pl|Reiterhelm
itm_sarranid_helmet1|Sarranidischer Keffiyeh-Helm
itm_sarranid_helmet1_pl|Sarranidischer Keffiyeh-Helm
itm_sarranid_mail_coif|Sarranidische Kettenhaube
itm_sarranid_mail_coif_pl|Sarranidische Kettenhaube
itm_sarranid_veiled_helmet|Sarranidischer Schleierhelm
itm_sarranid_veiled_helmet_pl|Sarranidischer Schleierhelm
itm_nordic_archer_helmet|Nordischer Lederhelm
itm_nordic_archer_helmet_pl|Nordischer Lederhelm
itm_nordic_veteran_archer_helmet|Nordischer Lederhelm
itm_nordic_veteran_archer_helmet_pl|Nordischer Lederhelm
itm_nordic_footman_helmet|Nordischer Fußsoldatenhelm
itm_nordic_footman_helmet_pl|Nordischer Fußsoldatenhelm
itm_nordic_fighter_helmet|Nordischer Kriegerhelm
itm_nordic_fighter_helmet_pl|Nordischer Kriegerhelm
itm_nordic_huscarl_helmet|Nordischer Huscarlhelm
itm_nordic_huscarl_helmet_pl|Nordischer Huscarlhelm
itm_nordic_warlord_helmet|Nordischer Kriegsfürstenhelm
itm_nordic_warlord_helmet_pl|Nordischer Kriegsfürstenhelm
itm_vaegir_fur_cap|Kappe mit Fell
itm_vaegir_fur_cap_pl|Kappe mit Fell
itm_vaegir_fur_helmet|Vaegir-Helm
itm_vaegir_fur_helmet_pl|Vaegir-Helm
itm_vaegir_spiked_helmet|Dornenkappe
itm_vaegir_spiked_helmet_pl|Dornenkappe
itm_vaegir_lamellar_helmet|Helm mit Lamellenschutz
itm_vaegir_lamellar_helmet_pl|Helm mit Lamellenschutz
itm_vaegir_noble_helmet|Vaegir-Edelmannhelm
itm_vaegir_noble_helmet_pl|Vaegir-Edelmannhelm
itm_vaegir_war_helmet|Vaegir-Kriegshelm
itm_vaegir_war_helmet_pl|Vaegir-Kriegshelm
itm_vaegir_mask|Vaegir-Kriegsmaske
itm_vaegir_mask_pl|Vaegir-Kriegsmaske
itm_bascinet|Beckenhaube
itm_bascinet_pl|Beckenhaube
itm_bascinet_2|Beckenhaube mit Brünne
itm_bascinet_2_pl|Beckenhaube mit Brünne
itm_bascinet_3|Beckenhaube mit Nasenschutz
itm_bascinet_3_pl|Beckenhaube mit Nasenschutz
itm_guard_helmet|Wachhelm
itm_guard_helmet_pl|Wachhelm
itm_black_helmet|Schwarzer Helm
itm_black_helmet_pl|Schwarzer Helm
itm_full_helm|Vollhelm
itm_full_helm_pl|Vollhelm
itm_great_helmet|Topfhelm
itm_great_helmet_pl|Topfhelm
itm_winged_great_helmet|Geflügelter Topfhelm
itm_winged_great_helmet_pl|Geflügelter Topfhelm
itm_wooden_stick|Holzstock
itm_wooden_stick_pl|Holzstock
itm_cudgel|Keule
itm_cudgel_pl|Keule
itm_hammer|Hammer
itm_hammer_pl|Hammer
itm_club|Knüppel
itm_club_pl|Knüppel
itm_winged_mace|Lamellen-Streitkolben
itm_winged_mace_pl|Lamellen-Streitkolben
itm_spiked_mace|Bedornter Streitkolben
itm_spiked_mace_pl|Bedornter Streitkolben
itm_military_hammer|Militärhammer
itm_military_hammer_pl|Militärhammer
itm_maul|Spalthammer
itm_maul_pl|Spalthammer
itm_sledgehammer|Vorschlaghammer
itm_sledgehammer_pl|Vorschlaghammer
itm_warhammer|Großer Hammer
itm_warhammer_pl|Großer Hammer
itm_pickaxe|Spitzhacke
itm_pickaxe_pl|Spitzhacke
itm_spiked_club|Bedornter Knüppel
itm_spiked_club_pl|Bedornter Knüppel
itm_fighting_pick|Kampfspieß
itm_fighting_pick_pl|Kampfspieß
itm_military_pick|Militärspieß
itm_military_pick_pl|Militärspieß
itm_morningstar|Morgenstern
itm_morningstar_pl|Morgenstern
itm_sickle|Sichel
itm_sickle_pl|Sichel
itm_cleaver|Hackmesser
itm_cleaver_pl|Hackmesser
itm_knife|Messer
itm_knife_pl|Messer
itm_butchering_knife|Metzgermesser
itm_butchering_knife_pl|Metzgermesser
itm_dagger|Dolch
itm_dagger_pl|Dolch
itm_falchion|Falchion
itm_falchion_pl|Falchion
itm_scimitar|Krummsäbel
itm_scimitar_pl|Krummsäbel
itm_scimitar_b|Elite-Krummsäbel
itm_scimitar_b_pl|Elite-Krummsäbel
itm_arabian_sword_a|Sarranidisches Schwert
itm_arabian_sword_a_pl|Sarranidisches Schwert
itm_arabian_sword_b|Sarranidisches Breitschwert
itm_arabian_sword_b_pl|Sarranidisches Breitschwert
itm_sarranid_cavalry_sword|Sarranidisches Kavalleristenschwert
itm_sarranid_cavalry_sword_pl|Sarranidisches Kavalleristenschwert
itm_arabian_sword_d|Sarranidisches Wächterschwert
itm_arabian_sword_d_pl|Sarranidisches Wächterschwert
itm_great_sword|Langschwert
itm_great_sword_pl|Langschwert
itm_sword_of_war|Kriegsschwert
itm_sword_of_war_pl|Kriegsschwert
itm_hatchet|Kriegsbeil
itm_hatchet_pl|Kriegsbeil
itm_hand_axe|Handaxt
itm_hand_axe_pl|Handaxt
itm_fighting_axe|Kampfaxt
itm_fighting_axe_pl|Kampfaxt
itm_axe|Axt
itm_axe_pl|Axt
itm_voulge|Landsknechtsspieß
itm_voulge_pl|Landsknechtsspieß
itm_battle_axe|Streitaxt
itm_battle_axe_pl|Streitaxt
itm_war_axe|Kriegsaxt
itm_war_axe_pl|Kriegsaxt
itm_sword_two_handed_b|Zweihänder
itm_sword_two_handed_b_pl|Zweihänder
itm_sword_two_handed_a|Langschwert
itm_sword_two_handed_a_pl|Langschwert
itm_khergit_sword_two_handed_a|Zweihandsäbel
itm_khergit_sword_two_handed_a_pl|Zweihandsäbel
itm_khergit_sword_two_handed_b|Zweihandsäbel
itm_khergit_sword_two_handed_b_pl|Zweihandsäbel
itm_two_handed_cleaver|Kriegshackmesser
itm_two_handed_cleaver_pl|Kriegshackmesser
itm_military_cleaver_b|Soldaten-Hackmesser
itm_military_cleaver_b_pl|Soldaten-Hackmesser
itm_military_cleaver_c|Militärhackmesser
itm_military_cleaver_c_pl|Militärhackmesser
itm_military_sickle_a|Militärsichel
itm_military_sickle_a_pl|Militärsichel
itm_bastard_sword_a|Bastardschwert
itm_bastard_sword_a_pl|Bastardschwert
itm_bastard_sword_b|Schweres Bastardschwert
itm_bastard_sword_b_pl|Schweres Bastardschwert
itm_one_handed_war_axe_a|Einhandaxt
itm_one_handed_war_axe_a_pl|Einhandaxt
itm_one_handed_battle_axe_a|Einhand-Kampfaxt
itm_one_handed_battle_axe_a_pl|Einhand-Kampfaxt
itm_one_handed_war_axe_b|Einhand-Kriegsaxt
itm_one_handed_war_axe_b_pl|Einhand-Kriegsaxt
itm_one_handed_battle_axe_b|Einhand-Kampfaxt
itm_one_handed_battle_axe_b_pl|Einhand-Kampfaxt
itm_one_handed_battle_axe_c|Einhand-Kampfaxt
itm_one_handed_battle_axe_c_pl|Einhand-Kampfaxt
itm_two_handed_axe|Zweihandaxt
itm_two_handed_axe_pl|Zweihandaxt
itm_two_handed_battle_axe_2|Zweihand-Kriegsaxt
itm_two_handed_battle_axe_2_pl|Zweihand-Kriegsaxt
itm_shortened_voulge|Gekürzter Landsknechtsspieß
itm_shortened_voulge_pl|Gekürzter Landsknechtsspieß
itm_great_axe|Langaxt
itm_great_axe_pl|Langaxt
itm_long_axe|Langaxt
itm_long_axe_pl|Langaxt
itm_long_axe_alt|Langaxt
itm_long_axe_alt_pl|Langaxt
itm_long_axe_b|Kriegs-Langaxt
itm_long_axe_b_pl|Kriegs-Langaxt
itm_long_axe_b_alt|Kriegs-Langaxt
itm_long_axe_b_alt_pl|Kriegs-Langaxt
itm_long_axe_c|Große Langaxt
itm_long_axe_c_pl|Große Langaxt
itm_long_axe_c_alt|Große Kriegs-Langaxt
itm_long_axe_c_alt_pl|Große Kriegs-Langaxt
itm_bardiche|Berdysch
itm_bardiche_pl|Berdysch
itm_great_bardiche|Großer Berdysch
itm_great_bardiche_pl|Großer Berdysch
itm_long_bardiche|Langberdysch
itm_long_bardiche_pl|Langberdysch
itm_great_long_bardiche|Großer Langberdysch
itm_great_long_bardiche_pl|Großer Langberdysch
itm_hafted_blade_b|Heftklinge
itm_hafted_blade_b_pl|Heftklinge
itm_hafted_blade_a|Heftklinge
itm_hafted_blade_a_pl|Heftklinge
itm_shortened_military_scythe|Gekürzte Militärsense
itm_shortened_military_scythe_pl|Gekürzte Militärsense
itm_sword_medieval_a|Schwert
itm_sword_medieval_a_pl|Schwert
itm_sword_medieval_b|Schwert
itm_sword_medieval_b_pl|Schwert
itm_sword_medieval_b_small|Kurzschwert
itm_sword_medieval_b_small_pl|Kurzschwert
itm_sword_medieval_c|Ritterschwert
itm_sword_medieval_c_pl|Ritterschwert
itm_sword_medieval_c_small|Kurzer Ritterschwert
itm_sword_medieval_c_small_pl|Kurzer Ritterschwert
itm_sword_medieval_c_long|Breitschwert
itm_sword_medieval_c_long_pl|Breitschwert
itm_sword_medieval_d_long|Langes Breitschwert
itm_sword_medieval_d_long_pl|Langes Breitschwert
itm_sword_viking_1|Nordisches Schwert
itm_sword_viking_1_pl|Nordisches Schwert
itm_sword_viking_2|Nordisches Schwert
itm_sword_viking_2_pl|Nordisches Schwert
itm_sword_viking_2_small|Nordisches Kurzschwert
itm_sword_viking_2_small_pl|Nordisches Kurzschwert
itm_sword_viking_3|Nordisches Kriegsschwert
itm_sword_viking_3_pl|Nordisches Kriegsschwert
itm_sword_viking_3_small|Nordisches Kurzschwert
itm_sword_viking_3_small_pl|Nordisches Kurzschwert
itm_sword_khergit_1|Nomadensäbel
itm_sword_khergit_1_pl|Nomadensäbel
itm_sword_khergit_2|Säbel
itm_sword_khergit_2_pl|Säbel
itm_sword_khergit_3|Säbel
itm_sword_khergit_3_pl|Säbel
itm_sword_khergit_4|Schwerer Säbel
itm_sword_khergit_4_pl|Schwerer Säbel
itm_mace_1|Bedornter Knüppel
itm_mace_1_pl|Bedornter Knüppel
itm_mace_2|Nieten-Streitkolben
itm_mace_2_pl|Nieten-Streitkolben
itm_mace_3|Bedornter Streitkolben
itm_mace_3_pl|Bedornter Streitkolben
itm_mace_4|Streitkolben
itm_mace_4_pl|Streitkolben
itm_club_with_spike_head|Knüppel mit Dorn
itm_club_with_spike_head_pl|Knüppel mit Dorn
itm_long_spiked_club|Langer Knüppel mit Dorn
itm_long_spiked_club_pl|Langer Knüppel mit Dorn
itm_long_hafted_knobbed_mace|Langstiel-Streitkolben
itm_long_hafted_knobbed_mace_pl|Langstiel-Streitkolben
itm_long_hafted_spiked_mace|Langstiel-Streitflegel
itm_long_hafted_spiked_mace_pl|Langstiel-Streitflegel
itm_sarranid_two_handed_mace_1|Eiserner Streitkolben
itm_sarranid_two_handed_mace_1_pl|Eiserner Streitkolben
itm_sarranid_mace_1|Eiserner Streitkolben
itm_sarranid_mace_1_pl|Eiserner Streitkolben
itm_sarranid_axe_a|Eiserne Schlachtaxt
itm_sarranid_axe_a_pl|Eiserne Schlachtaxt
itm_sarranid_axe_b|Eiserne Kriegsaxt
itm_sarranid_axe_b_pl|Eiserne Kriegsaxt
itm_sarranid_two_handed_axe_a|Sarranidische Schlachtaxt
itm_sarranid_two_handed_axe_a_pl|Sarranidische Schlachtaxt
itm_sarranid_two_handed_axe_b|Sarranidische Kriegsaxt
itm_sarranid_two_handed_axe_b_pl|Sarranidische Kriegsaxt
itm_scythe|Sense
itm_scythe_pl|Sense
itm_pitch_fork|Mistgabel
itm_pitch_fork_pl|Mistgabel
itm_military_fork|Militärspieß
itm_military_fork_pl|Militärspieß
itm_battle_fork|Kampfspieß
itm_battle_fork_pl|Kampfspieß
itm_boar_spear|Eberspeer
itm_boar_spear_pl|Eberspeer
itm_jousting_lance|Wurzlanze
itm_jousting_lance_pl|Wurzlanze
itm_double_sided_lance|Doppelseitige Lanze
itm_double_sided_lance_pl|Doppelseitige Lanze
itm_glaive|Glefe
itm_glaive_pl|Glefe
itm_poleaxe|Hellebarde
itm_poleaxe_pl|Hellebarde
itm_polehammer|Stangenhammer
itm_polehammer_pl|Stangenhammer
itm_staff|Stab
itm_staff_pl|Stab
itm_quarter_staff|Kampfstab
itm_quarter_staff_pl|Kampfstab
itm_iron_staff|Eisenstab
itm_iron_staff_pl|Eisenstab
itm_shortened_spear|Gekürzter Speer
itm_shortened_spear_pl|Gekürzter Speer
itm_spear|Speer
itm_spear_pl|Speer
itm_bamboo_spear|Bambusspeer
itm_bamboo_spear_pl|Bambusspeer
itm_war_spear|Kriegsspeer
itm_war_spear_pl|Kriegsspeer
itm_military_scythe|Militärsense
itm_military_scythe_pl|Militärsense
itm_light_lance|Leichte Lanze
itm_light_lance_pl|Leichte Lanze
itm_lance|Lanze
itm_lance_pl|Lanze
itm_heavy_lance|Schwere Lanze
itm_heavy_lance_pl|Schwere Lanze
itm_great_lance|Schwere Lanze
itm_great_lance_pl|Schwere Lanze
itm_pike|Pike
itm_pike_pl|Pike
itm_ashwood_pike|Eschenholzpike
itm_ashwood_pike_pl|Eschenholzpike
itm_awlpike|Ahlspieß
itm_awlpike_pl|Ahlspieß
itm_awlpike_long|Langer Ahlspieß
itm_awlpike_long_pl|Langer Ahlspieß
itm_bec_de_corbin_a|Rabenschnabel
itm_bec_de_corbin_a_pl|Rabenschnabel
itm_wooden_shield|Holzschild
itm_wooden_shield_pl|Holzschild
itm_nordic_shield|Nordischer Schild
itm_nordic_shield_pl|Nordischer Schild
itm_fur_covered_shield|Fellbespannter Schild
itm_fur_covered_shield_pl|Fellbespannter Schild
itm_steel_shield|Stahlschild
itm_steel_shield_pl|Stahlschild
itm_plate_covered_round_shield|Platten-Rundschild
itm_plate_covered_round_shield_pl|Platten-Rundschild
itm_leather_covered_round_shield|Lederbespannter Rundschild
itm_leather_covered_round_shield_pl|Lederbespannter Rundschild
itm_hide_covered_round_shield|Hide Covered Round Shield
itm_hide_covered_round_shield_pl|Hide Covered Round Shield
itm_shield_heater_c|Kampfschild
itm_shield_heater_c_pl|Kampfschild
itm_norman_shield_1|Langspitzschild
itm_norman_shield_1_pl|Langspitzschild
itm_norman_shield_2|Langspitzschild
itm_norman_shield_2_pl|Langspitzschild
itm_norman_shield_3|Langspitzschild
itm_norman_shield_3_pl|Langspitzschild
itm_norman_shield_4|Langspitzschild
itm_norman_shield_4_pl|Langspitzschild
itm_norman_shield_5|Langspitzschild
itm_norman_shield_5_pl|Langspitzschild
itm_norman_shield_6|Langspitzschild
itm_norman_shield_6_pl|Langspitzschild
itm_norman_shield_7|Langspitzschild
itm_norman_shield_7_pl|Langspitzschild
itm_norman_shield_8|Langspitzschild
itm_norman_shield_8_pl|Langspitzschild
itm_tab_shield_round_a|Alter Rundschild
itm_tab_shield_round_a_pl|Alter Rundschild
itm_tab_shield_round_b|Einfacher Rundschild
itm_tab_shield_round_b_pl|Einfacher Rundschild
itm_tab_shield_round_c|Rundschild
itm_tab_shield_round_c_pl|Rundschild
itm_tab_shield_round_d|Schwerer Rundschild
itm_tab_shield_round_d_pl|Schwerer Rundschild
itm_tab_shield_round_e|Huscarl-Rundschild
itm_tab_shield_round_e_pl|Huscarl-Rundschild
itm_tab_shield_kite_a|Alter Dracheschild
itm_tab_shield_kite_a_pl|Alter Dracheschild
itm_tab_shield_kite_b|Einfacher Langspitzschild
itm_tab_shield_kite_b_pl|Einfacher Langspitzschild
itm_tab_shield_kite_c|Langspitzschild
itm_tab_shield_kite_c_pl|Langspitzschild
itm_tab_shield_kite_d|Schwerer Langspitzschild
itm_tab_shield_kite_d_pl|Schwerer Langspitzschild
itm_tab_shield_kite_cav_a|Reiter-Langspitzschild
itm_tab_shield_kite_cav_a_pl|Reiter-Langspitzschild
itm_tab_shield_kite_cav_b|Ritterlicher Langspitzschild
itm_tab_shield_kite_cav_b_pl|Ritterlicher Langspitzschild
itm_tab_shield_heater_a|Alter Kampfschild
itm_tab_shield_heater_a_pl|Alter Kampfschild
itm_tab_shield_heater_b|Einfacher Kampfschild
itm_tab_shield_heater_b_pl|Einfacher Kampfschild
itm_tab_shield_heater_c|Kampfschild
itm_tab_shield_heater_c_pl|Kampfschild
itm_tab_shield_heater_d|Schwerer Kampfschild
itm_tab_shield_heater_d_pl|Schwerer Kampfschild
itm_tab_shield_heater_cav_a|Reiter-Kampfschild
itm_tab_shield_heater_cav_a_pl|Reiter-Kampfschild
itm_tab_shield_heater_cav_b|Ritterlicher Kampfschild
itm_tab_shield_heater_cav_b_pl|Ritterlicher Kampfschild
itm_tab_shield_pavise_a|Alter Rechteckschild
itm_tab_shield_pavise_a_pl|Alter Rechteckschild
itm_tab_shield_pavise_b|Einfacher Rechteckschild
itm_tab_shield_pavise_b_pl|Einfacher Rechteckschild
itm_tab_shield_pavise_c|Rechteckschild
itm_tab_shield_pavise_c_pl|Rechteckschild
itm_tab_shield_pavise_d|Schwerer Rechteckschild
itm_tab_shield_pavise_d_pl|Schwerer Rechteckschild
itm_tab_shield_small_round_a|Einfacher Kavallerieschild
itm_tab_shield_small_round_a_pl|Einfacher Kavallerieschild
itm_tab_shield_small_round_b|Runder Kavallerieschild
itm_tab_shield_small_round_b_pl|Runder Kavallerieschild
itm_tab_shield_small_round_c|Elite-Kavallerieschild
itm_tab_shield_small_round_c_pl|Elite-Kavallerieschild
itm_darts|Wurfpfeile
itm_darts_pl|Wurfpfeile
itm_war_darts|Kriegs-Wurfpfeile
itm_war_darts_pl|Kriegs-Wurfpfeile
itm_javelin|Speere
itm_javelin_pl|Speere
itm_javelin_melee|Speer
itm_javelin_melee_pl|Speer
itm_throwing_spears|Wurfspeere
itm_throwing_spears_pl|Wurfspeere
itm_throwing_spear_melee|Wurfspeer
itm_throwing_spear_melee_pl|Wurfspeer
itm_jarid|Jarids
itm_jarid_pl|Jarids
itm_jarid_melee|Jarid
itm_jarid_melee_pl|Jarid
itm_stones|Steine
itm_stones_pl|Steine
itm_throwing_knives|Wurfmesser
itm_throwing_knives_pl|Wurfmesser
itm_throwing_daggers|Wurfdolche
itm_throwing_daggers_pl|Wurfdolche
itm_light_throwing_axes|Leichte Wurfäxte
itm_light_throwing_axes_pl|Leichte Wurfäxte
itm_light_throwing_axes_melee|Leichte Wurfaxt
itm_light_throwing_axes_melee_pl|Leichte Wurfaxt
itm_throwing_axes|Wurfäxte
itm_throwing_axes_pl|Wurfäxte
itm_throwing_axes_melee|Wurfaxt
itm_throwing_axes_melee_pl|Wurfaxt
itm_heavy_throwing_axes|Schwere Wurfäxte
itm_heavy_throwing_axes_pl|Schwere Wurfäxte
itm_heavy_throwing_axes_melee|Schwere Wurfaxt
itm_heavy_throwing_axes_melee_pl|Schwere Wurfaxt
itm_hunting_bow|Jagdbogen
itm_hunting_bow_pl|Jagdbogen
itm_short_bow|Kurzbogen
itm_short_bow_pl|Kurzbogen
itm_nomad_bow|Nomadenbogen
itm_nomad_bow_pl|Nomadenbogen
itm_long_bow|Langbogen
itm_long_bow_pl|Langbogen
itm_khergit_bow|Khergitischer Bogen
itm_khergit_bow_pl|Khergitischer Bogen
itm_strong_bow|Großbogen
itm_strong_bow_pl|Großbogen
itm_war_bow|Kriegsbogen
itm_war_bow_pl|Kriegsbogen
itm_hunting_crossbow|Jagdarmbrust
itm_hunting_crossbow_pl|Jagdarmbrust
itm_light_crossbow|Leichte Armbrust
itm_light_crossbow_pl|Leichte Armbrust
itm_crossbow|Armbrust
itm_crossbow_pl|Armbrust
itm_heavy_crossbow|Schwere Armbrust
itm_heavy_crossbow_pl|Schwere Armbrust
itm_sniper_crossbow|Belagerungsarmbrust
itm_sniper_crossbow_pl|Belagerungsarmbrust
itm_flintlock_pistol|Steinschlosspistole
itm_flintlock_pistol_pl|Steinschlosspistole
itm_torch|Fackel
itm_torch_pl|Fackel
itm_lyre|Leier
itm_lyre_pl|Leier
itm_lute|Laute
itm_lute_pl|Laute
itm_strange_armor|Merkwürdige Rüstung
itm_strange_armor_pl|Merkwürdige Rüstung
itm_strange_boots|Merkwürdige Stiefel
itm_strange_boots_pl|Merkwürdige Stiefel
itm_strange_helmet|Merkwürdiger Helm
itm_strange_helmet_pl|Merkwürdiger Helm
itm_strange_sword|Merkwürdiges Schwert
itm_strange_sword_pl|Merkwürdiges Schwert
itm_strange_great_sword|Merkwürdiges Langschwert
itm_strange_great_sword_pl|Merkwürdiges Langschwert
itm_strange_short_sword|Merkwürdiges Kurzschwert
itm_strange_short_sword_pl|Merkwürdiges Kurzschwert
itm_court_dress|Hofkleid
itm_court_dress_pl|Hofkleid
itm_rich_outfit|Prunkkleidung
itm_rich_outfit_pl|Prunkkleidung
itm_khergit_guard_armor|Khergitische Wachrüstung
itm_khergit_guard_armor_pl|Khergitische Wachrüstung
itm_felt_steppe_cap|Fell-Steppenhaube
itm_felt_steppe_cap_pl|Fell-Steppenhaube
itm_khergit_war_helmet|Khergitscher Kriegshelm
itm_khergit_war_helmet_pl|Khergitscher Kriegshelm
itm_khergit_helmet|Khergitscher Helm
itm_khergit_helmet_pl|Khergitscher Helm
itm_khergit_guard_boots|Khergitische Wachstiefel
itm_khergit_guard_boots_pl|Khergitische Wachstiefel
itm_khergit_guard_helmet|Khergitischer Wachhelm
itm_khergit_guard_helmet_pl|Khergitischer Wachhelm
itm_khergit_cavalry_helmet|Khergitischer Kavalleriehelm
itm_khergit_cavalry_helmet_pl|Khergitischer Kavalleriehelm
itm_black_hood|Schwarze Kapuze
itm_black_hood_pl|Schwarze Kapuze
itm_light_leather|Leichte Lederrüstung
itm_light_leather_pl|Leichte Lederrüstung
itm_light_leather_boots|Leichte Lederstiefel
itm_light_leather_boots_pl|Leichte Lederstiefel
itm_mail_and_plate|Mit Platten verstärktes Kettenhemd
itm_mail_and_plate_pl|Mit Platten verstärktes Kettenhemd
itm_light_mail_and_plate|Leichtes, mit Platten verstärktes Kettenhemd
itm_light_mail_and_plate_pl|Leichtes, mit Platten verstärktes Kettenhemd
itm_byzantion_helmet_a|Byzantion-Helm
itm_byzantion_helmet_a_pl|Byzantion-Helm
itm_magyar_helmet_a|Magyar-Helm
itm_magyar_helmet_a_pl|Magyar-Helm
itm_rus_helmet_a|Rus-Helm
itm_rus_helmet_a_pl|Rus-Helm
itm_sipahi_helmet_a|Sipahi-Helm
itm_sipahi_helmet_a_pl|Sipahi-Helm
itm_shahi|Shahi
itm_shahi_pl|Shahi
itm_rabati|Rabati
itm_rabati_pl|Rabati
itm_tunic_with_green_cape|Waffenrock mit grünem Umhang
itm_tunic_with_green_cape_pl|Waffenrock mit grünem Umhang
itm_keys|Schlüsselring
itm_keys_pl|Schlüsselring
itm_bride_dress|Brautkleid
itm_bride_dress_pl|Brautkleid
itm_bride_crown|Blumenkranz
itm_bride_crown_pl|Blumenkranz
itm_bride_shoes|Brautschuhe
itm_bride_shoes_pl|Brautschuhe
itm_practice_bow_2|Übungsbogen
itm_practice_bow_2_pl|Übungsbogen
itm_practice_arrows_2|Übungspfeile
itm_practice_arrows_2_pl|Übungspfeile
itm_plate_boots|Plattenstiefel
itm_plate_boots_pl|Plattenstiefel
itm_items_end|Items End
itm_items_end_pl|Items End
