str_no_string|NO STRING! 
str_npc5_home_description|庫 吉 特 人 經 常 過 來， 做 生 意 或 者 搶 劫。 大 帝 國 的 末 期 我 們 開 始 在 這 裡 定 居。 就 像 維 吉 亞， 斯 瓦 迪 亞， 羅 多 克， 諾 德 和 薩 蘭 族 人 一 樣， 我 們 動 用 國 庫 來 阻 擋 外 族 侵 略， 但 是 當 大 部 落 入 侵 我 們 的 家 園， 就 是 我 祖 父 那 個 年 代， 我 們 被 迫 遷 移 到 這 裡。 我 們 把 維 吉 亞 人 趕 回 去， 並 且 占 領 了 他 們 的 森 林。 
str_npc6_home_description|在 蘇 諾 這 片 峽 谷 裡， 我 們 的 口 音 和 習 慣 比 卡 拉 迪 亞 大 陸 上 任 何 地 方 更 接 近 古 卡 拉 德 帝 國。 我 們 種 植 橄 欖 和 葡 萄， 這 兩 種 作 物 都 是 老 國 王 從 海 外 帶 回 來 的。 我 們 也 遵 循 著 古 卡 拉 德 的 規 矩： 信 守 承 諾， 償 還 債 務。 
str_npc7_home_description|在 我 結 婚 之 前， 在 我 被 劫 匪 綁 走 之 前， 我 就 在 這 裡 生 活。 我 在 一 個 窩 棚 裡 出 生， 在 野 地 裡 度 過 童 年。 領 主 是 諾 德 人， 不 過 從 來 沒 見 過， 只 看 到 他 那 些 該 死 的 奴 才 和 監 工。 我 那 懦 弱 的 父 親， 竟 然 還 在 他 們 面 前 卑 躬 屈 膝。 
str_npc8_home_description|你 聽 說 過 這 個 故 事 嗎？ ^ 當 岡 定 ‧ 海 瑞 布 雷 克 斯 從 北 方 來 到 卡 拉 迪 亞 大 陸 時， 他 在 灘 頭 上 插 了 面 旗 幟， 並 且 說 它 要 一 直 插 在 那 裡， 直 到 他 奪 回 他 的「 遺 產」。 岡 定 相 信 吟 游 詩 人 所 說 的 老 國 王 把 整 個 卡 拉 迪 亞 都 給 了 諾 德， 但 實 際 上 他 只 得 了 沿 著 海 岸 的 的 一 條 窄 場 地 帶， 剛 好 就 夠 停 泊 他 的 大 劃 槳 船。 
str_npc9_home_description|諾 德 人 准 備 乘 船 沿 河 流 向 內 地 進 發， 禪 達 的 人 們 本 可 以 阻 止 他 們。 不 過 他 們 就 像 今 天 一 樣 的 膽 小 怕 事， 付 了 年 奉—— 我 們 一 般 稱 之 為「 諾 德 貢 金」， 來 換 取 和 平。 但 是 維 吉 亞 的 王 不 會 這 樣 做。 我 父 親 決 定 翻 過 大 山 去 和 維 吉 亞 的 領 主 們 並 肩 作 戰。 連 續 三 年 的 夏 天 諾 德 人 都 想 攻 下 要 塞， 但 每 一 次 他 們 都 被 打 了 回 去。 
str_npc10_home_description|在 我 父 親 的 時 代， 斯 瓦 迪 亞 人 曾 變 得 強 大， 想 讓 我 們 也 低 下 頭 來 稱 他 們 為 最 高 統 治 者。 但 是 格 魯 恩 沃 德， 一 個 山 裡 的 老 兵， 教 會 我 們 如 何 組 成 戰 陣， 用 長 矛 和 弓 弩 來 破 解 斯 瓦 迪 亞 騎 兵 的 沖 鋒。 他 在 那 場 戰 斗 中 倒 下 了， 但 是 人 們 在 他 倒 下 的 地 方 建 起 了 這 個 城 堡， 並 以 他 的 名 字 命 名， 好 讓 我 們 能 永 遠 記 住 他。 並 且 站 穩 了 迎 接 騎 兵 的 沖 擊。 
str_npc11_home_description|我 是 從 烏 克 斯 豪 爾 來 的， {先 生/夫 人}， 你 一 定 知 道 這 個 說 法——「 烏 克 斯 豪 爾 大 麥 釀 成 的 帕 拉 汶 麥 芽 酒， 我 們 這 裡 更 好！」 但 不 確 定 是 什 麼 意 思。 不 過 大 麥 的 確 是 烏 城 的 最 好， {先 生/夫 人}， 還 有 小 麥 和 燕 麥。 我 們 這 一 帶 的 出 產 比 大 陸 上 其 他 地 方 加 起 來 還 多， 我 們 的 麥 芽 酒 也 是 最 好 的。 你 從 土 質 就 能 看 出 來—— 黝 黑 肥 沃， 帶 著 飽 滿 的 豐 收 的 味 道。 
str_npc12_home_description|阿 美 拉 堡 的 領 主 過 去 得 了 浮 腫， 從 烏 克 斯 豪 爾 請 了 位 醫 生 來 治 療。 就 像 其 他 的 學 院 派 醫 生 一 樣， 他 查 詢 典 籍 想 看 看 有 什 麼 現 成 的 療 法。 典 籍 上 推 薦 用「 太 陽 金 屬」 來 治 療 浮 腫。 他 那 個 時 代 的 醫 典 記 錄 者 已 經 不 像 卡 拉 德 帝 國 時 代 剛 剛 寫 下 醫 典 的 先 驅 們 那 麼 敬 業 了， 當 然 現 在 的 記 錄 者 比 那 個 時 代 的 更 沒 用。 那 位 醫 生 也 碰 巧， 偶 然 發 現 了「 太 陽 金 屬」 的 用 法： 小 劑 量 的 使 用 可 以 治 療 某 些 種 類 的 浮 腫， 但 大 劑 量 的「 太 陽 金 屬」 就 是 毒 藥 了。 這 些 是 醫 典 的 推 崇 者 們 永 遠 也 無 法 領 會 的。 
str_npc13_home_description|我 是 跟 著 一 小 隊 斯 瓦 迪 亞 的 部 隊 來 這 裡 的， 不 過 他 們 在 森 林 裡 被 羅 多 克 人 抓 住 了， 騎 兵 也 被 砍 倒。 我 乘 亂 逃 跑， 在 一 個 漂 亮 的 牧 女 幫 助 下， 到 深 谷 躲 藏 起 來。 她 帶 我 到 了 一 個 牧 地 旁 的 小 山 洞， 給 我 帶 干 酪 和 漿 果 來， 還 跟 我 講 了 當 地 的 一 些 傳 說—— 比 如 幫 迷 路 的 動 物 領 回 畜 群 的 頑 皮 的 山 羊 人， 還 有 架 著 雲 彩 追 逐 暴 風 雲 的 幽 靈 獵 人。 哈， 真 是 群 可 愛 的 鄉 巴 佬！ 
str_npc14_home_description|我 說「 嘗 試」， 是 因 為 在 我 看 來， 維 吉 亞 人 不 大 有 紀 律 性。 你 已 經 看 到 了， 他 們 有 好 的 弓 箭 手 和 騎 手， 但 是 他 們 沒 有 整 齊 的 隊 形。 他 們 的 個 人 技 能 已 經 足 夠 對 付 庫 吉 特 和 諾 德 的 進 攻， 尤 其 當 他 們 能 躲 在 城 垛 後 面 時， 但 是 薩 蘭 德 人 可 以 和 他 們 用 弓 箭 對 射， 而 我 也 見 過 斯 瓦 迪 亞 重 騎 兵 是 如 何 將 他 們 像 刀 切 牛 油 一 般 弄 得 支 離 破 碎。 現 在， 羅 多 克 設 計 了 長 矛 陣 來 對 付 斯 瓦 迪 亞 的 騎 兵 沖 鋒， 這 個 非 常 管 用。 
str_npc15_home_description|就 像 這 周 圍 的 其 他 城 堡， 庫 爾 瑪 早 在 古 卡 拉 德 時 代 就 建 立 了。 但 是 你 在 其 他 重 建 的 要 塞 裡， 看 不 到 這 種 房 子 般 大 的 基 石。 他 們 當 時 一 定 是 請 了 巫 師 回 來， 我 實 在 想 不 出 他 們 有 什 麼 其 他 辦 法 來 移 動 這 些 龐 然 大 物。 這 也 是 絕 佳 的 位 置， 庫 爾 瑪 剛 好 占 據 著 出 入 卡 拉 迪 亞 大 陸 的 路 口。 每 年 僅 有 的 不 下 雪 的 三 個 月， 領 主 可 以 從 通 行 費 上 撈 足 一 大 筆。 
str_npc16_home_description|山 谷 裡 的 雪 每 年 很 晚 才 化， 土 地 很 難 耕 種。 你 可 以 種 一 些 大 麥， 其 他 的 就 很 少 了。 但 是 那 裡 的 寶 藏 都 在 森 林 裡： 鹿， 兔 子 和 山 貓， 肉 和 毛 皮， 山 脈 裡 有 鐵， 並 且 商 人 們 會 用 船 沿 著 河 從 海 岸 運 來 足 夠 的 醃 魚 讓 大 家 度 過 冬 天。 
str_npc1_home_description_2|他 們 和 我 們 這 樣 的 種 田 人 相 處 還 不 錯， 並 不 要 求 太 多 的 稅—— 不 如 說 我 們 只 能 交 那 麼 多。 那 裡 的 土 地 對 大 多 數 莊 稼 來 說 都 不 夠 好， 只 適 合 養 馬， 這 只 是 一 年 的 一 半 時 間， 在 雨 季 後 的 冬 天。 在 夏 天 他 們 趕 著 他 們 的 牧 群 回 到 山 裡。 商 隊 從 山 外 給 圖 爾 加 帶 來 香 料， 但 是 在 村 裡 我 們 可 沒 看 到 幾 個 人 買。 
str_npc2_home_description_2|我 裝 載 了 藏 紅 花 粉， 桂 皮， 丁 香， 胡 椒 和 其 他 的 香 料， 還 有 一 箱 子 的 現 金。 我 原 本 估 計 可 以 換 到 亞 麻 布， 毛 皮， 天 鵝 絨， 鐵 和 羊 毛， 並 可 以 買 足 夠 的 馬 把 東 西 運 回 來， 這 樣 我 還 能 賺 一 筆。 我 唯 一 沒 有 料 到 的 是 庫 爾 吉 特 人， 他 們 顯 然 不 喜 歡 別 人 和 他 們 搶 生 意。 
str_npc3_home_description_2|詩 人 把 維 魯 加 稱 作 天 堂， 我 覺 得 這 次 他 們 沒 有 誇 大。 
str_npc4_home_description_2|你 問 我 是 怎 麼 知 道 的？ 好 吧…… 我 曾 經 被 他 們 捉 住 過， 並 要 求 贖 金， 但 是 我 逃 跑 了。 這 就 是 真 實 的 故 事。 
str_npc5_home_description_2|當 然， 你 知 道 事 物 是 怎 麼 變 化 的。 我 的 父 輩 是 從 寒 冷 的 土 地 穿 越 山 脈 而 來 的 堅 強 戰 士， 我 們 這 一 代 人 都 在 鎮 子 上 有 了 房 子 和 大 量 的 不 動 產， 用 和 他 們 練 習 騎 射 一 樣 多 的 時 間 來 作 生 意。 下 一 代 人 將 在 充 滿 維 魯 加 葡 萄 酒 的 溫 柔 鄉 裡 長 大， 他 們 的 土 地 將 會 被 另 一 群 來 自 山 裡 的 野 蠻 人 奪 走。 你 看 著 吧。 事 情 從 前 是 這 樣， 將 來 還 會 是 這 樣。 
str_npc6_home_description_2|我 們 蘇 諾 人 決 不 會 忘 記 侮 辱， 並 會 向 任 何 不 公 正 對 待 我 們 的 人 復 仇。 傳 統 的 卡 拉 德 榮 譽， 我 敢 說， 已 經 讓 我 落 到 了 現 在 的 境 地。 但 除 此 以 外， 我 很 自 豪 來 自 這 個 地 區。 我 們 的 領 主 是 在 帕 拉 汶 的 斯 瓦 迪 亞 領 主， 但 是 到 目 前 為 止 我 們 覺 得 他 不 過 只 是 一 個 野 蠻 人 酋 長， 我 們 才 是 王 國 真 正 的 子 民。 
str_npc7_home_description_2|我 們 可 以 在 河 裡 捕 魚， 在 蘆 葦 蕩 裡 養 豬， 並 可 以 在 我 們 的 私 人 的 小 塊 土 地 裡 種 任 何 東 西， 但 在 開 闊 地 裡 我 們 只 能 種 亞 麻， 並 被 運 到 薩 哥 斯 織 成 亞 麻 布。 所 以 我 們 總 是 很 饑 餓， 很 虛 弱， 從 來 沒 有 勇 氣 反 抗。 
str_npc8_home_description_2|游 吟 詩 人 的 故 事 至 少 給 了 岡 定 一 個 理 由 去 挑 戰 一 個 戰 盟—— 倒 不 是 說 我 們 諾 德 人 不 需 要 一 個 理 由， 記 住。 他 啟 航 穿 越 大 海， 召 集 起 卡 拉 迪 亞 大 陸 的 諾 德 人 向 日 瓦 車 則 進 軍。 維 吉 亞 人 殺 死 了 他， 並 把 他 的 旗 幟 扔 進 波 濤 裡。 但 是 諾 德 人 會 源 源 不 斷 來 到 這 裡， 總 有 一 天 整 個 卡 拉 迪 亞 都 會 是 我 們 的。 
str_npc9_home_description_2|就 像 諾 德 人 能 夠 召 集 他 們 海 外 的 族 人 一 樣， 維 吉 亞 國 王 也 可 以 召 集 山 脈 另 一 邊 的 族 人。 如 果 我 父 親 沒 有 剝 奪 我 的 繼 承 權， 我 一 樣 已 經 對 日 瓦 丁 的 統 治 者 宣 誓 了。 但 是 既 然 我 已 經 被 剝 奪 了 遺 產， 與 此 同 時 我 也 剝 奪 了 我 自 己 的 義 務。 這 將 是 維 吉 亞 國 王 的 損 失。 
str_npc10_home_description_2|我 們 為 了 絲 綢 而 種 桑 樹， 為 了 染 料 而 種 胭 脂。 我 們 把 貨 物 帶 到 傑 爾 喀 拉， 在 那 裡 他 們 編 織 成 天 鵝 絨—— 倒 不 是 我 的 錢 袋 已 經 有 足 夠 多 的 第 納 爾 去 買 天 鵝 絨。 但 是 既 然 傑 爾 喀 拉 的 工 匠 還 能 制 作 很 棒 的 弩， 因 此 我 並 不 嫉 妒 他 們 的 小 小 奢 侈。 
str_npc11_home_description_2|斯 瓦 迪 亞 國 王 將 會 告 訴 你 帕 拉 汶 是 卡 拉 迪 亞 最 大 的 王 國 城 市， 這 就 是 為 什 麼 他 現 在 應 該 統 治 整 個 大 陸。 請 注 意， 我 並 不 太 關 心 政 治， {先 生/夫 人}， 我 曾 經 給 每 支 在 卡 拉 迪 亞 的 軍 隊 提 供 過 補 給 品， 我 要 告 訴 你 的 是 在 我 的 手 裡 沒 有 拿 到 那 又 冷 又 硬 的 第 納 爾 之 前， 我 不 會 給 他 們 任 何 一 個 人 哪 怕 一 塊 餅 干。 為 什 麼 這 些 趾 高 氣 揚 的 國 王 和 貴 族 們 不 能 支 付 他 們 的 帳 單， 我 永 遠 搞 不 清 楚。 我 閒 扯 的 有 點 多 了， 是 不 是？ 
str_npc12_home_description_2|有 毒 和 治 療 之 間 的 差 別 就 是 劑 量。 你 把 這 個 告 訴 每 個 你 遇 到 的 人， 告 訴 他 們 你 最 初 是 從 偉 大 的 傑 姆 斯 這 裡 聽 來 的。 人 們 以 為 所 有 值 得 知 道 的 至 理 名 言 都 寫 於 古 卡 拉 德 時 代， 但 是 我 要 說 的 是 你 可 以 從 村 莊 接 生 婆 這 裡 學 到 的， 並 謹 慎 的 在 生 活 中 檢 驗 得 到 的 知 識 是 整 個 王 國 藏 書 的 兩 倍。 那 就 是 為 什 麼 他 們 把 我 趕 出 了 學 院， 盡 管 現 在 回 想 起 來 這 是 幸 運 的。 不 管 怎 麼， 我 讓 那 個 領 主 恢 復 了 健 康， 他 回 報 我 一 大 袋 金 子 和 新 鮮 的 被 吊 死 的 罪 犯 屍 體 用 來 解 剖。 哈！ 想 想 我 必 須 自 己 去 搞 到 樣 品 的 日 子。 
str_npc13_home_description_2|事 實 上 我 必 須 走 了， 有 時 候 我 在 想 在 她 的 背 上 是 不 是 藏 了 一 個 小 大 力 士， 因 為 她 每 天 早 上 都 把 牛 群 扛 到 牧 地。 我 也 許 應 該 嘗 試 看 看—— 還 是 不 要， 不 行， 一 個 人 不 應 該 偷 看 別 人 的 背。 
str_npc14_home_description_2|如 果 有 任 何 人 統 一 我 們 的 這 塊 小 地 方， 我 就 會 宣 誓 為 他 效 勞， 免 費。 我 會 把 羅 多 克 長 矛 手 和 諾 德 輕 步 兵 放 在 側 翼， 維 吉 亞 弓 箭 手 在 前， 用 一 些 庫 吉 特 斥 候 搜 索 和 跟 蹤 敵 人， 並 用 斯 瓦 迪 亞 槍 騎 兵 和 薩 蘭 德 馬 穆 魯 克 去 結 果 他 們。 我 將 會 帶 著 這 支 軍 團 越 過 山 脈 讓 整 個 世 界 臣 服 於 卡 拉 迪 亞， 最 後， 讓 游 牧 部 落 離 開。 
str_npc15_home_description_2|這 裡 的 事 情 很 有 趣—— 當 羅 多 克 地 區 首 先 起 來 反 抗 斯 瓦 迪 亞 的 時 候， 他 們 說 他 們 將 不 會 允 許 任 何 貴 族 領 主 支 配 他 們。 你 可 以 猜 到 那 維 持 了 多 久。 一 個 羅 多 克 山 村 酋 長 搬 進 了 庫 兒 瑪， 封 自 己 為「 伯 爵」， 傑 爾 喀 拉 和 維 魯 加 的 好 公 民 都 得 舔 他 的 靴 子， 如 果 他 們 還 想 繼 續 把 酒 和 天 鵝 絨 賣 出 卡 拉 迪 亞。 如 果 你 想 讓 伯 爵 們 守 規 矩， 並 且 農 民 們 保 持 對 城 鎮 的 食 物 供 應 而 不 是 賣 給 出 價 更 高 的 人， 然 後 你 需 要 一 個 國 王， 不 是 麼？ 那 麼 羅 多 克 地 區 和 其 他 地 區 沒 什 麼 分 別 了， 不 管 他 們 胡 扯 什 麼「 古 老 的 自 治」 和「 自 由」。 
str_npc16_home_description_2|生 活 仍 然 很 慘 淡， 那 裡 仍 然 有 太 多 的 月 份 忙 於 糊 口。 維 吉 亞 國 王 和 庫 吉 特 可 汗 從 不 讓 我 們 的 生 活 容 易 點， 壓 搾 他 們 統 治 的 村 莊 的 稅 收， 搶 劫 他 們 沒 有 統 治 的 村 莊 的 東 西。 當 然， 我 不 能 說 如 果 我 有 一 個 城 堡 和 自 己 的 軍 隊 我 不 會 做 同 樣 的 事 情。 強 者 做 他 們 能 做 的， 而 卑 微 者 做 他 們 必 須 做 的。 
str_npc1_home_recap|我 來 自 高 原 地 區， 靠 近 {s21}。 
str_npc2_home_recap|我 出 生 在 山 脈 之 外 的 地 方。 我 是 一 個 商 人， 一 個 商 人 的 兒 子， 也 是 一 個 商 人 的 孫 子。 
str_npc3_home_recap|我 通 常 住 在 我 父 親 在 {s20) 的 家 裡， 但 是 我 大 量 的 童 年 時 光 是 在 {s21}度 過 的。 
str_npc4_home_recap|我 們 祖 先 的 領 地 在 山 脈 另 一 邊， 穿 過 卡 爾 達 關 口。 
str_npc5_home_recap|我 出 生 在 山 脈 另 一 邊 的 山 區， 但 我 在 {s21}有 親 戚。 
str_npc6_home_recap|我 家 住 在 {s21}， 但 是 我 無 法 面 對 他 們。 
str_npc7_home_recap|我 出 生 在 沼 澤 地 的 一 個 小 屋 裡， 離 {s21}不 是 很 遠。 
str_npc8_home_recap|我 出 生 在 海 外， 諾 德 本 土， 我 丈 夫 的 莊 園 也 在 諾 德 本 土。 
str_npc9_home_recap|我 來 自 山 脈 之 外 的 維 吉 亞 本 土， 是 在 國 王 把 維 吉 亞 領 主 們 帶 來 卡 拉 迪 亞 之 前 他 們 生 活 的 地 方。 
str_npc10_home_recap|在 傑 爾 喀 拉 出 生 和 長 大， {兄 弟/姐 姐}， 我 希 望 有 一 天 在 那 裡 買 到 土 地。 但 是 我 想 首 先 看 看 世 界， 因 此 我 帶 著 自 己 的 弩 參 與 戰 爭。 
str_npc11_home_recap|我 出 生 在 軍 隊 的 隨 行 隊 伍 裡， 我 全 部 的 時 間 都 在 隨 行 隊 伍 裡 度 過。 我 的 親 戚 們 來 自 帕 拉 汶， 然 而， 我 覺 得 到 處 都 是 我 的 家。 
str_npc12_home_recap|我 來 自 海 外。 我 在 全 世 界 旅 行 以 求 獲 得 醫 藥 的 知 識。 
str_npc13_home_recap|哦， 在 離 這 裡 很 遠 的 地 方， 我 的 {主 人/女 主 人}， 另 外 你 已 經 聽 說 過 了 我， 因 此 沒 有 必 要 問 那 些 事 情 了 吧。 
str_npc14_home_recap|我 是 格 羅 尼 亞 的 伯 爵 的 小 兒 子。 
str_npc15_home_recap|我 來 自 山 外， 不 過 卡 拉 迪 亞 現 在 是 生 錢 的 地 方， 如 果 你 的 生 意 是 圍 城 工 程。 
str_npc16_home_recap|為 什 麼， 隊 長， 我 出 生 在 貧 窮 的 山 村， 但 是 我 的 母 親 的 土 地 被 狡 詐 的 親 戚 占 有 了， 因 此 她 不 得 不 投 靠 了 附 近 的 領 主。 
str_npc1_honorific|老 板 
str_npc2_honorific|{先 生/夫 人} 
str_npc3_honorific|{先 生/夫 人} 
str_npc4_honorific|隊 長 
str_npc5_honorific|{playername} 閣 下 
str_npc6_honorific|隊 長 
str_npc7_honorific|隊 長 
str_npc8_honorific|{playername} 
str_npc9_honorific|{仁 慈 的 先 生/仁 慈 的 女 士} 
str_npc10_honorific|{兄 弟/姐 姐} 
str_npc11_honorific|{小 伙 子/小 姑 娘}—— 我 是 說 隊 長 
str_npc12_honorific|隊 長 
str_npc13_honorific|哦， 勇 敢 的 家 伙。 
str_npc14_honorific|指 揮 官 
str_npc15_honorific|隊 長 
str_npc16_honorific|隊 長 
str_npc1_kingsupport_1|那 可 真 是 太 好 了， 老 板。 所 有 這 些 掌 權 的 國 王 啊 、 可 汗 啊 、 貴 族 啊， 用 他 們 的 監 獄 啊 、 絞 刑 架 啊 、 斷 頭 台 啊， 去 鞭 笞 、 拷 打 、 絞 殺 那 些 也 許 是 僅 僅 為 了 哭 泣 的 孩 子 而 去 偷 取 一 塊 面 包， 或 者 是 一 匹 馬 的 人 們—— 卡 拉 迪 亞 需 要 一 個 更 好 的 統 治 者。 
str_npc2_kingsupport_1|好 吧， 隊 長—— 我 會 支 持 你。 我 認 為 你 會 給 卡 拉 迪 亞 帶 來 這 片 大 陸 一 直 渴 望 的 文 明 統 治。 
str_npc3_kingsupport_1|好 吧， 我 的 大 人—— 我 會 擔 心 你。 歷 史 告 訴 我 們 權 力 往 往 導 致 墮 落。 但 話 說 回 來， 我 很 欣 慰 你 在 領 導 我 們 團 隊 的 時 候 所 表 現 出 來 的 仁 慈 和 判 斷 力。 
str_npc4_kingsupport_1|好 吧， 隊 長， 我 想 你 將 會 成 為 一 個 貴 族 血 統 純 正 的 {國 王/女 王}， 我 將 唯 你 馬 首 是 瞻…… 
str_npc5_kingsupport_1|好 主 意 啊， 閣 下—— 你 很 善 長 馭 人 之 術。 感 覺 你 對 人 很 公 正， 盡 管…… 
str_npc6_kingsupport_1|我 不 能 判 斷 你 的 主 張 是 否 符 合 法 律 價 值。 不 過， 我 覺 得 和 這 兒 碌 碌 無 為 的 其 他 國 王 不 同， 你 有 統 一 這 片 大 陸 的 能 力—— 而 那 將 終 結 這 場 無 盡 的 戰 爭， 諸 侯 烽 火 連 天 、 貴 族 爾 虞 我 詐 、 兄 弟 睨 於 牆 內， 實 在 是 讓 我 們 在 上 蒼 面 前 蒙 羞 啊。 
str_npc7_kingsupport_1|是！ 聽 你 的。 你 知 道 怎 麼 去 對 付 強 盜 和 惡 棍。 
str_npc8_kingsupport_1|貝 約 斯 塔 德 的 傳 奇 告 訴 我 們 王 侯 本 無 種， 能 者 居 之。 而 我 覺 得 你 也 是 可 以 奪 得 天 下 的 人。 
str_npc9_kingsupport_1|很 好， 我 的 大 人。 我 是 維 吉 亞 的 血 統， 但 是 亞 羅 格 爾 克 在 別 人 騙 走 屬 於 我 的 遺 產 的 時 候 從 來 不 支 持 我。 所 以 我 也 就 不 欠 他 什 麼， 而 且 我 要 說，「 王 位 應 屬 勇 者！」 而 你 就 是 最 合 適 的 人 選， {先 生/尊 敬 的 女 士}。 
str_npc10_kingsupport_1|好 吧， {兄 弟/姐 們}， 我 覺 得 可 以 有 {國 王/國 王 和 女 王}， 如 果 說 真 的 要 有 {國 王/國 王 和 女 王}， 那 你 就 將 會 是 一 位 比 較 好 的 {國 王/女 王}…… 
str_npc11_kingsupport_1|啊， 很 好 的 想 法， {老 弟/小 姑 娘}！ 那 麼， 我 想 我 得 試 著 習 慣 叫 你「 吾 王 陛 下」 或 者「 女 王 陛 下」 了…… 
str_npc12_kingsupport_1|我 深 信 你 將 成 為 一 個 好 國 王， 隊 長。 我 一 直 以 能 看 人 而 自 詡， 而 你 早 就 表 現 出 了 遠 遠 超 乎 那 些 自 稱 君 王 的 家 伙 的 仁 慈。 
str_npc13_kingsupport_1|那 可 真 是 太 好 了， {先 生/尊 敬 的 女 士}！ 有 許 多 關 於 通 過 自 己 的 勇 猛 而 奪 得 王 位 的 英 雄 的 傳 說。 也 許 你 聽 說 過 阿 什 塔 比 之 子 安 塔 拉 之 歌， 他 以 一 介 草 民 的 身 份 最 終 成 為 了 達 巴 蘭 之 王。 一 個 偉 大 的 傳 說！ 
str_npc14_kingsupport_1|好 吧， 先 生， 上 蒼 給 世 間 定 下 身 份 等 級， 而 我 一 般 樂 於 認 命。 不 過 我 也 認 為 這 片 大 陸 的 國 王 們 大 多 暗 弱 無 能， 不 配 稱 王， 應 該 讓 更 優 秀 的 {人/統 治 者} 來 執 掌 王 位， 比 如 你。 
str_npc15_kingsupport_1|好 吧， 一 般 來 說， 你 手 頭 寬 裕 的 時 候 總 是 准 時 付 給 手 下 薪 水。 在 我 的 字 典 裡， 這 是 一 個 王 者 的 最 佳 品 格。 你 賞 罰 分 明。 
str_npc16_kingsupport_1|為 什 麼 不 呢， 隊 長？ 我 確 信 你 將 會 是 一 個 好 {國 王/女 王}—— 當 然 我 也 希 望 你 能 記 得 像 我 這 樣 為 你 打 下 江 山 的 人。 
str_npc1_kingsupport_2|當 然 了， 老 板。 不 過 讓 我 告 訴 你 會 遇 上 的 一 些 其 它 問 題—— 尤 其 是 像 咱 們 窮 人。 聽 說 在 以 前， 每 個 新 黃 袍 加 身 的 君 主 會 大 赦 天 下—— 除 了 那 些 關 在 地 牢 裡 最 窮 凶 極 惡 的 犯 人， 給 人 們 第 二 次 做 人 的 機 會—— 就 像 你 給 了 我 第 二 次 機 會 那 樣， 老 板。 
str_npc2_kingsupport_2|這 片 大 陸 上 的 大 部 分 領 主， 好 吧—— 就 讓 我 們 直 說， 他 們 擁 有 的 每 一 個 第 納 爾 都 是 靠 橫 征 暴 斂 或 者 大 發 戰 爭 之 財 而 來 的。 你， 和 他 們 不 一 樣， 對 於 貿 易 和 商 業 很 有 經 驗， 致 力 於 確 保 薩 哥 斯 沒 有 人 挨 餓 而 帕 拉 汶 谷 物 滿 倉， 等 等 這 些…… 如 果 你 有 打 算， 隊 長， 我 猜 想 我 能 在 這 個 國 家 的 商 人 和 居 民 當 中 替 你 找 到 一 些 支 持 者。 
str_npc3_kingsupport_2|我 願 意， 我 的 大 人。 但 是 我 強 烈 建 議 你 重 新 樹 立 一 項 古 老 的 卡 拉 迪 亞 皇 室 傳 統—— 上 議 院 和 下 議 院 班 子， 同 時 從 領 地 裡 的 貴 族 以 及 有 學 問 的 有 錢 人 中 選 拔， 擁 有 否 決 任 何 你 也 許 感 興 趣 的 新 名 目 捐 稅， 以 及 殘 暴 條 令 的 權 利。 這 會 利 於 你 的 統 治， {先 生/尊 敬 的 女 士}。 
str_npc4_kingsupport_2|當 然， {隊 長/尊 敬 的 女 士}。 當 下 的 良 策 是 讓 別 人 擁 立 你。 你 知 道， 一 個 人 的 血 統 是 他 個 人 價 值 的 決 定 性 因 素。 也 許 你 是 遺 落 民 間 的 某 個 英 雄 之 後， 只 是 還 沒 有 告 訴 我？ 
str_npc5_kingsupport_2|哎， 閣 下， 我 願 意。 但 為 了 像 我 這 樣 的 草 原 人 的 利 益， 我 得 告 訴 你 一 些 事 情。 聽 說 一 個 即 將 成 為 可 汗 的 人， 要 重 新 樹 立 一 項 古 老 的 權 利 主 張， 這 對 我 們 意 義 重 大。 在 帝 國 昔 日 的 歲 月 裡， 草 原 人 享 有 將 他 們 的 畜 群 驅 往 新 的 牧 地 和 市 場 的 權 利， 這 必 然 包 括 要 穿 越 大 領 主 們 的 領 地。 
str_npc6_kingsupport_2|我 願 意。 我 將 告 訴 所 有 關 注 你 所 作 所 為 的 那 些 弱 小 無 助 的 下 層 人 物 的 代 表， 因 為 你 有 率 領 人 們 獲 得 巨 大 機 會 和 成 功 的 能 力， 並 且 告 訴 他 們 如 果 你 能 成 為 {國 王/女 王}， 就 會 一 統 天 下 永 久 和 平—— 從 羅 多 克 高 原 到 維 吉 亞 荒 漠， 從 高 地 草 原 到 諾 德 海 濱。 
str_npc7_kingsupport_2|是， 隊 長， 我 願 意。 一 個 {國 王/女 王} 的 職 責 是 保 護 正 直 的 人 們 一 路 平 安， 讓 女 人 們 上 山 砍 柴 或 者 河 邊 打 水 的 時 候 不 會 被 無 法 無 天 的 無 賴 、 惡 棍 騷 擾。 總 之， 在 你 的 治 下， 你 將 讓 那 些 畜 生 們 的 腦 袋 開 花。 如 果 你 成 為 {國 王/女 王}， 男 人 甚 至 不 敢 多 看 路 上 的 女 人 兩 眼。 
