itm_no_item|INVALID ITEM 
itm_steppe_cap|草 原 帽 
itm_steppe_cap_pl|草 原 帽 
itm_padded_coif|頭 肩 巾 
itm_padded_coif_pl|頭 肩 巾 
itm_woolen_cap|羊 毛 帽 
itm_woolen_cap_pl|羊 毛 帽 
itm_felt_hat|氈 帽 
itm_felt_hat_pl|氈 帽 
itm_felt_hat_b|氈 帽 
itm_felt_hat_b_pl|氈 帽 
itm_leather_cap|皮 帽 
itm_leather_cap_pl|皮 帽 
itm_female_hood|女 士 頭 巾 
itm_female_hood_pl|女 士 頭 巾 
itm_leather_steppe_cap_a|草 原 帽 
itm_leather_steppe_cap_a_pl|草 原 帽 
itm_leather_steppe_cap_b|草 原 帽 
itm_leather_steppe_cap_b_pl|草 原 帽 
itm_leather_steppe_cap_c|草 原 帽 
itm_leather_steppe_cap_c_pl|草 原 帽 
itm_leather_warrior_cap|皮 勇 士 帽 
itm_leather_warrior_cap_pl|皮 勇 士 帽 
itm_skullcap|無 邊 盔 
itm_skullcap_pl|無 邊 盔 
itm_mail_coif|鏈 甲 頭 肩 巾 
itm_mail_coif_pl|鏈 甲 頭 肩 巾 
itm_footman_helmet|步 兵 盔 
itm_footman_helmet_pl|步 兵 盔 
itm_nasal_helmet|帶 護 鼻 盔 
itm_nasal_helmet_pl|帶 護 鼻 盔 
itm_norman_helmet|帶 帽 頭 盔 
itm_norman_helmet_pl|帶 帽 頭 盔 
itm_segmented_helmet|組 合 盔 
itm_segmented_helmet_pl|組 合 盔 
itm_helmet_with_neckguard|帶 護 頸 頭 盔 
itm_helmet_with_neckguard_pl|帶 護 頸 頭 盔 
itm_flat_topped_helmet|平 頂 盔 
itm_flat_topped_helmet_pl|平 頂 盔 
itm_kettle_hat|鍋 盔 
itm_kettle_hat_pl|鍋 盔 
itm_spiked_helmet|錐 頂 頭 盔 
itm_spiked_helmet_pl|錐 頂 頭 盔 
itm_nordic_helmet|日 爾 曼 盔 
itm_nordic_helmet_pl|日 爾 曼 盔 
itm_khergit_lady_hat|庫 吉 特 女 式 帽 
itm_khergit_lady_hat_pl|庫 吉 特 女 式 帽 
itm_khergit_lady_hat_b|庫 吉 特 女 式 皮 帽 
itm_khergit_lady_hat_b_pl|庫 吉 特 女 式 皮 帽 
itm_sarranid_felt_hat|薩 蘭 德 氈 帽 
itm_sarranid_felt_hat_pl|薩 蘭 德 氈 帽 
itm_turban|頭 巾 
itm_turban_pl|頭 巾 
itm_desert_turban|沙 漠 頭 巾 
itm_desert_turban_pl|沙 漠 頭 巾 
itm_sarranid_warrior_cap|薩 蘭 德 勇 士 帽 
itm_sarranid_warrior_cap_pl|薩 蘭 德 勇 士 帽 
itm_sarranid_horseman_helmet|騎 手 盔 
itm_sarranid_horseman_helmet_pl|騎 手 盔 
itm_sarranid_helmet1|薩 蘭 德 頭 巾 盔 
itm_sarranid_helmet1_pl|薩 蘭 德 頭 巾 盔 
itm_sarranid_mail_coif|薩 蘭 德 鏈 甲 頭 肩 巾 
itm_sarranid_mail_coif_pl|薩 蘭 德 鏈 甲 頭 肩 巾 
itm_sarranid_veiled_helmet|薩 蘭 德 遮 面 盔 
itm_sarranid_veiled_helmet_pl|薩 蘭 德 遮 面 盔 
itm_nordic_archer_helmet|日 耳 曼 皮 盔 
itm_nordic_archer_helmet_pl|日 耳 曼 皮 盔 
itm_nordic_veteran_archer_helmet|日 耳 曼 皮 盔 
itm_nordic_veteran_archer_helmet_pl|日 耳 曼 皮 盔 
itm_nordic_footman_helmet|日 耳 曼 步 兵 盔 
itm_nordic_footman_helmet_pl|日 耳 曼 步 兵 盔 
itm_nordic_fighter_helmet|日 耳 曼 斗 士 盔 
itm_nordic_fighter_helmet_pl|日 耳 曼 斗 士 盔 
itm_nordic_huscarl_helmet|日 耳 曼 近 衛 盔 
itm_nordic_huscarl_helmet_pl|日 耳 曼 近 衛 盔 
itm_nordic_warlord_helmet|日 耳 曼 戰 神 盔 
itm_nordic_warlord_helmet_pl|日 耳 曼 戰 神 盔 
itm_vaegir_fur_cap|毛 皮 盔 
itm_vaegir_fur_cap_pl|毛 皮 盔 
itm_vaegir_fur_helmet|維 吉 亞 盔 
itm_vaegir_fur_helmet_pl|維 吉 亞 盔 
itm_vaegir_spiked_helmet|錐 頂 帽 
itm_vaegir_spiked_helmet_pl|錐 頂 帽 
itm_vaegir_lamellar_helmet|鱗 片 護 甲 盔 
itm_vaegir_lamellar_helmet_pl|鱗 片 護 甲 盔 
itm_vaegir_noble_helmet|維 吉 亞 貴 族 盔 
itm_vaegir_noble_helmet_pl|維 吉 亞 貴 族 盔 
itm_vaegir_war_helmet|維 吉 亞 戰 盔 
itm_vaegir_war_helmet_pl|維 吉 亞 戰 盔 
itm_vaegir_mask|維 吉 亞 面 具 戰 盔 
itm_vaegir_mask_pl|維 吉 亞 面 具 戰 盔 
itm_bascinet|尖 頂 盔 
itm_bascinet_pl|尖 頂 盔 
itm_bascinet_2|帶 面 罩 尖 頂 盔 
itm_bascinet_2_pl|帶 面 罩 尖 頂 盔 
itm_bascinet_3|帶 護 鼻 尖 頂 盔 
itm_bascinet_3_pl|帶 護 鼻 尖 頂 盔 
itm_guard_helmet|護 盔 
itm_guard_helmet_pl|護 盔 
itm_black_helmet|黑 盔 
itm_black_helmet_pl|黑 盔 
itm_full_helm|覆 面 盔 
itm_full_helm_pl|覆 面 盔 
itm_great_helmet|巨 盔 
itm_great_helmet_pl|巨 盔 
itm_winged_great_helmet|帶 翼 巨 盔 
itm_winged_great_helmet_pl|帶 翼 巨 盔 
itm_wooden_stick|木 枝 
itm_wooden_stick_pl|木 枝 
itm_cudgel|短 棍 
itm_cudgel_pl|短 棍 
itm_hammer|錘 子 
itm_hammer_pl|錘 子 
itm_club|木 棒 
itm_club_pl|木 棒 
itm_winged_mace|凸 緣 杖 
itm_winged_mace_pl|凸 緣 杖 
itm_spiked_mace|尖 頭 杖 
itm_spiked_mace_pl|尖 頭 杖 
itm_military_hammer|軍 用 錘 
itm_military_hammer_pl|軍 用 錘 
itm_maul|木 錘 
itm_maul_pl|木 錘 
itm_sledgehammer|大 錘 
itm_sledgehammer_pl|大 錘 
itm_warhammer|巨 錘 
itm_warhammer_pl|巨 錘 
itm_pickaxe|鶴 嘴 鋤 
itm_pickaxe_pl|鶴 嘴 鋤 
itm_spiked_club|尖 頭 棒 
itm_spiked_club_pl|尖 頭 棒 
itm_fighting_pick|格 斗 鋤 
itm_fighting_pick_pl|格 斗 鋤 
itm_military_pick|軍 用 鋤 
itm_military_pick_pl|軍 用 鋤 
itm_morningstar|釘 頭 錘 
itm_morningstar_pl|釘 頭 錘 
itm_sickle|鐮 刀 
itm_sickle_pl|鐮 刀 
itm_cleaver|菜 刀 
itm_cleaver_pl|菜 刀 
itm_knife|小 刀 
itm_knife_pl|小 刀 
itm_butchering_knife|屠 宰 刀 
itm_butchering_knife_pl|屠 宰 刀 
itm_dagger|匕 首 
itm_dagger_pl|匕 首 
itm_falchion|單 刀 
itm_falchion_pl|單 刀 
itm_scimitar|彎 刀 
itm_scimitar_pl|彎 刀 
itm_scimitar_b|精 銳 彎 刀 
itm_scimitar_b_pl|精 銳 彎 刀 
itm_arabian_sword_a|薩 蘭 德 劍 
itm_arabian_sword_a_pl|薩 蘭 德 劍 
itm_arabian_sword_b|薩 蘭 德 戰 士 劍 
itm_arabian_sword_b_pl|薩 蘭 德 戰 士 劍 
itm_sarranid_cavalry_sword|薩 蘭 德 騎 兵 劍 
itm_sarranid_cavalry_sword_pl|薩 蘭 德 騎 兵 劍 
itm_arabian_sword_d|薩 蘭 德 衛 士 劍 
itm_arabian_sword_d_pl|薩 蘭 德 衛 士 劍 
itm_great_sword|巨 劍 
itm_great_sword_pl|巨 劍 
itm_sword_of_war|戰 爭 之 劍 
itm_sword_of_war_pl|戰 爭 之 劍 
itm_hatchet|短 斧 
itm_hatchet_pl|短 斧 
itm_hand_axe|手 斧 
itm_hand_axe_pl|手 斧 
itm_fighting_axe|格 斗 斧 
itm_fighting_axe_pl|格 斗 斧 
itm_axe|斧 
itm_axe_pl|斧 
itm_voulge|長 柄 砍 刀 
itm_voulge_pl|長 柄 砍 刀 
itm_battle_axe|戰 斗 斧 
itm_battle_axe_pl|戰 斗 斧 
itm_war_axe|戰 斧 
itm_war_axe_pl|戰 斧 
itm_sword_two_handed_b|雙 手 劍 
itm_sword_two_handed_b_pl|雙 手 劍 
itm_sword_two_handed_a|巨 劍 
itm_sword_two_handed_a_pl|巨 劍 
itm_khergit_sword_two_handed_a|雙 手 彎 刀 
itm_khergit_sword_two_handed_a_pl|雙 手 彎 刀 
itm_khergit_sword_two_handed_b|雙 手 彎 刀 
itm_khergit_sword_two_handed_b_pl|雙 手 彎 刀 
itm_two_handed_cleaver|直 刃 戰 刀 
itm_two_handed_cleaver_pl|直 刃 戰 刀 
itm_military_cleaver_b|直 刃 士 兵 刀 
itm_military_cleaver_b_pl|直 刃 士 兵 刀 
itm_military_cleaver_c|直 刃 軍 用 刀 
itm_military_cleaver_c_pl|直 刃 軍 用 刀 
itm_military_sickle_a|軍 用 鐮 刀 
itm_military_sickle_a_pl|軍 用 鐮 刀 
itm_bastard_sword_a|手 半 劍 
itm_bastard_sword_a_pl|手 半 劍 
itm_bastard_sword_b|重 型 手 半 劍 
itm_bastard_sword_b_pl|重 型 手 半 劍 
itm_one_handed_war_axe_a|單 手 斧 
itm_one_handed_war_axe_a_pl|單 手 斧 
itm_one_handed_battle_axe_a|單 手 戰 斗 斧 
itm_one_handed_battle_axe_a_pl|單 手 戰 斗 斧 
itm_one_handed_war_axe_b|單 手 戰 斧 
itm_one_handed_war_axe_b_pl|單 手 戰 斧 
itm_one_handed_battle_axe_b|單 手 戰 斗 斧 
itm_one_handed_battle_axe_b_pl|單 手 戰 斗 斧 
itm_one_handed_battle_axe_c|單 手 戰 斗 斧 
itm_one_handed_battle_axe_c_pl|單 手 戰 斗 斧 
itm_two_handed_axe|雙 手 斧 
itm_two_handed_axe_pl|雙 手 斧 
itm_two_handed_battle_axe_2|雙 手 戰 斧 
itm_two_handed_battle_axe_2_pl|雙 手 戰 斧 
itm_shortened_voulge|短 柄 砍 刀 
itm_shortened_voulge_pl|短 柄 砍 刀 
itm_great_axe|巨 斧 
itm_great_axe_pl|巨 斧 
itm_long_axe|長 斧 
itm_long_axe_pl|長 斧 
itm_long_axe_alt|長 斧 
itm_long_axe_alt_pl|長 斧 
itm_long_axe_b|長 戰 斧 
itm_long_axe_b_pl|長 戰 斧 
itm_long_axe_b_alt|長 戰 斧 
itm_long_axe_b_alt_pl|長 戰 斧 
itm_long_axe_c|巨 型 長 斧 
itm_long_axe_c_pl|巨 型 長 斧 
itm_long_axe_c_alt|巨 型 長 斧 
itm_long_axe_c_alt_pl|巨 型 長 斧 
itm_bardiche|月 刃 斧 
itm_bardiche_pl|月 刃 斧 
itm_great_bardiche|巨 型 月 刃 斧 
itm_great_bardiche_pl|巨 型 月 刃 斧 
itm_voulge|長 柄 砍 刀 
itm_voulge_pl|長 柄 砍 刀 
itm_long_bardiche|長 月 刃 斧 
itm_long_bardiche_pl|長 月 刃 斧 
itm_great_long_bardiche|巨 型 長 月 刃 斧 
itm_great_long_bardiche_pl|巨 型 長 月 刃 斧 
itm_hafted_blade_b|偃 月 刀 
itm_hafted_blade_b_pl|偃 月 刀 
itm_hafted_blade_a|寬 刃 刀 
itm_hafted_blade_a_pl|寬 刃 刀 
itm_shortened_military_scythe|短 柄 軍 用 鐮 
itm_shortened_military_scythe_pl|短 柄 軍 用 鐮 
itm_sword_medieval_a|劍 
itm_sword_medieval_a_pl|劍 
itm_sword_medieval_b|劍 
itm_sword_medieval_b_pl|劍 
itm_sword_medieval_b_small|短 劍 
itm_sword_medieval_b_small_pl|短 劍 
itm_sword_medieval_c|戰 士 劍 
itm_sword_medieval_c_pl|戰 士 劍 
itm_sword_medieval_c_small|戰 士 短 劍 
itm_sword_medieval_c_small_pl|戰 士 短 劍 
itm_sword_medieval_c_long|戰 士 劍 
itm_sword_medieval_c_long_pl|戰 士 劍 
itm_sword_medieval_d_long|戰 士 長 劍 
itm_sword_medieval_d_long_pl|戰 士 長 劍 
itm_sword_viking_1|日 耳 曼 劍 
itm_sword_viking_1_pl|日 耳 曼 劍 
itm_sword_viking_2|日 耳 曼 劍 
itm_sword_viking_2_pl|日 耳 曼 劍 
itm_sword_viking_2_small|日 耳 曼 短 劍 
itm_sword_viking_2_small_pl|日 耳 曼 短 劍 
itm_sword_viking_3|日 耳 曼 戰 劍 
itm_sword_viking_3_pl|日 耳 曼 戰 劍 
itm_sword_viking_3_small|日 耳 曼 短 戰 劍 
itm_sword_viking_3_small_pl|日 耳 曼 短 戰 劍 
itm_sword_khergit_1|游 牧 彎 刀 
itm_sword_khergit_1_pl|游 牧 彎 刀 
itm_sword_khergit_2|彎 刀 
itm_sword_khergit_2_pl|彎 刀 
itm_sword_khergit_3|彎 刀 
itm_sword_khergit_3_pl|彎 刀 
itm_sword_khergit_4|重 型 彎 刀 
itm_sword_khergit_4_pl|重 型 彎 刀 
itm_mace_1|尖 頭 棒 
itm_mace_1_pl|尖 頭 棒 
itm_mace_2|圓 頭 杖 
itm_mace_2_pl|圓 頭 杖 
itm_mace_3|尖 頭 杖 
itm_mace_3_pl|尖 頭 杖 
itm_mace_4|翼 頭 杖 
itm_mace_4_pl|翼 頭 杖 
itm_club_with_spike_head|尖 頭 棍 
itm_club_with_spike_head_pl|尖 頭 棍 
itm_long_spiked_club|長 釘 棒 
itm_long_spiked_club_pl|長 釘 棒 
itm_long_hafted_knobbed_mace|長 柄 圓 頭 杖 
itm_long_hafted_knobbed_mace_pl|長 柄 圓 頭 杖 
itm_long_hafted_spiked_mace|長 柄 尖 頭 杖 
itm_long_hafted_spiked_mace_pl|長 柄 尖 頭 杖 
itm_sarranid_two_handed_mace_1|鐵 杖 
itm_sarranid_two_handed_mace_1_pl|鐵 杖 
itm_sarranid_mace_1|鐵 杖 
itm_sarranid_mace_1_pl|鐵 杖 
itm_sarranid_axe_a|鐵 戰 斗 斧 
itm_sarranid_axe_a_pl|鐵 戰 斗 斧 
itm_sarranid_axe_b|鐵 戰 斧 
itm_sarranid_axe_b_pl|鐵 戰 斧 
itm_sarranid_two_handed_axe_a|薩 蘭 德 戰 斗 斧 
itm_sarranid_two_handed_axe_a_pl|薩 蘭 德 戰 斗 斧 
itm_sarranid_two_handed_axe_b|薩 蘭 德 戰 斧 
itm_sarranid_two_handed_axe_b_pl|薩 蘭 德 戰 斧 
itm_scythe|長 柄 鐮 刀 
itm_scythe_pl|長 柄 鐮 刀 
itm_pitch_fork|耙 子 
itm_pitch_fork_pl|耙 子 
itm_military_fork|軍 用 叉 
itm_military_fork_pl|軍 用 叉 
itm_battle_fork|戰 斗 叉 
itm_battle_fork_pl|戰 斗 叉 
itm_boar_spear|尖 矛 
itm_boar_spear_pl|尖 矛 
itm_jousting_lance|練 習 騎 槍 
itm_jousting_lance_pl|練 習 騎 槍 
itm_double_sided_lance|雙 頭 騎 槍 
itm_double_sided_lance_pl|雙 頭 騎 槍 
itm_glaive|長 柄 大 刀 
itm_glaive_pl|長 柄 大 刀 
itm_poleaxe|長 柄 斧 
itm_poleaxe_pl|長 柄 斧 
itm_polehammer|長 柄 錘 
itm_polehammer_pl|長 柄 錘 
itm_staff|棍 
itm_staff_pl|棍 
itm_quarter_staff|鐵 頭 棍 
itm_quarter_staff_pl|鐵 頭 棍 
itm_iron_staff|鐵 棍 
itm_iron_staff_pl|鐵 棍 
itm_shortened_spear|短 柄 矛 
itm_shortened_spear_pl|短 柄 矛 
itm_spear|矛 
itm_spear_pl|矛 
itm_bamboo_spear|竹 矛 
itm_bamboo_spear_pl|竹 矛 
itm_war_spear|戰 矛 
itm_war_spear_pl|戰 矛 
itm_military_scythe|軍 用 鐮 
itm_military_scythe_pl|軍 用 鐮 
itm_light_lance|輕 型 騎 槍 
itm_light_lance_pl|輕 型 騎 槍 
itm_lance|騎 槍 
itm_lance_pl|騎 槍 
itm_heavy_lance|重 型 騎 槍 
itm_heavy_lance_pl|重 型 騎 槍 
itm_great_lance|巨 型 騎 槍 
itm_great_lance_pl|巨 型 騎 槍 
itm_pike|槍 
itm_pike_pl|槍 
itm_ashwood_pike|灰 木 槍 
itm_ashwood_pike_pl|灰 木 槍 
itm_awlpike|錐 頭 槍 
itm_awlpike_pl|錐 頭 槍 
itm_awlpike_long|長 錐 頭 槍 
itm_awlpike_long_pl|長 錐 頭 槍 
itm_bec_de_corbin_a|戰 錘 
itm_bec_de_corbin_a_pl|戰 錘 
itm_wooden_shield|木 盾 
itm_wooden_shield_pl|木 盾 
itm_nordic_shield|日 爾 曼 盾 
itm_nordic_shield_pl|日 爾 曼 盾 
itm_fur_covered_shield|蒙 皮 盾 
itm_fur_covered_shield_pl|蒙 皮 盾 
itm_steel_shield|鋼 盾 
itm_steel_shield_pl|鋼 盾 
itm_plate_covered_round_shield|覆 板 圓 盾 
itm_plate_covered_round_shield_pl|覆 板 圓 盾 
itm_leather_covered_round_shield|蒙 皮 圓 盾 
itm_leather_covered_round_shield_pl|蒙 皮 圓 盾 
itm_hide_covered_round_shield|獸 皮 圓 盾 
itm_hide_covered_round_shield_pl|獸 皮 圓 盾 
itm_shield_heater_c|扇 形 盾 
itm_shield_heater_c_pl|扇 形 盾 
itm_norman_shield_1|箏 形 盾 
itm_norman_shield_1_pl|箏 形 盾 
itm_norman_shield_2|箏 形 盾 
itm_norman_shield_2_pl|箏 形 盾 
itm_norman_shield_3|箏 形 盾 
itm_norman_shield_3_pl|箏 形 盾 
itm_norman_shield_4|箏 形 盾 
itm_norman_shield_4_pl|箏 形 盾 
itm_norman_shield_5|箏 形 盾 
itm_norman_shield_5_pl|箏 形 盾 
itm_norman_shield_6|箏 形 盾 
itm_norman_shield_6_pl|箏 形 盾 
itm_norman_shield_7|箏 形 盾 
itm_norman_shield_7_pl|箏 形 盾 
itm_norman_shield_8|箏 形 盾 
itm_norman_shield_8_pl|箏 形 盾 
itm_tab_shield_round_a|舊 圓 盾 
itm_tab_shield_round_a_pl|舊 圓 盾 
itm_tab_shield_round_b|簡 易 圓 盾 
itm_tab_shield_round_b_pl|簡 易 圓 盾 
itm_tab_shield_round_c|圓 盾 
itm_tab_shield_round_c_pl|圓 盾 
itm_tab_shield_round_d|重 型 圓 盾 
itm_tab_shield_round_d_pl|重 型 圓 盾 
itm_tab_shield_round_e|皇 家 侍 衛 圓 盾 
itm_tab_shield_round_e_pl|皇 家 侍 衛 圓 盾 
itm_tab_shield_kite_a|舊 箏 形 盾 
itm_tab_shield_kite_a_pl|舊 箏 形 盾 
itm_tab_shield_kite_b|簡 易 箏 形 盾 
itm_tab_shield_kite_b_pl|簡 易 箏 形 盾 
itm_tab_shield_kite_c|箏 形 盾 
itm_tab_shield_kite_c_pl|箏 形 盾 
itm_tab_shield_kite_d|重 型 箏 形 盾 
itm_tab_shield_kite_d_pl|重 型 箏 形 盾 
itm_tab_shield_kite_cav_a|騎 手 箏 形 盾 
itm_tab_shield_kite_cav_a_pl|騎 手 箏 形 盾 
itm_tab_shield_kite_cav_b|騎 士 箏 形 盾 
itm_tab_shield_kite_cav_b_pl|騎 士 箏 形 盾 
itm_tab_shield_heater_a|舊 扇 形 盾 
itm_tab_shield_heater_a_pl|舊 扇 形 盾 
itm_tab_shield_heater_b|簡 易 扇 形 盾 
itm_tab_shield_heater_b_pl|簡 易 扇 形 盾 
itm_tab_shield_heater_c|扇 形 盾 
itm_tab_shield_heater_c_pl|扇 形 盾 
itm_tab_shield_heater_d|重 扇 形 盾 
itm_tab_shield_heater_d_pl|重 扇 形 盾 
itm_tab_shield_heater_cav_a|騎 手 扇 形 盾 
itm_tab_shield_heater_cav_a_pl|騎 手 扇 形 盾 
itm_tab_shield_heater_cav_b|騎 士 扇 形 盾 
itm_tab_shield_heater_cav_b_pl|騎 士 扇 形 盾 
itm_tab_shield_pavise_a|舊 闊 盾 
itm_tab_shield_pavise_a_pl|舊 闊 盾 
itm_tab_shield_pavise_b|平 面 闊 盾 
itm_tab_shield_pavise_b_pl|平 面 闊 盾 
itm_tab_shield_pavise_c|闊 盾 
itm_tab_shield_pavise_c_pl|闊 盾 
itm_tab_shield_pavise_d|重 型 闊 盾 
itm_tab_shield_pavise_d_pl|重 型 闊 盾 
itm_tab_shield_small_round_a|平 面 騎 兵 盾 
itm_tab_shield_small_round_a_pl|平 面 騎 兵 盾 
itm_tab_shield_small_round_b|圓 騎 兵 盾 
itm_tab_shield_small_round_b_pl|圓 騎 兵 盾 
itm_tab_shield_small_round_c|精 銳 騎 兵 盾 
itm_tab_shield_small_round_c_pl|精 銳 騎 兵 盾 
itm_darts|梭 鏢 
itm_darts_pl|梭 鏢 
itm_war_darts|戰 鏢 
itm_war_darts_pl|戰 鏢 
itm_javelin|標 槍 
itm_javelin_pl|標 槍 
itm_javelin_melee|標 槍 
itm_javelin_melee_pl|標 槍 
itm_throwing_spears|投 矛 
itm_throwing_spears_pl|投 矛 
itm_throwing_spear_melee|投 矛 
itm_throwing_spear_melee_pl|投 矛 
itm_jarid|短 標 槍 
itm_jarid_pl|短 標 槍 
itm_jarid_melee|短 標 槍 
itm_jarid_melee_pl|短 標 槍 
itm_stones|石 子 
itm_stones_pl|石 子 
itm_throwing_knives|飛 刀 
itm_throwing_knives_pl|飛 刀 
itm_throwing_daggers|飛 刀 
itm_throwing_daggers_pl|飛 刀 
itm_light_throwing_axes|輕 型 飛 斧 
itm_light_throwing_axes_pl|輕 型 飛 斧 
itm_light_throwing_axes_melee|輕 型 飛 斧 
itm_light_throwing_axes_melee_pl|輕 型 飛 斧 
itm_throwing_axes|飛 斧 
itm_throwing_axes_pl|飛 斧 
itm_throwing_axes_melee|飛 斧 
itm_throwing_axes_melee_pl|飛 斧 
itm_heavy_throwing_axes|重 型 飛 斧 
itm_heavy_throwing_axes_pl|重 型 飛 斧 
itm_heavy_throwing_axes_melee|重 型 飛 斧 
itm_heavy_throwing_axes_melee_pl|重 型 飛 斧 
itm_hunting_bow|獵 弓 
itm_hunting_bow_pl|獵 弓 
itm_short_bow|短 弓 
itm_short_bow_pl|短 弓 
itm_nomad_bow|游 牧 弓 
itm_nomad_bow_pl|游 牧 弓 
itm_long_bow|長 弓 
itm_long_bow_pl|長 弓 
itm_khergit_bow|庫 吉 特 弓 
itm_khergit_bow_pl|庫 吉 特 弓 
itm_strong_bow|硬 弓 
itm_strong_bow_pl|硬 弓 
itm_war_bow|戰 弓 
itm_war_bow_pl|戰 弓 
itm_hunting_crossbow|獵 弩 
itm_hunting_crossbow_pl|獵 弩 
itm_light_crossbow|輕 弩 
itm_light_crossbow_pl|輕 弩 
itm_crossbow|弩 
itm_crossbow_pl|弩 
itm_heavy_crossbow|重 弩 
itm_heavy_crossbow_pl|重 弩 
itm_sniper_crossbow|攻 城 弩 
itm_sniper_crossbow_pl|攻 城 弩 
itm_flintlock_pistol|燧 石 發 火 手 槍 
itm_flintlock_pistol_pl|燧 石 發 火 手 槍 
itm_torch|火 把 
itm_torch_pl|火 把 
itm_lyre|裡 拉 琴 
itm_lyre_pl|裡 拉 琴 
itm_lute|魯 特 琴 
itm_lute_pl|魯 特 琴 
itm_strange_armor|奇 形 甲 
itm_strange_armor_pl|奇 形 甲 
itm_strange_boots|奇 形 靴 
itm_strange_boots_pl|奇 形 靴 
itm_strange_helmet|奇 形 盔 
itm_strange_helmet_pl|奇 形 盔 
itm_strange_sword|奇 形 刀 
itm_strange_sword_pl|奇 形 刀 
itm_strange_great_sword|奇 形 長 刀 
itm_strange_great_sword_pl|奇 形 長 刀 
itm_strange_short_sword|奇 形 短 刀 
itm_strange_short_sword_pl|奇 形 短 刀 
itm_court_dress|侍 女 裙 
itm_court_dress_pl|侍 女 裙 
itm_rich_outfit|華 服 
itm_rich_outfit_pl|華 服 
itm_khergit_guard_armor|庫 吉 特 護 甲 
itm_khergit_guard_armor_pl|庫 吉 特 護 甲 
itm_felt_steppe_cap|草 原 帶 沿 帽 
itm_felt_steppe_cap_pl|草 原 帶 沿 帽 
itm_khergit_war_helmet|庫 吉 特 戰 盔 
itm_khergit_war_helmet_pl|庫 吉 特 戰 盔 
itm_khergit_helmet|庫 吉 特 盔 
itm_khergit_helmet_pl|庫 吉 特 盔 
itm_khergit_guard_boots|庫 吉 特 護 靴 
itm_khergit_guard_boots_pl|庫 吉 特 護 靴 
itm_khergit_guard_helmet|庫 吉 特 護 盔 
itm_khergit_guard_helmet_pl|庫 吉 特 護 盔 
itm_khergit_cavalry_helmet|庫 吉 特 騎 盔 
itm_khergit_cavalry_helmet_pl|庫 吉 特 騎 盔 
itm_black_hood|黑 風 帽 
itm_black_hood_pl|黑 風 帽 
itm_light_leather|輕 皮 甲 
itm_light_leather_pl|輕 皮 甲 
itm_light_leather_boots|輕 皮 靴 
itm_light_leather_boots_pl|輕 皮 靴 
itm_mail_and_plate|鏈 板 復 合 甲 
itm_mail_and_plate_pl|鏈 板 復 合 甲 
itm_light_mail_and_plate|輕 鏈 板 復 合 甲 
itm_light_mail_and_plate_pl|輕 鏈 板 復 合 甲 
itm_byzantion_helmet_a|拜 占 庭 盔 
itm_byzantion_helmet_a_pl|拜 占 庭 盔 
itm_magyar_helmet_a|馬 扎 爾 盔 
itm_magyar_helmet_a_pl|馬 扎 爾 盔 
itm_rus_helmet_a|鋼 盔 
itm_rus_helmet_a_pl|鋼 盔 
itm_sipahi_helmet_a|西 帕 希 盔 
itm_sipahi_helmet_a_pl|西 帕 希 盔 
itm_shahi|薩 希 
itm_shahi_pl|薩 希 
itm_rabati|拉 巴 特 
itm_rabati_pl|拉 巴 特 
itm_tunic_with_green_cape|綠 色 帶 披 風 短 袍 
itm_tunic_with_green_cape_pl|綠 色 帶 披 風 短 袍 
itm_keys|鑰 匙 串 
itm_keys_pl|鑰 匙 串 
itm_bride_dress|新 娘 裝 
itm_bride_dress_pl|新 娘 裝 
itm_bride_crown|花 冠 
itm_bride_crown_pl|花 冠 
itm_bride_shoes|新 娘 鞋 
itm_bride_shoes_pl|新 娘 鞋 
itm_practice_bow_2|練 習 弓 
itm_practice_bow_2_pl|練 習 弓 
itm_practice_arrows_2|練 習 箭 
itm_practice_arrows_2_pl|練 習 箭 
itm_plate_boots|板 甲 靴 
itm_plate_boots_pl|板 甲 靴 
itm_mail_boots_for_tableau|鏈 甲 靴 
itm_mail_boots_for_tableau_pl|鏈 甲 靴 
itm_warhorse_sarranid|薩 蘭 德 軍 馬 
itm_warhorse_sarranid_pl|薩 蘭 德 軍 馬 
itm_warhorse_steppe|草 原 戰 馬 
itm_warhorse_steppe_pl|草 原 戰 馬 
itm_items_end|Items End 
itm_items_end_pl|Items End 
