stringsfile version 1
7096
str_no_string NO_STRING!
str_npc51_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc52_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc53_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc54_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc55_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc56_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc57_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc58_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc59_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc60_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc61_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc62_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc63_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc64_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc65_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc66_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc67_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc68_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc69_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc70_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc71_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc72_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc73_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc74_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc75_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc76_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc77_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc78_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc79_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc80_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc81_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc82_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc83_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc84_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc85_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc86_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc87_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc88_intro_response_1 I_am_sorry,_have_we_met_before?
str_npc1_intro_response_2 My_mistake_Master_Slayer,_I_will_leave_now,_1000_apologies.
str_npc2_intro_response_2 Yes_but_I_would_rather_not_discuss_my_work.
str_npc3_intro_response_2 Then_lets_not_say_anything._Goodbye.
str_npc4_intro_response_2 Not_really_no.
str_npc5_intro_response_2 Only_ones_I_can_trust.
str_npc6_intro_response_2 I_will_tell_you_no_such_thing.
str_npc7_intro_response_2 I_am_not_one_to_be_taken_in_by_fanciful_tales.
str_npc8_intro_response_2 Thanks_I_guess.
str_npc9_intro_response_2 I_will_not_drink_with_anyone_who_slights_the_honourable.
str_npc10_intro_response_2 I_am_not_staring,_just_passing_by.
str_npc11_intro_response_2 Nothing,_just_passing_through.
str_npc12_intro_response_2 You_insult_my_ears_with_that_high_pitch_wailing_of_yours.
str_npc13_intro_response_2 No,_I_need_no_help_from_you.
str_npc14_intro_response_2 Not_at_this_time,_good_day.
str_npc15_intro_response_2 Mind_your_own_business,_sir.
str_npc16_intro_response_2 No_I_don't,_move_along.
str_npc17_intro_response_2 Actually_it_is_you_who_is_bothering_me.
str_npc18_intro_response_2 Nothing_important_no,_enjoy_your_Black_Jack.
str_npc19_intro_response_2 I_don't_have_time_I_am_afraid.
str_npc20_intro_response_2 Good_day_indeed.
str_npc21_intro_response_2 Madness_really_is_the_strangest_of_afflictions.
str_npc22_intro_response_2 Yes_they_are,_so_you_had_better_mind_your_own_business.
str_npc23_intro_response_2 No_way_grandpa,_you_stink!
str_npc24_intro_response_2 Maybe,_but_I_wish_we_hadn't.
str_npc25_intro_response_2 Mind_your_own_business.
str_npc26_intro_response_2 I_have_no_business_with_you_ogre.
str_npc27_intro_response_2 No_trouble_at_all,_I_will_be_on_my_way.
str_npc28_intro_response_2 I_have_no_business_with_the_undead.
str_npc29_intro_response_2 Not_interested.
str_npc30_intro_response_2 Not_interested.
str_npc31_intro_response_2 Not_interested.
str_npc32_intro_response_2 Not_interested.
str_npc33_intro_response_2 Not_interested
str_npc34_intro_response_2 Not_interested.
str_npc35_intro_response_2 Not_interested.
str_npc36_intro_response_2 Not_interested.
str_npc37_intro_response_2 Not_interested.
str_npc38_intro_response_2 Not_interested.
str_npc39_intro_response_2 Not_interested.
str_npc40_intro_response_2 Not_interested.
str_npc41_intro_response_2 Not_interested.
str_npc42_intro_response_2 Not_interested.
str_npc43_intro_response_2 Not_interested.
str_npc44_intro_response_2 Not_interested.
str_npc45_intro_response_2 Not_interested.
str_npc46_intro_response_2 Not_interested.
str_npc47_intro_response_2 Not_interested.
str_npc48_intro_response_2 Not_interested.
str_npc49_intro_response_2 Not_interested.
str_npc50_intro_response_2 Not_interested.
str_npc51_intro_response_2 Not_interested.
str_npc52_intro_response_2 Not_interested.
str_npc53_intro_response_2 Not_interested.
str_npc54_intro_response_2 Not_interested.
str_npc55_intro_response_2 Not_interested.
str_npc56_intro_response_2 Not_interested.
str_npc57_intro_response_2 Not_interested.
str_npc58_intro_response_2 Not_interested.
str_npc59_intro_response_2 Not_interested.
str_npc60_intro_response_2 Not_interested.
str_npc61_intro_response_2 Not_interested.
str_npc62_intro_response_2 Not_interested.
str_npc63_intro_response_2 Not_interested.
str_npc64_intro_response_2 Not_interested.
str_npc65_intro_response_2 Not_interested.
str_npc66_intro_response_2 Not_interested.
str_npc67_intro_response_2 Not_interested.
str_npc68_intro_response_2 Not_interested.
str_npc69_intro_response_2 Not_interested.
str_npc70_intro_response_2 Not_interested.
str_npc71_intro_response_2 Not_interested.
str_npc72_intro_response_2 Not_interested.
str_npc73_intro_response_2 Not_interested.
str_npc74_intro_response_2 Not_interested.
str_npc75_intro_response_2 Not_interested.
str_npc76_intro_response_2 Not_interested.
str_npc77_intro_response_2 Not_interested.
str_npc78_intro_response_2 Not_interested.
str_npc79_intro_response_2 Not_interested.
str_npc80_intro_response_2 Not_interested.
str_npc81_intro_response_2 Not_interested.
str_npc82_intro_response_2 Not_interested.
str_npc83_intro_response_2 Not_interested.
str_npc84_intro_response_2 Not_interested.
str_npc85_intro_response_2 Not_interested.
str_npc86_intro_response_2 Not_interested.
str_npc87_intro_response_2 Not_interested.
str_npc88_intro_response_2 Not_interested.
str_npc1_backstory_a You_don't_look_like_much_of_an_adventurer...._mmmm.
str_npc2_backstory_a Your_party_interests_me.
str_npc3_backstory_a I_enquired_when_I_saw_your_party_enter_the_town._They_say_you_are_a_bold_warrior_and_that_you_are_on_the_lookout_for_other_able_warriors_to_join_you.
str_npc4_backstory_a Yes_it_seems_my_lack_of_orcness_never_escapes_me.
str_npc5_backstory_a Then_Ripnitch_the_assassin_is_where_you_should_invest_your_money.
str_npc6_backstory_a I_have_trodden_every_part_of_these_great_lands,_I_am_Mathias_Thulmann,_Master_Witch_Hunter.
str_npc7_backstory_a I_am_not_offering_a_potion,_I_am_offering_my_services_on_the_field_of_battle_and_also_recommending_my_men.
str_npc8_backstory_a Ah_yes,_you_got_me._I_am_not_usually_this_rusty_but_I_am_feeling_a_bit_peaky_after_eating_all_of_Skeezles_goats_cheese,_it_has_put_me_off_my_game.
str_npc9_backstory_a I_am_a_knight_but_I_do_not_follow_any_soft,_repressive_codes_such_as_chivalry_and_honour._All_they_do_is_trick_a_man_into_being_obedient_and_to_restrain_all_the_natural_and_rightful_urges_a_real_man_feels.
str_npc10_backstory_a Grand_campaigns_usually_mean_lots_of_battles_and_lots_of_bloodshed_which_is_exactly_what_I_live_for.
str_npc11_backstory_a I_don't_see_why_but_if_you_must_know_my_name_is_Eketi_and_I_am_a_Commander_of_the_Dark_Elf_naval_fleets.
str_npc12_backstory_a Skrizzle,_skrizzle................._wooooompa.............._Bug_is_me.................._woooooop.
str_npc13_backstory_a My_name_is_Sir_Aristide,_I_am_a_knight_from_the_court_of_King_Leoncouer.
str_npc14_backstory_a My_name_is_Maephilin,_I_am_a_skilled_horse_archer_and_I_used_to_patrol_the_lands_of_Ellyrion_in_the_Old_World_looking_for_enemies_so_I_am_good_at_spotting_enemies_too.
str_npc15_backstory_a I_am_looking_for_someone_to_travel_with,_to_explore_with_and_to_share_stories_with_and_you_look_like_just_the_kind_of_companion_I_am_looking_for.
str_npc16_backstory_a I_have_no_story_really._I_have_been_mocked_and_ridiculed_my_whole_life._Skeezle_is_my_name.
str_npc17_backstory_a Well_of_course_I_am_serious,_it_is_a_serious_world_out_there_with_no_room_for_trivialities.
str_npc18_backstory_a Adventure,_fun,_the_thrill_of_the_chase,_riding_on_the_open_sea_in_the_face_of_danger_that_is_what_is_important_to_me.
str_npc19_backstory_a My_name_is_Nakwatcha_and_I_am_completely_lost.
str_npc20_backstory_a I_am_just_having_a_quick_break_from_my_treasure_hunts,_give_myself_a_chance_to_splash_the_riches_I_manage_to_acquire.
str_npc21_backstory_a I_am_sorry_fellow,_I_thought_you_were_another_punter_coming_over_to_thank_me_for_making_my_beloved_brew.
str_npc22_backstory_a I_am_about_as_dangerous_as_they_come._Like_my_race_I_am_on_a_path_of_destruction_right_now_and_no_one_will_stand_in_my_way.
str_npc23_backstory_a I_used_to_be_a_seafaring_man_you_know,_back_when_I_used_to_leave_port_on_a_regular_basis._Not_enough_booze_out_at_sea_know_what_I_mean_Captain,_hahahaha._So_you_find_me_mostly_on_land_now.
str_npc24_backstory_a No,_but_I_have_tracked_your_party_a_number_of_times_as_you_have_travelled_throughout_the_land._I_am_quite_familiar_with_your_movements.
str_npc25_backstory_a They_look_like_a_decent_lot_but_they_could_use_some_more_training.
str_npc26_backstory_a I_am_no_mercenary_and_you_are_lucky_I_don't_break_you_in_two_for_saying_so._Like_most_Ogres_I_used_to_be_a_mercenary_when_I_was_younger_but_I_have_moved_on_to_greater_things_since_then.
str_npc27_backstory_a Two_hours,_I_killed_a_guard_at_the_gate_for_asking_for_a_toll_to_pass._I_have_had_no_opportunity_since_then_unfortunately.
str_npc28_backstory_a That_is_because_I_am_not_a_Nehekharan,_I_am_an_Imperial_Lord_or_should_I_say_I_used_to_be_an_Imperial_Lord_anyway.
str_npc29_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc30_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc31_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc32_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc33_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc34_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc35_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc36_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc37_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc38_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc39_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc40_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc41_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc42_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc43_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc44_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc45_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc46_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc47_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc48_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc49_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc50_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc51_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc52_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc53_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc54_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc55_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc56_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc57_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc58_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc59_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc60_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc61_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc62_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc63_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc64_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc65_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc66_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc67_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc68_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc69_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc70_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc71_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc72_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc73_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc74_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc75_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc76_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc77_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc78_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc79_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc80_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc81_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc82_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc83_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc84_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc85_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc86_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc87_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc88_backstory_a I_am_looking_for_a_leader,_someone_who_will_give_me_fame_and_fortune.
str_npc1_backstory_b Well_know_this,_I_am_seeking_a_glorious_death_through_fighting_against_the_mightiest_foes._It_is_my_lifes_mission_but_I_will_not_go_down_easily,_it_will_take_a_being_of_legends_to_send_me_to_my_grave._I_used_to_be_an_engineer_before_I_was_disowned_by_my_clan_but_this_is_my_life_now,_I_seek_danger_and_maybe_I_will_seek_it_with_you.
str_npc2_backstory_b My_name_is_Felix._I_am_an_adventurer_and_a_poet_and_I_wish_to_write_the_tales_of_the_leaders_I_follow_when_I_retire._I_am_currently_bound_to_Gotrek_but_I_lost_him_after_a_nights_heavy_drinking._I_will_go_find_him_soon_but_in_the_meantime_I_would_be_happy_to_join_your_party.
str_npc3_backstory_b My_name_is_Jalil_Najid_and_I_used_to_be_the_personal_bodyguard_for_many_of_my_Kingdom's_Caliphs._I_am_a_master_Janissary_and_I_am_famed_for_never_letting_an_assassin_get_close_enough_to_my_master_to_get_into_hand_to_hand_combat._My_eyes_are_sharp_and_my_skill_with_a_bow_is_unrivalled,_if_I_see_you_and_you_are_an_enemy,_then_you_have_but_a_few_seconds_to_live.
str_npc4_backstory_b My_name_is_Oggy_and_I_was_kicked_out_of_my_tribe_for_my_lack_of_aggression._I_was_never_into_breaking_bones,_just_healing_them._I_am_skilled_in_the_arts_of_healing_and_medicine_but_these_skills_got_me_no_respect_back_home.
str_npc5_backstory_b I_kill,_get_high_on_warpstone_and_kill_some_more._Just_show_me_who_is_the_enemy_and_my_blade_will_see_them_rot_on_the_soil.
str_npc6_backstory_b I_dedicate_my_life_to_the_eradication_of_evil_and_the_banishing_of_the_unholy._I_am_currently_taking_a_break_from_a_major_campaign_against_the_Witch_Elves_that_has_been_running_for_years._We_drove_them_out_of_the_Old_World_and_now_we_have_followed_them_to_the_New_World.
str_npc7_backstory_b My_name_is_Captain_Braganza,_leader_of_the_Braganza's_Besiegers,_masters_of_siege_warfare_and_all_wars_of_attrition._We_are_by_far_the_best_value_mercenaries_available_in_the_Old_World_and_up_until_recently_we_have_been_in_the_service_of_the_great_Borgio,_the_highest_endorsement_a_company_can_get.
str_npc8_backstory_b I_am_knowledgeable_in_all_the_plant_life_of_these_lands_and_their_healing_properties._Being_a_healer_is_all_I_have_ever_wanted_to_do_but_my_family_have_sent_me_out_into_the_world_to_teach_me_of_the_world's_dangers_and_make_me_more_serious_apparently.
str_npc9_backstory_b Goats_cheese_always_does_it_to_me_but_you_know_when_you_you_love_something_so_much,_you_don't_even_care,_totally_worth_it,_even_if_it_has_left_me_red_handed.
str_npc10_backstory_b Since_I_was_born_I_have_desired_nothing_but_to_kill_and_destroy_for_the_Gods_who_favoured_me_with_the_power_of_transformation._So_successful_have_I_been_that_I_have_gained_my_own_followers_who_fear_nothing_and_will_fight_savagely_to_their_last_breath.
str_npc11_backstory_b Our_naval_capacity_in_this_part_of_the_world_has_increased_faster_than_any_other_race_over_the_last_few_decades._Very_soon_only_the_pirates_will_be_of_real_concern_to_us._We_are_currently_building_a_new__and_preparing_plans_for_sea_supremacy_so_I_am_out_of_work.
str_npc12_backstory_b Grizznick,_ratatatatatatatata.........................._I_like_to_fight................._booomzoggyzoggy.
str_npc13_backstory_b I_have_recently_completed_a_great_mission_to_make_safe_my_people_in_our_home_lands._The_King_made_me_his_greatest_champion_and_gave_me_a_time_of_leave_to_pray_and_to_see_my_family_but_sooner_than_I_expected_I_was_called_back.
str_npc14_backstory_b Our_situation_here_is_not_as_secure_as_it_used_to_be._We_don't_have_much_land_and_we_are_not_as_dominant_on_the_sea._We_are_vulnerable_in_a_way_we_have_ever_been._Sometimes_the_seas_are_too_dangerous_and_we_need_to_travel_the_whole_distance_of_the_land_to_get_word_to_our_brothers_and_sisters_on_the_continent._This_is_why_I_am_here.
str_npc15_backstory_b My_name_is_Abdul_Khaliq_and_I_am_an_an_anthropologist_and_a_historian._I_live_to_be_educated_and_to_educate_others_on_foreign_cultures_and_of_the_culture_of_my_great_nation_Araby._There_is_alot_of_misunderstanding_and_mistrust_among_races_and_nations_in_this_world,_a_misinterpretation_can_lead_to_unfair_opinions_or_even_war._I_hope_to_be_a_diplomat_when_I_am_older_and_bring_greater_understanding_to_the_world.
str_npc16_backstory_b For_most_of_my_life_I_was_weak,_beyond_weak_really_but_I_always_wanted_to_be_an_assassin_and_be_respected_by_clan_Eshin._I_tried_to_better_myself_for_years_in_the_Old_World,_I_never_gave_up_despite_knowing_my_ability_but_noone_would_really_help_me,_and_I_was_always_a_laughing_stock.
str_npc17_backstory_b You_may_enjoy_a_bit_of_the_jovial_but_when_you_have_lived_a_life_of_protecting_and_serving_your_people_in_times_like_we_have_had_recently_you_will_know_why_I_am_as_stern_as_I_am._My_name_is_Scarloc_and_for_much_of_my_life_I_have_protected_the_Laurelorn_forest_from_invaders_and_trespassers,_especially_the_green_skinned_kind.
str_npc18_backstory_b My_name_is_Eleanor_Nash_and_I_used_to_be_captain_of_the_Silver_Twilight_until_she_was_burnt_to_cinders_by_the_Tomb_Kings.
str_npc19_backstory_b I_was_chased_out_of_the_forest_near_my_home_by_a_family_of_giant_snakes!_We_are_normally_used_to_them_but_these_were_so_big_and_they_chased_me_for_3_days.
str_npc20_backstory_b I_used_to_work_for_a_dungeon_adventurers_guild_but_I_was_so_damn_unlucky._All_kinds_of_stuff_happened_to_me_although_I_was_always_able_to_find_a_way_to_turn_things_around_eventually.
str_npc21_backstory_b The_name_is_Joseph_Bugman_and_I_am_the_master_brewer_who_brews_'Bugman's_XXXXXX'._I_am_sure_you_know_of_my_work._My_brewery_is_near_Karak_Hirn_although_it_has_only_recently_been_rebuilt.
str_npc22_backstory_b Lustria_is_very_attractive_to_the_outside_world._Many_Human,_Skaven,_Orc_and_Elf_try_and_steal_the_relics_of_our_ancestors_and_the_sacred_treasures_of_Sotek.
str_npc23_backstory_b You_know_you_look_like_a_leader,_and_I_used_to_be_on_ships_led_by_great_leaders,_great_pirates_who_ruled_the_waves_from_one_end_to_the_other.
str_npc24_backstory_b My_name_is_Adelyn_and_I_am_skilled_in_the_arts_of_tracking_and_path_finding._My_people_are_so_hell_bent_on_creating_new_machinery_and_technology_to_do_their_work_for_them_but_I_prefer_to_use_the_more_natural_tools_given_to_me.
str_npc25_backstory_b My_name_is_Erasmus._I_used_to_be_the_head_pitfighter_trainer_at_the_fighting_pits_in_Mordheim._Some_of_the_best_fighters_in_history_have_been_trained_in_my_school._Strength,_skill_and_relentlessness_are_all_qualities_I_brand_onto_my_students._Don't_confuse_them_with_the_ones_you_see_in_tournaments,_I_have_nothing_to_do_with_those_incompetent_fools.
str_npc26_backstory_b My_name_is_Uggluk_Snaggletooth_and_I_come_from_a_land_far_to_the_north_of_the_Chaos_wastelands._I_was_once_a_mighty_bull_but_now_I_am_an_outcast_after_losing_a_fight_with_the_tyrant_for_control_of_my_kingdom.
str_npc27_backstory_b I_was_born_to_kill,_ever_since_I_was_an_infant_I_discovered_the_pleasures_of_smashing_the_life_out_of_others._Any_quest,_any_adventure,_I_will_take_it_if_it_means_a_chance_for_a_fight.
str_npc28_backstory_b I_liked_to_go_exploring,_treasure_hunting_to_further_the_glory_and_prestige_of_the_Empire._I_wanted_to_discover_new_lands_and_hopefully_claim_uninhabited_land_for_us_on_new_continents._Sadly_for_me_I_went_south_instead_of_south_west.
str_npc29_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc30_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc31_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc32_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc33_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc34_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc35_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc36_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc37_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc38_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc39_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc40_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc41_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc42_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc43_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc44_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc45_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc46_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc47_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc48_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc49_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc50_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc51_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc52_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc53_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc54_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc55_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc56_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc57_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc58_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc59_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc60_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc61_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc62_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc63_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc64_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc65_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc66_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc67_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc68_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc69_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc70_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc71_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc72_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc73_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc74_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc75_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc76_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc77_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc78_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc79_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc80_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc81_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc82_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc83_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc84_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc85_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc86_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc87_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc88_backstory_b I_hear_rumours_that_you_are_that_someone.
str_npc1_backstory_c But_know_this,_I_give_everything_to_the_mission_at_hand,_whatever_the_odds,_and_whatever_the_sacrifice!_I_will_not_tolerate_a_leader_who_does_not_do_the_same.
str_npc2_backstory_c I_am_handy_with_a_sword_though_not_the_best_fighter_you_will_ever_see._Put_me_up_against_the_skaven_scum_and_you_will_see_no_warrior_more_determined_than_me._I_can_also_rouse_the_camp_with_a_tale_or_two_I_tell_you.
str_npc3_backstory_c I_left_my_post_recently_though_as_the_Caliphs_are_favouring_Sultan's_guards_over_us_janissary's_as_bodyguards_nowadays._I_am_looking_for_a_new_master_to_serve_and_I_think_you_may_be_the_one_I_am_looking_for.
