str_no_string|NO STRING! 
str_npc10_signup_2|你 不 会 后 悔 让 我 加 入 的， {老 兄/大 姐}。 我 是 个 神 眼 狙 击 弩 手， 用 这 完 美 的 武 器， 可 以 射 穿 一 个 贵 族 的 铠 甲 让 他 高 贵 的 鲜 血 当 场 四 射。 并 且 请 原 谅， 我 训 练 过 的 生 手 新 兵 比 你 手 头 的 第 纳 尔 要 多。 我 绝 不 向 出 身 高 贵 的 人 献 媚。 
str_npc11_signup_2|我 会 格 斗， 固 定 伤 口， 还 会 给 行 军 中 的 部 队 做 吃 的。 一 个 笨 统 帅 才 会 放 弃 雇 用 一 个 像 我 这 么 有 经 验 的 军 人！ 那 么， {小 伙 子/小 姑 娘}， 你 正 在 指 挥 着 一 支 自 己 的 战 队， 不 是 吗？ 
str_npc12_signup_2|我 曾 经 处 理 过 人 类 所 能 造 成 的 所 有 类 型 的 伤 口。 在 我 做 外 科 医 生 之 前， 我 曾 是 一 名 学 生， 所 以 你 可 以 相 信 我 曾 经 制 造 的 伤 口 和 我 治 愈 的 一 样 多。 
str_npc13_signup_2|剑， 枪， 弓—— 我 所 掌 握 的 这 些 武 器 的 技 艺 是 铸 成 伟 大 史 诗 的 原 料。 我 们 会 一 起 演 示 这 些 技 艺， 在 欢 宴 上， 在 宿 营 地， 在 小 旅 馆， 在 国 王 大 厅， 将 吸 引 很 多 人 前 来。 
str_npc14_signup_2|我 是 一 名 熟 练 的 剑 客， 我 也 可 以 教 你 的 手 下 格 斗。 但 是 我 提 醒 你 我 不 喜 欢 受 命 于 一 个 对 {他 的/她 的} 部 下 纪 律 松 懈 的 领 导 者， 因 为 人 们 到 头 来 是 不 会 尊 重 一 个 弱 者 的。 
str_npc15_signup_2|工 程 学 是 我 的 特 长， 不 过 我 想 我 在 野 战 当 中 也 能 发 挥 出 色， 如 果 需 要 那 样 的 话。 
str_npc16_signup_2|除 了 用 刀 子 刺 杀， 我 还 会 投 掷 它 们， 而 且 我 像 水 银 一 样 灵 活。 我 保 证， 你 会 发 现 我 在 战 斗 中 很 有 用。 
str_npc1_signup_response_1|好 的。 你 会 对 我 们 很 有 用。 
str_npc2_signup_response_1|好 的。 
str_npc3_signup_response_1|呃， 那 是 个 开 始。 我 们 可 以 教 你 剩 余 的 部 分。 
str_npc4_signup_response_1|很 好。 我 很 高 兴 你 可 以 加 入 我 们， 呃，“ 男 爵”。 
str_npc5_signup_response_1|当 然。 给， 用 点 盐。 
str_npc6_signup_response_1|很 高 兴 接 受 你 的 效 劳！ 你 的 事 情 就 是 我 的 事 情， 我 们 一 起 上 路。 
str_npc7_signup_response_1|我 会 雇 用 你。 你 得 试 着 别 在 第 一 天 就 射 到 自 己 人。 
str_npc8_signup_response_1|不 用 怕， 夫 人。 你 是 乡 绅 的 女 儿 也 是 一 个 乡 绅 的 寡 妇， 你 将 受 到 相 应 的 待 遇。 
str_npc9_signup_response_1|嗯， 不 会 的。 我 会 和 他 们 谈 谈。 
str_npc10_signup_response_1|好 样 的。 我 们 会 给 你 你 应 得 的 尊 敬。 
str_npc11_signup_response_1|听 上 去 你 能 派 上 用 场。 你 被 雇 用 了。 
str_npc12_signup_response_1|那 么， 欢 迎 加 入 我 们 的 队 伍， 医 生。 
str_npc13_signup_response_1|很 好。 做 好 准 备， 我 们 就 要 出 发 了。 
str_npc14_signup_response_1|很 好。 我 很 高 兴 能 招 到 你 这 样 的。 
str_npc15_signup_response_1|那 么 为 我 工 作。 我 将 很 高 兴 雇 用 你。 
str_npc16_signup_response_1|听 上 去 你 能 做 这 份 工 作。 我 要 雇 用 你。 
str_npc1_signup_response_2|我 宁 愿 不 去 冒 这 份 风 险。 日 安， 先 生。 
str_npc2_signup_response_2|恐 怕 我 只 想 找 一 个 有 经 验 的。 祝 你 好 运。 
str_npc3_signup_response_2|事 实 上， 我 们 在 找 一 个 有 着 一 套 稍 微 不 同 点 的 技 能 的。 
str_npc4_signup_response_2|事 实 上， 我 们 没 有 雇 用 捏 造 身 世 的 强 盗 的 习 惯。 日 安， 先 生。 
str_npc5_signup_response_2|事 实 上， 经 过 重 新 考 虑， 我 更 愿 意 保 持 一 支 有 教 养 的 队 伍。 
str_npc6_signup_response_2|经 过 重 新 考 虑， 也 许 一 支 雇 佣 军 队 伍 不 是 你 现 在 所 需 要 加 入 的。 
str_npc7_signup_response_2|事 实 上， 经 过 重 新 考 虑， 听 上 去 你 也 许 有 麻 烦。 祝 你 好 运。 
str_npc8_signup_response_2|啊 哈。 事 实 上， 如 果 你 不 听 我 的 命 令 去 做 事， 你 最 好 去 别 的 地 方 碰 碰 运 气。 
str_npc9_signup_response_2|你 可 能 错 了， 先 生。 在 我 的 队 伍 里 只 尊 重 勇 气 和 技 术， 而 不 是 贵 族 身 份。 
str_npc10_signup_response_2|经 过 重 新 考 虑， 在 我 的 队 伍 里 对 纪 律 有 很 高 的 要 求。 祝 你 好 运。 
str_npc11_signup_response_2|对 不 起， 夫 人。 我 的 队 伍 人 手 已 经 足 够 了。 
str_npc12_signup_response_2|战 争 和 在 酒 馆 里 打 架 是 两 码 事。 也 许 你 需 要 在 别 处 找 份 工 作。 
str_npc13_signup_response_2|事 实 上， 经 过 重 新 考 虑， 一 个 过 于 渴 望 荣 耀 的 战 士 对 我 的 队 伍 来 说 是 危 险 的。 
str_npc14_signup_response_2|事 实 上， 我 不 想 在 我 的 部 下 当 中 挑 起 一 场 兵 变。 日 安， 先 生。 
str_npc15_signup_response_2|事 实 上， 我 需 要 一 个 有 着 别 的 特 殊 技 能 的 人。 抱 歉。 
str_npc16_signup_response_2|说 实 话， 我 更 想 招 一 个 盗 窃 欲 望 不 是 那 么 强 烈 的 人。 
str_npc1_payment|我 会 对 你 很 有 用 的， {先 生/夫 人}， 我 敢 打 赌。 我 们 离 开 之 前 还 有 一 件 事 情， 你 可 以 借 给 我 {reg3}第 纳 尔 吗？ 我 很 羞 愧 这 么 说， 但 是 我 欠 这 里 一 点 钱， 在 这 个 酒 馆 多 待 了 几 个 星 期 而 酒 馆 老 板 不 相 信 我 会 搞 到 我 答 应 给 他 的 钱。 你 知 道， 如 果 他 们 看 到 我 和 你 离 开 而 没 有 付 钱 会 让 事 情 变 得 难 堪。 
str_npc4_payment|好 极 了。 在 我 们 启 程 之 前， 你 可 以 行 个 好 借 给 我 {reg3}第 纳 尔 吗？ 我 被 迫 在 {s20}的 典 当 行 抵 押 了 一 件 祖 传 宝 贝， 我 想 在 离 开 之 前 先 把 它 赎 回 来。 
str_npc5_payment|谢 谢。 现 在， 为 了 保 证 我 们 之 间 的 协 议， 我 要 求 你 给 我 {reg3}第 纳 尔。 这 是 我 父 亲 给 我 的 建 议。 他 告 诉 我“ 贝 斯 图 尔， 永 远 不 要 先 替 野 蛮 人 卖 命， 在 {他/她} 付 给 你 和 你 相 称 的 钱 之 前。” 
str_npc7_payment|那 么 好 吧。 我 会 跟 着 你 走。 但 是 我 想 先 支 取 {reg3}第 纳 尔 报 酬。 你 也 没 指 望 我 会 免 费 为 你 工 作， 是 吗？ 
str_npc8_payment|我 将 为 了 你 同 敌 人 战 斗。 但 是 我 想 先 拿 到 {reg3}第 纳 尔 佣 金。 如 果 你 是 一 名 能 够 率 领 {他 的/她 的} 军 队 获 取 财 富 和 战 利 品 的 称 职 指 挥 官， 你 应 该 不 会 为 了 这 点 钱 而 烦 恼。 我 可 不 会 跟 着 一 个 穷 光 蛋。 
str_npc9_payment|你 真 是 太 好 了。 在 我 加 入 之 前， 你 能 借 给 我 {reg3}第 纳 尔 吗， 那 样 我 就 可 以 买 一 套 和 像 我 这 样 的 贵 族 出 身 的 绅 士 相 称 的 衣 服。 我 身 上 的 外 套 在 我 最 近 不 走 运 期 间 已 经 很 旧 了， 我 不 能 让 一 个 普 通 大 兵 错 认 为 我 也 是 他 们 当 中 的 一 员。 
str_npc10_payment|真 是 个 好 消 息。 但 是 我 还 有 最 后 一 个 要 求， 长 官。 我 在 {s20}有 个 女 人， 一 个 酒 馆 荡 妇， 而 她 告 诉 我 她 已 经 有 了 我 的 孩 子。 我 想 在 走 之 前 给 她 留 点 钱…… 为 了 那 孩 子， 你 知 道。 你 有 多 余 的 {reg3}第 纳 尔 吗？ 
str_npc11_payment|嗨， 谢 谢 你 长 官。 但 是 在 我 加 入 你 之 前， 我 想 支 取 {reg3}第 纳 尔 报 酬。 我 知 道 在 战 队 里 士 兵 会 有 将 近 几 周 看 不 到 工 资。 我 很 清 楚 在 得 到 自 身 保 障 之 前 不 要 在 任 何 地 方 签 字。 
str_npc13_payment|在 我 签 约 之 前， 有 一 小 笔 我 待 在 这 里 期 间 牵 扯 到 的 费 用—— {reg3}第 纳 尔。 你 认 为 你 可 以 为 我 代 付 掉 吗， 作 为 一 个 表 示 友 好 的 姿 态？ 
str_npc14_payment|啊 哈， 最 后 一 件 事。 在 我 听 从 你 的 指 挥 之 前， 我 想 要 支 取 {reg3}第 纳 尔 作 为 预 付 奖 金。 我 的 原 则 是 在 拿 到 我 应 得 的 报 酬 之 前 决 不 为 别 人 服 务。 
str_npc15_payment|很 好。 顺 便， 作 为 一 名 熟 练 的 工 程 师 我 想 为 我 的 服 务 要 一 笔 报 酬。 我 想 {reg3}第 纳 尔 的 签 约 费 就 够 了。 
str_npc16_payment|那 真 是 个 好 消 息， 长 官。 那 么， 为 我 们 之 间 协 议 的 保 障 先 付 我 一 点 你 看 怎 么 样？ 只 要 {reg3}就 够 了。 别 往 坏 处 想， 只 是 我 在 过 去 那 几 个 雇 主 那 儿 都 不 走 运。 
str_npc1_payment_response|那 么 好 吧， 这 是 {reg3}第 纳 尔。 现 在， 好 好 休 息 一 下。 
str_npc4_payment_response|当 然。 这 是 {reg3}第 纳 尔。 
str_npc5_payment_response|好 吧…… 那 么， 这 是 {reg3}第 纳 尔。 你 的 第 一 份 报 酬。 
str_npc7_payment_response|不， 当 然 不。 这 是 {reg3}第 纳 尔。 
str_npc8_payment_response|噢， 我 可 不 是 穷 光 蛋， 夫 人。 这 是 给 你 的 {reg3}第 纳 尔。 
str_npc9_payment_response|那 么 好 吧， 这 是 {reg3}第 纳 尔。 
str_npc10_payment_response|当 然。 给， {reg3}第 纳 尔。 
str_npc11_payment_response|那 么 好 吧， 这 是 {reg3}第 纳 尔。 去 做 好 准 备。 我 们 很 快 就 离 开。 
str_npc13_payment_response|当 然， 这 是 {reg3}第 纳 尔。 快 点 做 好 出 发 准 备。 
str_npc14_payment_response|好 吧， 这 是 {reg3}第 纳 尔。 你 在 我 的 队 伍 里 面 最 受 欢 迎。 
str_npc15_payment_response|好 吧， 这 是 {reg3}第 纳 尔。 很 高 兴 能 让 你 加 入 我 们。 
str_npc16_payment_response|好 吧， 这 是 给 你 的 {reg3}第 纳 尔。 做 好 准 备。 
str_npc1_morality_speech|唉—— 老 大。 请 不 要 把 这 往 坏 处 想， 但 这 是 艰 难 时 期 而 我 们 {s21}也 过 分 了 一 点。 以 后 三 思 一 下， 长 官， 如 果 你 不 介 意 我 所 说 的。 
str_npc2_morality_speech|我 希 望 你 不 要 介 意 我 所 说 的， 但 是 看 我 们 {s21}对 我 来 说 有 些 困 难。 也 许 我 应 该 试 着 做 一 个 更 坚 强 些 的 战 士， 但 是 如 果 我 们 时 时 能 试 着 学 着 多 一 点 仁 慈， 我 会 睡 得 更 踏 实。 
str_npc3_morality_speech|也 许 轮 不 到 我 说 话， {先 生/夫 人}， 但 是 我 承 认 对 我 们 {s21}感 到 有 些 震 惊。 当 然 我 明 白 战 争 史 残 酷 的， 但 是 如 果 不 是 必 须 就 没 有 必 要 让 战 争 变 得 更 残 酷。 
str_npc4_morality_speech|抱 歉—— 你 也 知 道， 罗 尔 夫 家 族 的 人 并 不 关 心 {s21}。 我 不 大 愿 意 看 到 你 继 续 这 个 任 务。 
str_npc5_morality_speech|请 原 谅， 长 官。 {s21}不 好。 你 的 首 要 对 要 手 下 的 兄 弟 们 负 责。 你 的 队 伍 想 要 的 只 不 过 是 食 物 、 薪 水 和 掠 夺 的 机 会。 没 必 要 将 他 们 的 生 命 浪 费 在 无 关 紧 要 的 地 方。 
str_npc6_morality_speech|请 原 谅， {先 生/夫 人}。 你 也 知 道， 我 加 入 队 伍， 为 的 是 纠 正 错 误， 保 护 无 辜 者， 并 且 弥 补 我 之 前 的 罪 过。 我 不 希 望 {s21}。 
str_npc7_morality_speech|长 官—— 我 不 希 望 看 到 我 们 {s21}。 那 些 是 强 盗 行 径， 完 全 不 考 虑 兄 弟 们 的 感 受。 
str_npc8_morality_speech|看 到 你 决 定 去 {s21}我 很 不 爽。 参 加 战 斗 是 一 种 荣 誉， 但 在 一 个 懦 夫 指 挥 的 兵 团 中 战 斗 是 一 种 耻 辱。 
str_npc9_morality_speech|{先 生/夫 人}—— 这 不 是 我 对 待 {s21}的 方 式。 我 们 家 族 的 人 可 以 接 受 死 亡， 但 不 能 接 受 耻 辱。 请 不 要 让 我 在 你 手 下 蒙 羞。 
str_npc10_morality_speech|抱 歉， 长 官。 我 非 常 不 愿 意 看 到 我 们 {s21}。 那 只 是 一 些 单 纯 的 人 们， 努 力 要 生 存 下 去。 如 果 我 们 能 够 试 着 善 待 这 些 穷 困 的 不 幸 者， 长 官， 我 觉 得 会 更 好 些。 
str_npc11_morality_speech|抱 歉， 长 官。 我 们 {s21}不 是 很 好。 我 在 军 队 和 佣 兵 团 有 30 年 了， 士 兵 对 长 官 的 最 低 期 望 就 是 养 活 他 们， 支 付 他 们 军 饷， 还 有 尽 {他/她} 最 大 的 努 力 去 保 护 他 们 尸 首 的 完 整。 
str_npc12_morality_speech|长 官， 我 不 想 看 到 我 们 {s21}。 作 为 一 个 武 士 而 不 是 强 盗 来 祈 祷， 让 我 们 试 着 去 表 示 多 一 点 怜 悯 吧。 
str_npc13_morality_speech|长 官， 如 果 我 们 可 以 避 免 的 话， 我 更 倾 向 于 不 去 {s21}。 卡 拉 迪 亚 是 个 小 地 方， 并 且 一 个 人 的 名 声 很 珍 贵。 我 不 喜 欢 我 的 对 手 用 挖 苦 的 口 气， 提 到 最 近 这 个 不 幸 的 事 件。 
str_npc14_morality_speech|我 不 在 意 {s21}。 不 过， 没 有 哪 个 有 着 懦 夫 名 声 的 人 可 以 震 慑 住 他 的 手 下。 
str_npc15_morality_speech|{先 生/夫 人}—— 你 也 知 道 我 的 看 法， 任 何 理 智 的 领 导 者 都 不 会 让 他 的 队 伍 去 {s21}。 希 望 你 别 介 意 我 的 直 率。 
str_npc16_morality_speech|长 官， 我 不 想 去 {s21}。 还 有 那 么 多 喉 咙 没 割， 那 么 多 钱 包 没 翻 呢。 
str_npc1_2ary_morality_speech|老 板—— 如 你 所 知， 如 果 我 们 {s21}我 一 点 问 题 都 没 有。 为 明 天 的 战 斗 而 活 着 让 我 觉 得 很 有 意 义。 
str_npc2_2ary_morality_speech|{先 生/夫 人}—— 我 不 怎 么 高 兴 我 们 {s21}。 我 是 一 个 商 人， 在 我 们 商 界 一 个 人 要 信 守 诺 言。 我 不 想 要 一 个 不 诚 实 的 名 声—— 那 意 味 着 结 束 我 的 贸 易 生 涯， {先 生/女 士}。 
str_npc3_2ary_morality_speech|{先 生/夫 人}—— 我 认 为 你 去 {s21}是 一 个 勇 敢 的 决 定。 寻 找 途 径 来 避 免 流 血 这 一 点 也 不 羞 耻。 
str_npc4_2ary_morality_speech|抱 歉—— 不 管 别 人 说 什 么， 我 对 你 {s21}一 点 想 法 也 没 有。 在 这 种 困 难 时 期， 为 了 生 存 你 要 采 用 任 何 必 要 的 手 段。 
str_npc6_2ary_morality_speech|{先 生/夫 人}—— 你 可 以 选 择 {s21}， 但 最 好 不 要 参 与 进 去。 这 不 是 我 的 救 赎 之 路。 
str_npc9_2ary_morality_speech|长 官， 你 {s21}让 我 感 到 很 沮 丧。 一 个 像 你 这 样 的 {绅 士/淑 女}， 应 该 时 刻 展 示 出 最 高 水 准 的 荣 誉。 
str_npc10_2ary_morality_speech|{先 生/女 士}—— 我 不 想 看 到 我 们 {s21}。 你 应 该 对 你 的 人 好 一 点， 他 们 将 会 回 报 你 更 多。 
str_npc14_2ary_morality_speech|长 官—— 你 不 应 该 为 {s21}的 事 情 困 扰。 军 队 为 领 导 者 的 命 令 而 存 在， 艰 苦 也 是 战 士 生 命 的 组 成 部 分。 
str_npc15_2ary_morality_speech|你 知 道 的， {playername} 朋 友， 看 你 刚 才 如 何 {s21}让 人 极 为 不 安。 如 果 你 能 对 他 们 违 背 诺 言， 那 你 也 能 对 我 违 背 诺 言， 这 就 是 我 所 理 解 到 的。 
str_npc16_2ary_morality_speech|长 官—— 正 如 你 所 知 的， {s21}对 我 来 说 没 有 问 题。 我 们 做 我 们 活 下 去 需 要 做 的 事。 如 果 交 换 立 场， 他 们 也 会 对 我 们 做 同 样 的 事。 
str_npc1_personalityclash_speech|长 官—— 不 敢 冒 犯， 但 我 有 点 厌 倦 {s11}， 像 她 那 样 摆 架 子， 似 乎 她 是 比 你 谦 逊 的 仆 人 波 尔 查 更 高 贵 的 大 人 物。 
str_npc2_personalityclash_speech|{先 生/夫 人}—— 正 如 你 所 记 得 的， 在 和 你 签 约 之 前， 我 曾 是 一 个 商 人。 我 尊 敬 让 自 己 生 活 平 静 的 人， 他 们 冒 着 一 切 危 险 为 遥 远 的 地 区 带 去 货 物。 
str_npc3_personalityclash_speech|长 官—— 在 我 看 来， {s11}是 一 个 铁 石 心 肠 残 忍 无 比 的 人。 他 不 说 什 么， 但 却 要 鞭 抽 、 棒 打 和 绞 死 他 的 战 友。 
str_npc4_personalityclash_speech|{先 生/夫 人}。 罗 尔 夫 家 族 是 这 片 大 陆 最 古 老 最 受 尊 敬 的 家 族 之 一， 根 据 可 考 证 的 记 载， 它 的 历 史 可 以 追 溯 到 古 卡 拉 德 帝 国 时 代。 然 而 {s11}公 开 表 示 对 我 的 不 尊 敬， 并 且 对 我 家 族 的 起 源 抱 以 怀 疑。 
str_npc5_personalityclash_speech|占 用 你 一 点 时 间， 长 官。 {s11}似 乎 认 为 我 是 一 个 普 通 的 土 匪， 就 因 为 我 曾 破 坏 战 争 从 商 队 蔓 延 我 家 乡 而 奖 励 过 自 己。 
str_npc6_personalityclash_speech|抱 歉， {先 生/夫 人}， 但 我 不 能 再 保 持 沉 默 了。 那 个 妓 女， {s11}—— 每 次 她 看 到 我 她 就 用 农 民 用 来 避 退 恶 魔 的 一 种 手 势，—— 用 她 的 五 个 手 指 指 着 我。 
str_npc7_personalityclash_speech|长 官， 我 已 经 很 努 力 地 去 忍 受 你 同 伴 粗 鲁 的 谈 话 和 不 洁 的 习 惯。 但 是 有 个 自 称 是 {s11}的 家 伙 已 经 超 出 我 的 忍 耐 限 度 了。 
str_npc8_personalityclash_speech|正 如 你 所 知， 我 不 能 忍 耐 趾 高 气 昂 的 江 湖 骗 子 {s11}。 几 分 钟 前， 我 在 对 我 们 的 同 伴 说 这 个 地 区 的 农 民 不 止 是 长 有 着 松 弛 的 下 巴 和 甲 壳 虫 一 样 的 眉 毛， 我 还 寻 思 着 他 们 也 许 是 人 猿 生 养 的。 
str_npc9_personalityclash_speech|先 生—— {s11}是 一 个 卑 鄙 的 吹 牛 者， 一 个 对 妇 女 一 点 也 不 尊 重 的 家 伙。 我 已 经 厌 倦 听 到 他 怎 么 侵 犯 这 个 或 者 那 个 姑 娘 的 事 了。 
str_npc10_personalityclash_speech|打 搅 了， 长 官。 我 很 讨 厌 因 为 这 些 事 情 打 搅 你， 但 我 就 是 想 让 你 知 道 我 再 也 不 能 忍 受 罗 尔 夫 那 家 伙 了， 这 人 自 称 为 贵 族。 
str_npc11_personalityclash_speech|抱 歉， 长 官， 但 我 不 能 继 续 保 持 沉 默 了。 那 个 家 伙， {s11}—— 他 杀 了 自 己 的 兄 弟。 
str_npc12_personalityclash_speech|主 人， 那 个 野 蛮 人 女 孩 {s11}， 抱 怨 自 己 头 疼—— 可 能 是 气 血 过 旺 的 病 征， 我 想 用 我 的 水 蛭 试 试。 
str_npc13_personalityclash_speech|长 官， 我 厌 倦 了 {s11}， 那 家 伙 不 讲 别 的， 成 天 就 是 骑 士 荣 誉 和 武 艺 那 点 东 西。 
str_npc14_personalityclash_speech|队 长。 和 {s11}这 样 的 战 士 并 肩 作 战 是 一 件 愉 快 的 事。 
str_npc15_personalityclash_speech|打 搅 了， 希 望 你 不 会 介 意 我 谈 谈 我 的 看 法， 那 个 女 孩 {s11}对 我 们 团 队 是 个 危 险， 她 就 是 个 野 孩 子， 完 全 不 尊 重 军 队 的 权 威 和 原 则。 
str_npc16_personalityclash_speech|哦， 长 官。 你 也 知 道—— 有 些 关 于 {s11}的 可 笑 之 事。 他 在 地 上 乱 涂 乱 画， 还 一 个 人 嘀 嘀 咕 咕 的。 
str_npc1_personalityclash_speech_b|她 不 过 是 个 土 匪， 就 像 我 一 样。 所 以 正 如 她 刚 才 所 做 的， 她 没 资 格 跟 我 说 要 我 跟 她 保 持 距 离。 
str_npc2_personalityclash_speech_b|我 不 怎 么 喜 欢 听 到 {s11}对 他 掠 夺 的 商 队 很 满 意， 或 者 他 计 划 去 打 劫。 好 像 他 一 点 也 不 尊 重 诚 实 良 好 的 交 易。 
str_npc3_personalityclash_speech_b|我 知 道 军 队 不 是 幼 儿 园， 严 格 的 纪 律 很 重 要。 但 是 我 也 相 信 人 们 因 为 残 忍 而 享 受 残 忍。 希 望 你 别 介 意 我 这 么 说。 
str_npc4_personalityclash_speech_b|{先 生/夫 人}， 如 果 普 通 人 允 许 去 嘲 笑 比 他 们 更 强 的 人， 那 日 子 真 的 会 很 难 过。 就 是 这 些。 
str_npc5_personalityclash_speech_b|我 告 诉 他 如 果 武 士 之 路 让 他 如 此 困 扰， 那 么 当 个 牧 师 或 者 乞 丐 就 不 用 担 心 这 么 多 了。 希 望 你 别 介 意 我 说 这 些 事。 
str_npc6_personalityclash_speech_b|我 知 道 我 犯 的 罪 令 人 憎 恶， 可 我 忏 悔 了， 我 应 该 被 更 好 的 对 待 而 不 是 成 为 某 种 巫 术 迷 信 的 对 象。 我 想 这 你 该 知 道。 
str_npc7_personalityclash_speech_b|我 不 在 意 他 在 饭 后 的 营 火 周 围 如 何 剔 着 牙 齿 瞪 我。 从 这 些 天 相 处 下 来， 我 确 认 他 就 是 个 土 匪， 下 作 又 愚 昧 无 知。 我 不 喜 欢 和 这 种 人 一 起 旅 行。 
str_npc8_personalityclash_speech_b|{s11}， 那 种 失 礼 的 话， 我 偶 尔 也 听 到。 说 我 愚 昧， 说 我 是 野 人 或 者 其 它 词， 我 不 想 重 复。 出 于 对 你 的 尊 重， 那 时 候 我 才 克 制 着 没 去 切 开 他 的 喉 咙。 我 想 只 是 应 该 提 醒 你 一 下。 
str_npc9_personalityclash_speech_b|如 果 他 顽 固 不 化， 我 会 告 诉 他 他 是 个 卑 鄙 的 家 伙， 就 算 闹 翻 我 也 不 会 道 歉 的。 就 这 样。 {先 生/夫 人}。 
str_npc10_personalityclash_speech_b|对 我 来 说， 他 就 是 一 个 头 脑 简 单 的 土 匪。 罗 尔 夫 家 族， 切！ 真 正 的 贵 族 已 经 够 坏 的 了， 但 这 些 装 作 贵 族 的 更 是 让 人 完 全 无 法 忍 受。 不 管 怎 么 样， 我 刚 才 说 的 可 能 对 他 有 点 刻 薄。 他 还 试 图 冒 犯， 我 想 你 应 该 知 道。 
str_npc11_personalityclash_speech_b|他 是 一 个 家 族 的 叛 徒， 被 上 天 所 诅 咒， 他 无 疑 会 给 我 们 带 来 不 幸 和 悲 伤， 我 不 想 和 他 呆 在 一 起。 很 抱 歉 打 扰 你。 
str_npc12_personalityclash_speech_b|但 是 当 我 懒 得 去 理 她 的 时 候， 她 却 反 咬 我 一 口， 并 且 告 发 我 用 巫 术。 队 长， 我 不 齿 这 样 的 一 个 无 耻 的 人。 
str_npc13_personalityclash_speech_b|勇 敢 的 行 为 都 是 非 常 好 的， 但 这 不 是 一 个 人 一 生 应 当 追 求 的 目 标。 就 我 个 人 来 说， 我 从 不 相 信 任 何 没 有 勇 气 或 坚 忍 的 人。 
str_npc14_personalityclash_speech_b|他 是 一 个 资 深 的 士 兵， 也 许 他 的 脚 步 没 有 其 他 士 兵 那 么 快， 但 是 他 懂 得 在 战 场 上 保 持 严 整 阵 线 的 智 慧。 把 他 收 进 部 队， 你 很 有 眼 光。 
str_npc15_personalityclash_speech_b|另 外， 我 怀 疑 她 是 一 个 贼。 我 发 现 她 走 到 我 的 行 李 旁 并 且 拿 出 了 我 的 一 些 图 表， 而 且 当 我 正 在 思 考 问 题 的 时 候 她 却 把 刀 架 在 了 我 的 脖 子 上。 一 个 英 明 的 统 帅 不 应 当 允 许 她 继 续 呆 在 这 里。 
str_npc16_personalityclash_speech_b|可 怕 的 巫 术， 我 问 他 这 些 东 西， 他 却 说 我 这 样 的 小 丫 头 应 该 管 好 我 自 己。 所 以 我 看 了 一 下 他 的 包 裹， 并 且 找 到 了 一 些 奇 怪 的 文 件 和 图 表。 我 认 为 他 是 一 个 巫 师， {先 生/夫 人}， 如 果 让 我 发 现 他 企 图 对 我 们 施 法 的 话 他 将 发 现 有 一 把 刀 刺 穿 他 的 咽 喉。 
str_npc1_personalityclash2_speech|哦， 老 大， 我 并 不 认 为 我 是 一 个 敏 感 的 人， 但 我 不 是 特 别 喜 欢 {s11}四 处 游 荡 去 切 断 受 伤 的 敌 人 的 喉 咙。 
str_npc2_personalityclash2_speech|{先 生/夫 人}。 如 果 你 不 介 意， 我 宁 愿 不 被 安 放 在 {s11}旁， 在 上 一 场 战 斗 结 束 后 他 对 我 说。 
str_npc3_personalityclash2_speech|{先 生/夫 人}。 自 从 我 加 入 你 的 队 伍 以 后， 我 努 力 的 学 习 如 何 像 一 个 战 士 一 样 的 生 活， 和 如 何 去 取 得 战 士 的 光 荣。 如 果 我 偶 尔 犯 了 错 误， 我 希 望 能 被 原 谅。 
str_npc4_personalityclash2_speech|{先 生/夫 人}。 我 需 要 转 达 一 些 话 给 {s11}当 我 们 正 在 分 配 战 利 品 的 时 候。 请 告 诉 他 当 她 跟 我 说 话 的 时 候， 她 应 该 叫 我“ 男 爵” 或 者“ 罗 尔 夫 男 爵”， 或“ 阁 下”， 但 最 好 不 要 直 接 叫 我 罗 尔 夫。 
str_npc5_personalityclash2_speech|队 长。 {s11}该 闭 嘴 了， 我 想 切 掉 他 的 舌 头。 
str_npc6_personalityclash2_speech|队 长。 你 看 到 {s11}在 上 次 战 斗 中 的 表 现 了 么？ 他 虐 待 那 些 倒 在 战 场 上 的 无 助 的 敌 人， 嘲 弄 他 们 的 出 身， 他 们 的 愚 蠢。 
str_npc7_personalityclash2_speech|队 长—— 我 正 在 想 我 在 哪 里 见 过 {s11}， 一 个 自 称 为 男 爵 的 人。 哦 对， 我 在 上 次 战 斗 中 看 到 过 他， 我 突 然 想 起 来 了。 他 是 一 个 好 的 战 士， 但 是 他 的 行 为 很 邪 恶。 
str_npc8_personalityclash2_speech|队 长。 {s11}是 我 见 过 最 无 理 最 傲 慢 的 女 孩。 我 试 着 去 保 持 礼 貌 和 友 好， 但 她 拒 绝 了 我 的 好 意。 
str_npc9_personalityclash2_speech|{先 生/尊 敬 的 女 士}， 我 不 想 说， 但 是 在 我 看 来 {s11}， 这 个 家 伙， 实 在 是 很 不 识 趣。 在 上 次 战 斗 中， 他 竟 然 抢 夺 我 的 功 劳。 
str_npc10_personalityclash2_speech|{兄 弟/大 姐}—— 我 想 问 一 下， 到 底 是 你 还 是 {s11}是 我 们 的 首 领？ 
str_npc11_personalityclash2_speech|队 长。 我 对 {s11}不 是 很 放 心。 在 上 次 战 斗 后， 他 到 处 咕 哝 一 些 异 教 的 咒 语， 还 到 战 场 上 掠 夺 死 人 的 财 物。 
