str_no_string|,
str_npc15_signup_2|Kuşatma savaşlarına iyiyimdir, ama meydan savaşı gibi açık savaşlarda da dövüşürüm, eğer gerekirse.
str_npc16_signup_2|Bıçak fırlatabilirim, aynı şekilde deşebilirim de, ve cıva gibiyimdir. Bir çarpışmada çok işe yararım. Garanti veriyorum!
str_npc1_signup_response_1|Güzel, işimize yarayabilirsiniz.
str_npc2_signup_response_1|Bu yeter.
str_npc3_signup_response_1|Hımm.. Bu bir başlangıç. Gerisini size öğretebiliriz.
str_npc4_signup_response_1|Pekala, bizlerle birlikte olduğunuz için mutluyum “Baron”.
str_npc5_signup_response_1|Tabii, buyrun.. biraz tuz alın.
str_npc6_signup_response_1|Faydalı olduğuma sevindim. Gidip eşyalarınızı toplayın ki biz de tekrar yola koyulalım.
str_npc7_signup_response_1|Sizi kiralıyorum. Yalnız, ilk günden herkesi vurmamaya çalışın!
str_npc8_signup_response_1|Korkmayın hanımefendi. Bir derebeyinin kızı ve bir dulsunuz, sizlere ona göre muamele gösterilecektir.
str_npc9_signup_response_1|Böyle olmamalı. Gidip onlarla konuşacağım.
str_npc10_signup_response_1|İyi adam! Size hak ettiğiniz saygınlıkla hitap edeceğiz.
str_npc11_signup_response_1|İşe yarayacak gibisiniz. Sizi birliğime alıyorum.
str_npc12_signup_response_1|Takımıma hoş geldiniz doktor!
str_npc13_signup_response_1|Güzel. Hazırlanın ki yola koyulabilelim.
str_npc14_signup_response_1|Güzel, sizin gibi birinin birliğimde olmasından mutluluk duyacağım.
str_npc15_signup_response_1|Bana uyar. Sizi birliğime katmaktan mutluluk duyacağım.
str_npc16_signup_response_1|Bu işi kotarabilirmişsiniz gibi geliyor. Sizi birliğime alıyorum.
str_npc1_signup_response_2|Bu riski almamayı tercih ederim. Size iyi günler.
str_npc2_signup_response_2|Korkarım sadece tecrübeli askerleri işe alacağım. Size iyi günler.
str_npc3_signup_response_2|Aslında biz biraz daha farklı kabiliyetlerde birini arıyoruz.
str_npc4_signup_response_2|Aslında uydurma şecerelerle karşımıza çıkan haydutları işe almamaya çalışıyoruz...
str_npc5_signup_response_2|Aslında, tekrar düşününce, ben yanımdakilerin daha medeni olmalarını gözetiyorum.
str_npc6_signup_response_2|Aslında, tekrar düşününce, bir paralı asker birliği size pek de uygun değilmiş gibi görünüyor.
str_npc7_signup_response_2|Aslında, tekrar düşününce, başıma bela olacakmışsınız gibi geliyor. Size iyi günler...
str_npc8_signup_response_2|Eh, eğer sana emrettiğim her şeyi yapmayacaksanız gidip başka yerde iş aramalısınız.
str_npc9_signup_response_2|Varsayımınız yanlış olmuş efendi. Biz burada soyluluktan ziyade şeref ve cesarete göre davranışlarımızı şekillendiririz.
str_npc10_signup_response_2|Aslında, tekrar düşününce, disiplin birliğimiz içerisinde çok değerlidir. Size iyi günler.
str_npc11_signup_response_2|Üzgünüm hanımefendi. Birliğimde yeni birisi için hiç yer yok.
str_npc12_signup_response_2|Savaş han kavgasına benzemez. Belki gidip başka bir yerde iş aramanız sizin için daha iyi olur.
str_npc13_signup_response_2|Aslında, şan ve şöhrete böylesine düşkün bir savaşçı birliğim içinde huzursuzluk yaratabilir.
str_npc14_signup_response_2|Kendi birliğim içinde bir ayaklanma kışkırtmaya niyetim yok. İyi günler efendim.
str_npc15_signup_response_2|Aslında başka bir uzmanlığa ihtiyacım var. Kusura bakmayın...
str_npc16_signup_response_2|Açıkçası, hırsızlığa daha az yatkın birini tercih ederim.
str_npc1_payment|Size çok faydam dokunacak, {beyim/hanımım}, buna emin olun. Yola koyulmadan önce ufak bir şey daha var. Acaba bana {reg3} dinar ödünç vermeniz mümkün olabilir mi? Söylemeye utanıyorum ama buralarda biraz borca girdim, son birkaç haftadır bu handa kalıyorum ve artık hancı da bir sürü altınım olduğu yalanını yemiyor. Beni sizinle buradan ayrılırken görürlerse işler karışacaktır.
str_npc4_payment|Harika, yola çıkmadan önce bana {reg3} dinar borç verebilir misiniz? Bir aile yadigarını burada {s20}ndeki bir antikacıya satmak zorunda kalmıştım ve ayrılmadan önce onu geri almak istiyorum.
str_npc5_payment|Teşekkürler. Şimdi, anlaşmayı tamamlamak adına, {reg3} dinar isteyeceğim. Bu babamın bana verdiği bir öğüttü. Dedi ki, 'Baheshtur, sana hak ettiğin kadar altın vermeyen bir barbar için asla savaşma.{ / } 
str_npc7_payment|Pekala öyleyse, sizinle geliyorum. Ama önce {reg3} dinar ödeme isterim. Bedavaya çalışacağımı düşünmemiştiniz, değil mi?
str_npc8_payment|O halde sizin için düşmanlarınıza karşı savaşacağım. Ama önce {reg3} dinar prim istiyorum. Eğer birliğinizi zengin yağmalara yönlendirecek mert bir {kumandansanız/kumandansanız}, ödemede sorun yaşamamalısınız. Meteliksiz bir adamı takip etmeye girişemem.
str_npc9_payment|Çok iyisiniz. Katılmadan önce, bana {reg3} dinar borç verebilir misiniz? Böylece üstüme başıma benim gibi bir beyefendiye layık bir kaç parça kıyafet alabilirim. Ceketim son zamanlardaki talihsizlikler yüzünden epey hırpalandı ve özellikle sıradan askerlerin beni kendilerinden biri sanmalarını kesinlikle kabullenemem.
str_npc10_payment|Bunlar iyi haberler. Ancak son bir şey isteyeceğim kumandanım. Burada, {s20} içinde bir kadınım var, bir meyhane kızı, karnında da benim çocuğumu taşıyor. Ayrılmadan önce ona biraz para ulaştırmayı isterim. Çocuk için, bilirsiniz işte. Acaba şu anda bana {reg3} dinar çıkabilir misiniz?
str_npc11_payment|Teşekkürler kumandan. Ama birliğe katılmadan önce, {reg3} dinarlık bir ön ödeme isteyeceğim. Bu tip birliklerde askerlerin haftalarca yevmiye yüzü göremeyebildiklerini biliyorum. Kendimi garantiye almadan hiçbir yere katılmayacak kadar da kafam çalışıyor.
str_npc13_payment|Anlaşma yapmadan önce, burada kaldığım süre boyunca bir kısım harcamalarım oldu ve borca da girdim -- {reg3} dinar kadar. Yeni arkadaşlığımızın simgesi olarak bu ödemeyi benim için yapabilir misiniz?
str_npc14_payment|Son bir şey daha var. İşe başlamadan önce ön ödeme olarak {reg3} dinar isterim. Hak ettiğim ücreti almadan kimsenin emrine girmeme gibi bir prensibim var.
str_npc15_payment|Güzel. Maharetli bir mühendis olarak hizmetlerimin karşılığında iyi ödeme isterim. Ön ödeme olarak da {reg3} dinar diyelim, uyar mı?
str_npc16_payment|İşte bu iyi haber komutanım. Şimdi anlaşmayı tamamlamak için bana biraz fazladan ödeme yapmaya ne dersiniz? {reg3} dinarcık kafi gelecektir. Lütfen bunu yanlış anlamayın, yakın zamanda işverenlerimle ilgili olarak şansım hiç yaver gitmedi de...
str_npc1_payment_response|Pekala, işte {reg3} dinar. Şimdi, diğerlerinin yanına dönün!
str_npc4_payment_response|Elbette. Buyurun, işte {reg3} dinar.
str_npc5_payment_response|Pekala...İşte  {reg3} dinar, madem. İlk ödemeniz.
str_npc7_payment_response|Tabii ki hayır. İşte {reg3} dinar.
str_npc8_payment_response|Ben fukara değilim ki, madam. İşte {reg3} dinar.
str_npc9_payment_response|Pekala, işte {reg3} dinar.
str_npc10_payment_response|Elbette.. Alın, burada {reg3} dinar var.
str_npc11_payment_response|Pekala, işte {reg3} dinar. Şimdi hazırlanın. Yakında buradan ayrılıyoruz.
str_npc13_payment_response|Pekala, işte {reg3} dinar. Şimdi hazırlanın. Yakında buradan ayrılıyoruz.
str_npc14_payment_response|Pekala, işte {reg3} dinar. Aramıza hoş geldiniz!
str_npc15_payment_response|Pekala, işte {reg3} dinar. Burada olmanıza sevindik.
str_npc16_payment_response|Pekala, işte {reg3} dinar. Hazırlanın.
str_npc1_morality_speech|Oy -- patron. Lütfen bunu yanlış anlamayın ama bu zor bir hayat ve {s21} yüzünden şimdi daha da zorlaştı. Gelecekte biraz daha dikkatli olun, komutan.
str_npc2_morality_speech|Umarım söylememe kızmıyorsunuzdur, ama {s21}{.i} görmek beni biraz rahatsız etti . Belki daha sert bir asker olmaya çalışmalıyım, ama arada bir biraz merhamet gösterebilirsek daha rahat uyuyabileceğim.
str_npc3_morality_speech|Belki bunu benim söylemem garip gelebilir {efendim/hanımım}, ama itiraf etmeliyim ki {s21} beni biraz sarstı. Elbette ki savaş zalimdir, bunun farkındayım ama gerçekten onu olduğundan daha zalim hale çevirmenin bir mantığını göremiyorum.
str_npc4_morality_speech|Bilesiniz diye söylüyorum, Rolf soyunun erkekleri için {s21} doğru değildir. Bu şekilde devam ederseniz sıkıntı hissedeceğim.
str_npc5_morality_speech|Kusura bakmayın, şef; ama {s21} iyi değildir. İlk ve öncelikli sorumluluğunuz, kendinize bağladığınız adamlarınıza karşıdır. Bekledikleri de zaten sadece yiyecek, ödeme, ganimet toplama fırsatı ve tabii hayatlarını boşa harcamamanız.
str_npc6_morality_speech|Affedersiniz, {efendim/hanımım}. Bildiğiniz gibi, birliklerinize katılma sebebim yanlışları düzeltmek, masumları korumak ve günahlarımdan arınmaktı. Beklediğim şey {s21} değildi.
str_npc7_morality_speech|Kumandan; {s21} hiç de hoş değil. Bu hareketler, adamlarını hiç düşünmeyen haydut reislerine göredir.
str_npc8_morality_speech|Kararınızın {s21} yönünde olduğunu öğrenince hiç mutlu olmadım. Savaşırken ölmek şereftir, ama bir korkağın idare ettiği birlikte olmak utanç vericidir.
str_npc9_morality_speech|{Beyim/Hanımım}...{s21} hiç bana uygun bir davranış değil. Soyumda ölüm kabullenilmiştir, ama onursuzluk asla. Lütfen sizin emirleriniz altında olmaktan utandırmayın beni.
str_npc10_morality_speech|Affedersiniz kumandan. {s21}dan mutlu olduğumu söyleyemem. Onlar sadece geçinmeye ve hayatta kalmaya çalışan basit insanlar. Eğer bu garibanların üzerine bu kadar gitmezsek kendimi çok daha iyi hissedeceğim.
str_npc11_morality_speech|Komutanım, {s21} hiç iyi olmadı. 30 yıldır birlikleri ve savaş gruplarını dolaştım ve biliyorum ki askerlerin temelde istekleri onları doyurmanız, paralarını ödemeniz ve hepsini tek parça halinde kalabilecekleri şekilde yönetmeniz.
str_npc12_morality_speech|Komutanım, {s21} hiç hoşuma gitmiyor. Bir savaşçı olmaya hazırım fakat bir haydut olmaya değil. Biraz daha merhamet gösterebilmemiz için dua ediyorum.
str_npc13_morality_speech|Komutanım, eğer başka bir seçeneğimiz varsa {s21} tercih etmemeyi öneriyorum. Kalradya küçük bir yer ve birinin namı buralarda daha önemli. Düşmanlarımızdan birinin bu durumu olur olmadık alay konusu yapmasını istemem doğrusu.
str_npc14_morality_speech|{s21} çok önemsemiyorum açıkçası. Yüreksizliğiyle tanınan adamlar bile bunların karşısında korku hissetmezler.
str_npc15_morality_speech|{Efendim/Hanımım}, ne düşündüğümü bilin diye söylüyorum. Mantık sahibi hiçbir komutan birliğine {s21} yönünde emir vermez. Bu kadar doğrudan konuştuğum için kızmamışsınızdır umarım.
str_npc16_morality_speech|Komutanım, {s21} hiç hoşuma gitmiyor. Bir sürü gırtlak kesilebilir, bir sürü para kesesi boşaltılabilirdi.
str_npc1_2ary_morality_speech|Patron, bilin ki {s21} ile ilgili hiç bir sıkıntım yok. Başka bir gün savaşmak için yaşamaya devam edebilmek kulağa mantıklı geliyor.
str_npc2_2ary_morality_speech|{Efendim/Hanımım}... {s21} için genel olarak mutlu değilim. Ben bir tüccarım ve bizim işimizde söz bağlayıcıdır. Sahtekarlık üzerine asla namım yürüsün istemem, bu bir tüccar olarak benim sonum olur {beyim/hanımım}.
str_npc3_2ary_morality_speech|{Beyim/Hanımım} -- Bence {s21} hakkındaki kararınız doğruydu. Kan akmasını önleyecek bir yol bulmakta utanılacak bir şey yok.
str_npc4_2ary_morality_speech|Kim ne derse desin, sizin {s21} kararınıza diyecek hiçbir şeyim yok. Böyle zor zamanlarda hayatta kalmak için yapacağınız her şey anlaşılabilir.
str_npc6_2ary_morality_speech|{Beyim/Hanımım}, {s21} tercih ediyor olabilirsiniz, ama ben bu durumda hiçbir şeye dokunmamayı tercih ediyorum. Benim azat olmaya giden yolum o değil.
str_npc9_2ary_morality_speech|Komutanım, {s21} yüzünden dehşete düştüm. Sizin gibi bir {beyefendi/hanımefendi} her daim en yüksek kademe şerefliliği göstermelidir.
str_npc10_2ary_morality_speech|{Birader/Kardeşim}, {s21} durumu canımı sıkıyor. Adamlarınıza iyi bakmalısınız ki onlar da bu iyiliği size faiziyle iade etsinler.
str_npc14_2ary_morality_speech|Komutan, {s21} bu kadar rahatsız etmesin. Ordular liderlerinin emirlerini yerine getirmek için kurulurlar ve tabi sıkıntılar ve zorluk bir askerin hayatının parçalarıdır.
str_npc15_2ary_morality_speech|Biliyor musunuz, dostum {playername}; az önce yaptığımız gibi {s21} sizin tarafınızdan bana pek güven vermiyor. Eğer onlara verdiğiniz sözü tutmuyorsanız bana verdiğiniz sözü de tutmazsınız demek oluyor.
str_npc16_2ary_morality_speech|Şef, söylemiş olayım, {s21} benim için hiç sorun değil. Hayatta kalmak için ne yapmamız gerekiyorsa yaparız, onlar da bizim yerimizde olsalar aynısını yaparlardı.
str_npc1_personalityclash_speech|Komutanım, alınmayın ama {s11} artık beni yoruyor, sanki hizmetkarınız Borcha'dan daha iyiymiş gibi havalar atıyor.
str_npc2_personalityclash_speech|{Beyim/Hanımım}, bildiğiniz gibi birliklerinize katılmadan önce bir tüccardım. Her şeylerini riske atarak mallarını uzak diyarlara taşıyıp huzurlu bir hayat sürmeye çalışan insanlara hep saygı duymuşumdur.
str_npc3_personalityclash_speech|Reis, {s11} sert ve zalim bir adam. Askerlerine dayak atmak, kırbaçlamak ve onları asmaktan başka bir şey bilmiyor.
str_npc4_personalityclash_speech|{Beyim/Hanımım}. Rolf Hanedanı dünyanın bu tarafında en eski ve en çok saygı duyulan ailelerden biridir. Bağları Eski Kalradya İmparatorluğu'na kadar uzanır. Ancak {s11} açıkça bana saygısızlık gösteriyor ve soyumun kadimliğinden şüphe duyuyor.
str_npc5_personalityclash_speech|Biraz zamanınız var mı şef?. {s11}, ailemin topraklarından geçen karavanlardan bol savaş ganimeti topladığım için beni sıradan bir haydut olarak görüyor.
str_npc6_personalityclash_speech|Affedin beni, {beyim/hanımım}, ama artık çenemi kapatıp oturamam. Şu fahişe, {s11} beni her gördüğünde elinin bütün parmaklarını bana doğru çeviriyor. Bu çiftçilerin 'kötülüğü' kovmak için yaptıkları bir hareket.
str_npc7_personalityclash_speech|Komutanım, adamlarınızın kaba saba konuşmaları ve iğrenç alışkanlıklarına elimden geldiğince katlandım. Ama şu {s11} adındaki tahammül sınırlarımı aştı.
str_npc8_personalityclash_speech|Bilesiniz diye söylüyorum, artık şu saygısız {s11} çığırtkanına tahammülüm kalmadı. Birkaç dakika önce yoldaşlarıma bu bölgenin çiftçilerinin ne kadar yumru suratlı ve çıkık alınlı olduklarından bahsettim ve hatta belki de maymunlarla çiftleşmiş olabileceklerini söyledim.
str_npc9_personalityclash_speech|Efendim, {s11} kadınların haysiyetlerine asla değer vermeyen tam bir maganda. O ya da bu hatunu nasıl kapattığını anlattığı hikayelerinden bıktım artık.
str_npc10_personalityclash_speech|Kusura bakmayın şef. Sizi böyle şeylerle rahatsız etmek istemem ama artık bu Rolf denen adama tahammül edemediğimi söylemek için geldim. Hani şu kendine baron diyen...
str_npc11_personalityclash_speech|Affedin komutanım, ama sessiz duramam. Bu {s11} denen adam – kendi kardeşini öldürdü!
str_npc12_personalityclash_speech|Lordum, {s11} denen barbar kadın, baş ağrılarından şikayet ediyordu. Muhtemelen aşırı sevinçten kaynaklanıyor. Sülüklerimi kullanacağım sanırım.
str_npc13_personalityclash_speech|Kumandan, bu {s11} beni yordu artık. Sürekli ihtişamdan ve silahtarlıktan bahsediyor ve susmak bilmiyor.
str_npc14_personalityclash_speech|Kumandan. Yanımda {s11} gibi yoldaşlarla savaşa girmek büyük bir şeref!
str_npc15_personalityclash_speech|Umarım söylemem rahatsız etmiyordur ama şu kız {s11}, birlik için büyük tehlike. Çok vahşi bir velet, otoriteye ve savaş sanatının en temel prensiplerine değer vermeyecek kadar saygısız.
str_npc16_personalityclash_speech|Oy, şef. Bilesiniz diye söylüyorum, şu {s11} bayağı uçmuş durumda. Çamura garip garip şekiller çizip ve kendi kendine mırıldanıyor.
str_npc1_personalityclash_speech_b|O da benim gibi sıradan bir çapulcu ve az önce yaptığı gibi bana ondan uzak durmamı söylemeye hakkı yok!
str_npc2_personalityclash_speech_b|{s11} artık sıkıcı olmaya başlayan bir şekilde, sanki dürüst ticarete saygısı yokmuş gibi sürekli yağmaladığı ya da yağmalamayı planladığı kervanlardan bahsediyor.
str_npc3_personalityclash_speech_b|Askerliğin çocuk yuvası olmadığının ve kuvvetli disiplinin öneminin farkındayım ama bu adam zalimlik adına zalimlik yapmaktan haz alıyor. Umarım söylememe kızmıyorsunuz.
str_npc4_personalityclash_speech_b|{Beyim/hanımım}, alelade insanlar soylularını bu şekilde taciz ediyorlarsa gerçekten çok zor zamanlarda yaşıyoruz.
str_npc5_personalityclash_speech_b|Eğer savaşçının yolunu kendine yakıştıramıyorsa gidip rahip ya da dilenci olmasını önerdim, ki bu işler bir daha dert olmasın. Bunları dile getirmem canınızı sıkmıyordur umarım.
str_npc6_personalityclash_speech_b|İşlediğim suçun ağır olduğunu biliyorum ama tövbekarım ve bir cadının batıllıklarına malzeme olmaktan daha iyisini hak ediyorum. Bilmeniz gerektiğini düşündüm.
str_npc7_personalityclash_speech_b|Yemekten sonra dişlerini karıştırarak kamp ateşi üzerinden beni incelemesi hiç hoşuma gitmiyor. Sanırım onu çapulcu olduğum günlerden hatırlıyorum. Kaba ve cahildir. Bu tip insanlarla seyahat etmek istemiyorum.
str_npc8_personalityclash_speech_b|{s11}, şu küstahlık abidesi, beni duymuş ve bana cahil, vahşi ve şimdi burada dillendiremeyeceğim başka şeyler söylüyor. Sadece size olan saygımdan dolayı kalkıp herifin gırtlağını kesmedim. Şimdi sizi bilgilendirmenin daha uygun olacağını düşündüm.
str_npc9_personalityclash_speech_b|Eğer ısrar ederse ona bir şövalye ayakçısı olduğunu söyleyeceğim. Arbede çıkarsa da özür dilemeyeceğim. Bu kadar, {beyim/hanımım}.
str_npc10_personalityclash_speech_b|Basit bir haydut işte! Rolf Hanedanıymış, hah! Güleyim bari. Gerçek mavi kanlılar zaten yetiyor, şimdi bir de mavi kanlı olduğunu iddia edenler çıktı. Bunlar daha da çekilmezler. Neyse, az önce ona sert bir şeyler söylemiş olabilirim, biraz alınmış gibi göründü. Neyse, haber vereyim istedim...
str_npc11_personalityclash_speech_b|O bir soy kırıcı, gökler tarafından lanetlenmiş ve şüphesiz ki hepimize kara talih ve acı getirecek. Onun etrafında olmaktan rahatsız oluyorum ve bence o da bizim yanımızda olmamalı. Hepsi bu kadar. Başınızı ağrıttıysam özür dilerim.
str_npc12_personalityclash_speech_b|Ama onları tutturmaya çalışınca beni geri çekip yumruk attı ve beni kara büyü yapmakla suçladı. Komutanım, böylesine cehalet ürünü şikayetleri olan insanlarla uğraşmaktan artık iyice yoruldum.
str_npc13_personalityclash_speech_b|Yiğitlikler iyidir tabii ki ama bence hayatta takip edilecek daha önemli hedefler var. Şahsen ben hayatında en az bir defa sarhoş kafayla pislik içinde uyuyakalan yada sevgilisinin terliğiyle dayak yememiş bir adama asla güvenmem!
str_npc14_personalityclash_speech_b|O profesyonel bir asker ve her ne kadar diğerleri kadar hızlı olmasa da bir savunma hattında nasıl durması gerektiğini biliyor. Onu bu birliğe dahil etmekle mantıklılığınızı göstermiş oldunuz.
str_npc15_personalityclash_speech_b|Hatta onun bir hırsız olduğundan şüpheleniyorum. Eşyalarımı karıştırıp planlarımı aşırırken yakaladım onu. Uyarmak için davrandığımda ise bana bıçak çekti. Aklı başında bir komutan birliğinde onu asla barındırmaz.
str_npc16_personalityclash_speech_b|Cadılıktan korkarak, ne olduğunu sordum, o da benim gibi bir veledin kendi işine bakmasını söyledi. Ben de onun yüküne biraz baktım ve garip planlar ve şekiller buldum. Sanırım o bir büyücü, {beyim/hanımım}, ve eğer bana büyü yapmaya çalışırken onu enselersem gırtlağına bıçağı sokuvereceğim!
str_npc1_personalityclash2_speech|Oy -- patron, ben öyle çok kırılgan narin falan bir tip değilimdir ama özellikle {s11} gidip orada düşmanın yaralılarının gırtlaklarını kesmeye başlayınca çok rahatsız oldum.
str_npc2_personalityclash2_speech|{Efendim/Hanımım}. Eğer kızmazsanız, {s11} yakınında olmayan bir yere gönderilmek isterim. En son savaşta bana söylediklerinden sonra onun yanında durmak istemem.
str_npc3_personalityclash2_speech|{Efendim/Hanımım}. Bu birliğe katıldığımdan beri nasıl bir asker hayatı yaşayabileceğimi ve savaşçının desturunu nasıl uygulayacağımı öğrenmeye çalıştım. Eğer arada sırada hata yapıyor isem, affola.
str_npc4_personalityclash2_speech|{Efendim/Hanımım}. Son savaşın ganimetlerini paylaşırken {s11} ile biraz laflama fırsatı buldum. Kendisine söyler misiniz lütfen, benimle konuşurken bana 'Baron' yada 'Baron Rolf' veya 'ekselansları' desin ama bir tek Rolf demesin!
str_npc5_personalityclash2_speech|Komutanım! {s11} dilinin sökülüp atılmasını istiyor!
str_npc6_personalityclash2_speech|Lordum,  {s11} hiç savaş sırasında gözünüze ilişti mi? Düşman hareketsiz ve savunmasız bir şekilde yerde yatarken onu aşağılayıp hakaret ediyor, soyuna sopuna sövüyor ve bizimle savaşmakla ne kadar aptalca bir iş yaptıklarını söylüyor.
str_npc7_personalityclash2_speech|Komutanım, birkaç zamandır bu kendine baron diyen {s11} gözüme nereden tanıdık geliyor diye düşünüyordum. En son onu savaş sırasında gördüğümde hatırladım. O iyi bir savaşçı ama bir o kadar da acımasız.
str_npc8_personalityclash2_speech|Komutanım. {s11} çok terbiyesiz bir kız. Kibar olmaya çalıştım, hatta arkadaşça yaklaştım. Samimiyet gösterince ilk yaptığı şey beni terslemek oldu.
str_npc9_personalityclash2_speech|{Efendim/Hanımım}, umarım söylememe kızmazsınız, ama bence şu tüccar {s11}, pek düşüncesiz biri. Son savaşta önüme geçip benim gözüme kestirip kendime ayırdığım düşmanla arama girdi.
str_npc10_personalityclash2_speech|{Kardeşim/Kardeşim} – size bir soru. Bu birliği siz mi yönetiyorsunuz yoksa {s11} mi?
str_npc11_personalityclash2_speech|Komutanım, benim şu {s11} ile pek işim olmaz. Son savaştan sonra, bunu bir yandan düşen düşmanların arasında ganimet ararken bir yandan da kafir dilinde büyülü bir şeyler mırıldanırken gördüm.
str_npc12_personalityclash2_speech|Komutanım. Artık bu {s11} rütbe ve mevki tanımamazlıkta iyice ayarını kaçırdı. Son savaşta ben yaralılar ile ilgilenirken, ameliyat sırasında acıyı hafifletmek için Galenion'unkinin yerine afyon ruhu kullanmamı ve yaralara bal merhemi uygulamamı söyleyerek aşağılamaktan geri durmadı!
str_npc13_personalityclash2_speech|Merhaba kumandan! Bu {s11} çok asabi değil mi? Son savaşta, düşmanlarımla kılıç tokuştururken anneleriyle ilgili tatlı bir konu açmıştım, bunu görünce o da küplere bindi.
str_npc14_personalityclash2_speech|Efendim. {s11} kurtarılamayacak kadar disiplinsiz! Çok çatışmada ona seslenerek savaş hattımızla aynı çizgide durmasını söyledim. O da bana 'Hadi oradan!' diye bağırdı.
str_npc15_personalityclash2_speech|Komutan, size söyleyeyim, {s11} tıbbi konularda çok hatalı işler yapıyor. En son savaştan sonra yaralılarla ilgilenirken, ona yaralara kullandığı merhemin aslında iyimserliğini kaybetmiş olan askerlere yapay yoldan keyif veren bir madde olduğunu hatırlatmam gerekti.
str_npc16_personalityclash2_speech|Kusura bakmayın efendim. {s11} çok iyi bir hırsız olabilir ama onda savaşçı yüreği yok.
str_npc1_personalityclash2_speech_b|O kadar neşeli ıslık çalıyor ki, tüylerim ürperiyor. Gerçekten ürperiyor.
str_npc2_personalityclash2_speech_b|Düşman üzerimize çullanmak üzereydi ve o dedi ki, 'Kenara çekil tüccar, bu şövalyelerin halledebileceği bir iş' Bir dahakine kenara çekileceğim ki mızrağı dalağına yesin!
str_npc3_personalityclash2_speech_b|Son zaferimizden sonra meydandaki düşman leşlerinden malzeme ayıklıyordum. Bir tanesinden bir para kesesi çıktı. Zaten tam o sırada {s11} arkamdan gelip keseyi kaptı ve o düşmanı asıl öldürenin kendisi olduğunu ve kesenin nihayetinde ona ait olduğunu söyledi. Lordum, savaşın kargaşasında kimi kim indirdi bilemiyorum. Ama eğer {s11} o keseyi benden düzgün bir şekilde istemiş olsaydı, parayı ona seve seve teslim ederdim.
str_npc4_personalityclash2_speech_b|Ben soylu kanından geliyorum, o ise en yavan doğumlu kademeden. Yerini asla unutmamalı.
str_npc5_personalityclash2_speech_b|Son savaştan sonra ganimet istiflenince düşmanın aletleri arasından çok hoş bir pişirme kabı buldum. Böyle bir kap bulabilmeyi hep istemiştim. Bir pişirme kabım olsun ki soğuk kış geceleri insanların midelerini ısıtacak lezzetli yahniler yapayım. Ancak {s11} kabı elimden kaptı ve onu küffar yemekleriyle kirletmemem gerektiğini kabın ona ait olması gerektiğini söyledi. Sonunda kabı ona vermeyi kabul ettim. Ancak ileride bu tip hareketleri hoş görmeyeceğim.
str_npc6_personalityclash2_speech_b|Lordum, bu kadar aşırı kibir gökler katında hoş karşılanmayacak ve korkarım bunun hesabını vermek zorunda kalacağız.
str_npc7_personalityclash2_speech_b|Vadide yaşadığım zamanlarda yakınlarda kendini Ormanın Kardeşliği diye adlandıran bir düşmanla savaşırdık. Komutanım, kendi geçmişini saklayan insanlara güvenmem, hele kendini lord diye satan alelade bir hayduta hiç güvenmem.
str_npc8_personalityclash2_speech_b|Son savaştan sonra silahlarımızı temizlediğimiz sırada onun güzelce bir kız olduğunun farkına vardım ve onu topraklarımı geri kazanır kazanmaz savaşçılarımdan biriyle baş göz etmeye karar verdim. Bunun cömert bir teklif olacağını düşünmüştüm. Kendi babası tarafından reddedilmiş bir kadın olarak büyük olasılıkla kendini oradan oraya sürüklenirken bulacak. Ama o teşekkür etmek yerine tek kelime bile etmeden bana sırtını döndü. Sadece sizin liderliğinize olan saygımdan dolayı hemen oracıkta ona nasıl davranması gerektiğini öğretmekten vazgeçtim.
str_npc9_personalityclash2_speech_b|Savaşta hayatını ortaya koymasına saygı duyuyorum, ancak bu tek başına bir erkeği beyefendi yapmıyor. Soylu biri değil, ailesinin varlığı da ticaret ve aşırı faizden geliyor. Yanımızda bir destekçi gibi savaşıyor olabilir, ancak bu kazanılan ihtişamı kendinden daha iyi olanlardan çalmaya çalışmasına yol açmamalı!
str_npc10_personalityclash2_speech_b|Son savaşta bana bağırıp duruyordu: 'İleri git, geri git, hattı koru'. artık en son ona kendi işine bakmasını söylediğimde o da beni kötekleteceğini söyledi. Kumandan, bu adam göğsüne bir ok istiyor!
str_npc11_personalityclash2_speech_b|Zafer için bir şükran duası olduğunu söyledi ama bana hiç de öyle gelmedi. Komutanım, ben onun hayaletleri uyandırıp yol boyunca başımıza bela sarmasını istemiyorum. Bence en iyisi ondan kurtulmanız.
str_npc12_personalityclash2_speech_b|Reis, eğer bu adam tıp ile ilgili bir şey bildiğini iddia ediyorsa, hastanın doktora olan güvenini zedeleyecek söylemlerden kaçınması gerektiğini de bilmesi gerekirdi, özellikle de öylesine ciddi bir operasyondan önce. Eğer onu birliğinizden salıvermeyi düşünürseniz, hepimize çok büyük bir iyilik yapmış olursunuz.
str_npc13_personalityclash2_speech_b|Toz bulutu ortadan kalkınca, {s11} bana döndü ve 'Kibrinle gök katının sabrını fazla zorlama' dedi. Buna ben de en azından kendi öz kardeşimi katletmediğimi söyleyerek yanıt verdim, ki bence bu yukarının sabrını benim savaş alanında yaptığım ayaküstü yorumlardan daha çok zorluyordur. {s11} pancar gibi kıpkırmızı kesildi ve çok kıvrak bir şekilde yana çekilmeseydim suratıma bir tane patlatacaktı. Biraz rahatlamasını söyler misin ona?
