qstr_Next_Page|Sonraki sayfa
qstr_The_remaining_defend|Savunmada kalanlar son savunma için kaleye çekildiler. Girip kalan direnci de kırmalısınız.
qstr_However_since_you_ar|Ne var ki, {s9}'{.nin} yeminli bir {adamı/takipçisi} olmadığından,  seni bu {reg8?şehrin:kalenin} {lordu/hanımı} olarak tanımasına imkan yok.
qstr_The_enemy_has_been_f|Düşman çekilmeye zorlandı. Saldırı sona erdi, ama kuşatma devam ediyor.
qstr_As_you_approach_you_|Yaklaştıkça, kalenin muhafızları tarafından fark ediliyorsun ve seni {kralları/kraliçeleri} adına selamlayıp, kapıları açıyorlar.
qstr_As_you_approach_you_a|Yaklaştıkça, kalenin muhafızları tarafından fark ediliyorsun ve seni {lordları/hanımları} adına selamlayıp, kapıları açıyorlar.
qstr__This_village_and_th| Bu köy ve onu çevreleyen alan sana ait.
qstr__You_remember_that_t| Bu köyün ve civardaki toprakların sahibinin {s7} olduğunu hatırlıyorsun.
qstr__These_lands_belong_| Bu topraklar kimseye ait değil.
qstr__The_village_is_infe| Köy {reg8} {s35} tarafından istila edildi.
qstr__The_village_has_bee| Köy yağmalandı. Yanmış evlerin arasından geçerken birkaç köylünün kaçıştığını görüyorsun.
qstr__The_village_is_bein| Köy yağmalanıyor.
qstr_No_one_here_seems_to|Burada kimse birliğine katılmaya istekli görünmüyor.
qstr_One_{s3}_volunteers_|Bir {s3} seni izlemek için gönüllü oluyor.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} seni izlemek için gönüllü oluyor.
qstr_Try_as_you_might_you|Elinizden geleni yapsanız da, haydutları yenemiyorsunuz. Öfkeden kudurmuş bir şekilde, köylüleri cezalandırmak için köyü yerle bir ediyorlar ve daha yeşil meralar bulmak üzere yanan bu çorak topraklardan ayrılıyorlar.
qstr_village|köy
qstr_town|kasaba
qstr_castle|kale
qstr_The_{s17}_has_no_imp|{s17} için hiçbir gelişme yapılmamış.
qstr_The_{s17}_has_the_fo|{s17} için yapılan gelişmeler:{s18}.
qstr_The_assasins_beat_yo|Suikastçiler seni dövüp ölüme terkediyorlar.
qstr_You_have_fallen._The|Düştün. Haydutlar hızlıca vücudunu arayıp bulabildikleri tüm parayı kapıp gecenin karanlığına karışıyorlar. Seni canlı bıraktılar, neredeyse.
qstr_Luckily_some_of_your|Neyse ki dönmeyince bazı yandaşların seni aramaya geliyorlar ve yolun kenarında yatarken buluyorlar. Seni güvenliğe götürüp yaralarını sarıyorlar.
qstr_Luckily_some_passing|Neyse ki yoldan geçen bazı kasabalılar seni yolun kenarında buluyorlar ve bir dilenciden fazlası olduğunu farkediyorlar. Seni en yakın hana taşıyıp yaralarını sarıyorlar.
qstr_You_fail_to_steal_an|Hiç bir sığırı kaçırmayı başaramadınız.
qstr_You_drive_away_{reg1|Köyün sürüsünden {reg17} baş sığır kaçırıyorsunuz.
qstr_You_are_at_{s2}.|{s2}{.e} geldin.
qstr__This_castle_has_no_| Bu kalede garnizon yok.
qstr__This_town_has_no_ga| Bu şehirde garnizon yok.
qstr__You_have_successful| Başarıyla içeri sızdın.
qstr_{s13}_A_tournament_w|{s13} Yakında burada bir turnuva yapılacak.
qstr___{reg1}_denars_per_| (Geceliği {reg1} dinar)
qstr_Moreover_you_earn_{r|Üstüne bir de, kendi üstüne oynadığın zekice bahislerden {reg8} dinar kazandın...
qstr_Victory_is_yours!_Yo|Galibiyet senin! Bu turu kazandın ama şimdi sonraki tura hazırlanman gerekiyor.
qstr_You_have_been_bested|Bu kavgada yenildin, ama turnuva hakemi yetenek ve cesaretini alkışlayıp sonraki turda savaşmana izin veriyor.
qstr_You_were_beaten._The|Yenildin. Köylüler başarılarından dolayı yüreklendiler, ancak almalarını istediğin dersi muhtemelen kapamadılar.
qstr_After_beating_your_l|Son rakibini de yendikten sonra, köylülere bu tip saldırılara karşı kendilerini nasıl korumaları gerektiğini anlatıyorsun. Bir dahaki sefere bu deneyimlerini kullanarak daha hazırlıklı olabileceklerini umut ediyorsun.
qstr_The_bandits_are_brok|Haydutlar dağıldı! Hayatta kalıp bilinci yerinde olanlar da kuyruklarını bacaklarının arasına sıkıştırıp, köylüler ve yeni müdafilerinden dehşete düşmüş bir şekilde kaçıyorlar.
qstr_{s1}_s_Ship|{s1}'in Gemisi
qstr_However_{reg3?You_ar|Ne yazık ki,{reg3? :{s1} }kâr edecek mallar {reg3?bulamıyorsun:bulamıyor.}
qstr_^Buying_{s4}_here_an|^Buradan {s4} alıp {s5}nde satmak, mal başına {reg6} dinar kâr getirecektir.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Şunları buluyorsun:{s1} şunları buluyor}:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1}, {reg0} tecrübe kazandı.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}, ek olarak {reg0} tecrübe kazandı.
qstr_^You_earned_{reg0}_e|^{reg0} tecrübe kazandın.{s2}
qstr_The_training_didn_t_|Talim hiç de iyi geçmedi.
qstr_The_training_didn_t_g|Talim pek iyi geçmedi.
qstr_The_training_went_qu|Talim fena geçmedi.
qstr_The_training_went_ve|Talim oldukça iyi geçti.
qstr_The_training_went_pe|Talim mükemmel geçti.
qstr_{s13}_asked_you_to_r|{s13}, en az {reg13} askerle ona rapor vermeni emretti.
qstr_{s13}_ordered_you_to|{s13}, {s14}ne yapılan saldırıya katılmanı emretti.
qstr_Find_and_speak_with_|{s4}ndan {s3} ile konuşup ona bağlılık yeminini sunmalısın.
qstr_There_has_been_an_al|Bir hudud hadisesi oldu: {s9}
qstr_^^Note_that_so_long_|^^Mareşal olarak kaldığın sürece, ülkenin lordları senin seferde onlara öncülük etmeni bekleyeceklerdir. Yani eğer bir şölenin başlamasını evlilik veya başka bir nedenle beklersen, öncelikle hükümdarınla konuşup mareşalliğini başkasına devretmek isteyebilirsin.
qstr_Breaking_camp...|Kamp toplanıyor...
qstr_Your_party_is_spotte|Partin {s1} tarafından farkedildi.
qstr_Party_has_nothing_to|Grubunun yiyecek hiçbir şeyi yok!
qstr_{reg1}_{s1}_{reg2?ha|Gece vakti grubundan {reg1} {s1} kaçtı.
qstr_{s1}_of_{s3}_has_bee|{s3}ndan {s1} esaretten serbest bırakıldı.
qstr_Building_of_{s0}_in_|{s4}ndeki {s0} inşası tamamlandı.
qstr_{s1}_has_won_the_tou|{s1}, {s2}ndeki turnuvayı kazandı.
qstr_{s1}_is_no_longer_in|{s1}ndeki haydut istilası sonra erdi (gece).
qstr_You_pay_for_accommod|Barınma için ücret ödüyorsun.
qstr_Betrothal_to_{s5}_ex|{s5} ile olan nişan atıldı.
qstr__Your_tactics_skill_| Taktik yeteneğin 1 yükseldi.
qstr__Your_persuasion_ski| İkna yeteneğin 1 yükseldi.
qstr__Your_leadership_ski| Liderlik yeteneğin 1 yükseldi.
qstr__Your_intelligence_h| Zekan 1 yükseldi.
qstr__Your_trade_skill_ha| Ticaret yeteneğin1 yükseldi.
qstr__Your_weapon_master_| Silah ustası yeteneğin 1 yükseldi.
qstr__Your_engineer_skill| Mühendislik yeteneğin 1 yükseldi.
qstr_You_have_finished_re|{s1} kitabını okumayı bitirdin.{s2}
qstr_Book_Read|Kitap okundu.
qstr_{s1}_is_scouted.|{s1} gözlendi.
qstr_{s1}_has_switched_fr|{s1}, {s2}ndan {s3}na geçti.
qstr_{reg65?my_Lady:my_Lo|{reg65?hanımım:lordum}
qstr_{reg65?My_Lady:My_Lo|{reg65?Hanımım:Lordum}
qstr_{reg65?madame:sir}|{reg65?hanımefendi:efendim}
qstr_{reg65?Madame:Sir}|{reg65?Hanımefendi:Efendim}
qstr__no_fiefs_|(kendine ait bölgesi yok)
qstr__fiefs:_{s0}_|(ait bölgeler: {s0})
qstr_It_s_your_money_or_y|Ya paran ya canın, {koçum/güzelim}. Ani hareket yapma, deşeriz.
qstr_Lucky_for_you_you_ca|Şanslısın bugün sağımdan kalktım. Tüm paranızı verirseniz yaşamanıza izin verebilirim.
qstr_This_a_robbery_eh?_I|Bu bi' soygun, ha? Size herşeyinizi vermek için bi' şans veriyorum, yoksa ben ve kankalarım sizi öldürüveririz. Çaktın mı?
qstr_we_have_made_very_li|şimdilik çok az ilerleme katettik
qstr_we_have_suceeded_in_|yer kazanmaya başladık, ama yine de yapacak çok işimiz var
qstr_we_have_become_a_sig|dikkate alınacak bir güç olduk ve kazanma şansımız bile var
qstr_we_are_winning_the_w|savaşı kazanıyoruz, ama düşmanlarımız hala direniyor
qstr_we_are_on_the_verge_|galibiyetin eşiğindeyiz. Kalan düşmanlar bir tehdit oluşturmuyorlar, ama yine de onları avlamamız gerekiyor
qstr_{playername}_when_we|{playername}, uzun yürüyüşümüze başladığımızda pek az kişinin beni destekleyecek cesareti vardı. Ve çok daha azı davam için hayatlarını riske atmaya istekliydi. Ama sen, kendini düşmanlarımın önüne atmak için bir an bile durmadın. Beraber çok şey geçirdik ve umudu kaybetmeye yaklaştığım zamanlar oldu. Ama Tanrı'nın yardımıyla, alnımız açık çıktık. Artık yanından ayrılma ve hakettiğimi alma vakti geldi. Bu andan itibaren {s3}nı yönetme sorumluluğunu taşıyacağım. Hala pek çok engelle karşılaşabiliriz ve bunları aşmak için sana güveniyorum. Ve tabi ki, her zaman en önemli vasalım olarak kalacaksın.
qstr__We_will_of_course_n| Tabi ordularımız seferden dönene kadar beklememiz gerekiyor.
qstr_I_am_{s4}_the_ruler_|Ben {s4}, {s6} yöneticisi
qstr_I_am_{s4}_a_vassal_o|Ben {s4}, {s6} derebeyi.
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? Ve {s8} lordu.:.
qstr_{s13}_asked_you_to_g|{s13}, {reg3} baş sığır toplamanı ve ona getirmeni emretti.
qstr_{s9}_asked_you_to_sc|{s9}; {s13}, {s14} ve {s15} bölgelerini gözlemeni ve ona rapor etmeni istedi.
qstr_you|sen
qstr_You_are_challenging_|Bana düello mu teklif ediyorsun? Ne akıllıca! Nasıl istersen {playername}, senin kafanı ezerek bugünün sporunu da aradan çıkarmış olurum.
qstr_{s16}_and_{s17}|{s16} ve {s17}
qstr_Very_well_I_will_acc|Pekala, seni saflarıma tekrar kabul edeceğim, eğer kutsal yemini tekrar etmeye hazırsan.
qstr_A_pardon_will_only_b|Seni affetmemin tek yolu, bana esirin olarak {s17} ile gelmen. Şartlarımı kabul ediyor musun?
qstr_No._There_is_no_chan|Hayır, aramızda barış olma şansı yok. İlgilenmiyorum.
qstr_Our_marshal_{s1}|Mareşalimiz, {s1}
qstr_{s11}_and_{s12}|{s11} ve {s12}
qstr_We_are_not_at_war_wi|Kimseyle savaş durumunda değiliz.
qstr_We_are_at_war_with_{|{s12} ile savaş halindeyiz.
qstr_go_on_the_offensive_|şimdi saldırıya geçmek
qstr_act_to_defend_our_la|topraklarımızı korumak için harekete geçmek
qstr_take_more_time_to_ga|orduyu toplamak için biraz daha beklemek
qstr_You_promised_to_help|{s13}, {s14} tacını elde edene kadar ona yardım etmeye söz verdin.
qstr_What_do_you_say_to_e|Kiralık askerlerin komutanı olarak {s9} servisi altına girmeye ne dersin? 
qstr_{s9}_asked_you_to_ta|{s9} senden {s13} için yazdığı bir mesajı götürmeni istiyor. Görevi aldığın sırada {s13}, {s4}nde bulunuyordu.
qstr_{s9}_asked_you_to_tak|{s9} senden {s15}ndan {s13}'{.e} bir mesaj götürmeni istiyor. Görevi aldığında, {s13}, {s4}{.de} bulunuyordu.
qstr_{s11}_asked_you_to_e|{s11} senden ona ait {s17} {s13} için {s14}ne kadar refakatçilik yapmanı istiyor.
qstr_{s13}_asked_you_to_d|{s13}, senden ona ait {s15}ne yerleşen haydutlarla ilgilenmeni, ardından kendisine rapor vermeni istedi.
qstr_{s9}_asked_you_to_ra|{s9}, {reg1} {s14} yetiştirip kendisine getirmeni istedi.
qstr_{s9}_asked_you_to_co|{s9}, {s3}nden vergileri toplamanı istedi. Topladığın tüm paranın beşte birini sana bırakmayı önerdi
qstr_{s9}_asked_you_to_hu|{s9}, senden {s4} olarak bilinen kaçağı avlamanı istedi. Şu an {s3}nde olduğu sanılıyor.
qstr_{s9}_asked_you_to_as|{s9}, {s3}ndeki yerli tüccarı öldürmeni istedi.
qstr_{s9}_has_asked_you_t|{s9}, {s13}nde bulunan casusla buluşmanı istedi.
qstr_{s11}_asked_you_to_f|{s11}, {s12}nden ayrılan casusu izlemeni istedi. Casusun seni yolda görmemesine dikkat etmelisin, yoksa şüphelenip geri dönebilir. Casus bir kere suç ortağıyla buluştuktan sonra, her ikisini de yakalayıp {s11}ne getirmen gerekiyor.
qstr_{s11}_asked_you_to_c|{s11}, {s13}ndan bir lord yakalamanı, herhangi bir tanesi, ve ardından kurbanını saklamak üzere {s11}ne sürüklemeni istedi.
qstr_{s9}_asked_you_to_le|{s9}, yardımcın {s3}'{.i} ona bir hafta ödünç vermeni istedi.
qstr_{s9}_asked_you_to_col|{s9}, {s3}'{.nin} ona olan {reg4} dinarlık borcunu toplamanı istedi. {s3}, sen bu görevi aldığında {s4}ndeydi.
qstr_{s11}_gave_you_a_fak|{s11} sana {s13}'{.nin}, {s16} vasalını sürmesi için kandırmak üzere sahte bir mektup verdi. {s14} civarına gitmen, mektubu {s15} askerlerinden birine vermen ve onu şehre, mesajının gerçek olduğuna inanarak, ulak olarak yollaman gerekiyor.
qstr_{s9}_has_requested_y|{s9}, ona {reg1} {s3} mahkum getirmeni istedi.
qstr_Lend_your_experience|{s1} senden tecrübeli cerrah {s3}'{.i} istedi.
qstr_Then_take_it_with_my|O zaman en derin minnet duygularımla onu alın. Gerçek bir asilsiniz. Bana zor anımda yardım ettiğinizi asla unutmayacağım.
qstr_Forgive_me_{playerna|Kusura bakma {playername}, ama kabul etmeniz için ısrar edeceğim. Paranın benim için anlamı küçük ve size borcum büyük. Buyrun, kabul edin, ve bundan daha fazla bahsetmeyelim.
qstr_{playername}_what_a_|{playername}, ne kadar değerli birisiniz, ancak bunu reddetmenize izin vermeyeceğim. Size söyleyebileceğimden fazlasını borçluyum ve eminim bu parayı benden daha iyi bir şekilde kullanabilirsiniz.
qstr_{s11}_asked_you_to_r|{s11} senden onun için {s17}{.i}, {s13}'{.i} {s14}'{.den} zindanda onun yerine geçerek kurtarmanı istedi.
qstr_{s11}_asked_you_to_re|{s11} senden {s17}{.i} {s13}'{.i} {s14}'{.den} kurtarmanı istedi.
qstr_{s11}_asked_you_to_d|{s11}, {s14}nde tutsak olan {s13} için bir mesaj iletmeni istedi.
qstr_You_agreed_to_challe|{s11}'{.nin} onurunu korumak için {s13}'{.nin} karşısına çıkmayı kabul ettin.
qstr_{s5}__Persuasion_str|{s5} (İkna gücü: {reg5})
qstr_Persuasion_Attempt|İkna Denemesi
qstr_A_villager_from_{s7}|{s7}nden bir köylü, köylerini oraya yerleşen haydutlardan kurtarman için senden yardım dilendi.
qstr_You_chose_well_{sir/|İyi seçim, {efendim/hanımefendi}. Adamlarım sözlerini tutmasını ve ücretlerini haketmesini bilirler.
qstr_Well_done_{sir/madam|Çok güzel, {efendim/hanımefendi}. Paramızı ve şarabımızı eksik etmeyin; koca Kalradya'da kimseden korkunuz olmasın.
qstr_We_are_at_your_servi|Hizmetinizdeyiz, {efendim/efendim}. Kime zarar verilecekse bize yerini gösterin, gerisini biz hallederiz.
qstr_The_Guildmaster_of_{|{s13} lonca başkanı, şehrin etrafında çapulcularla ilgilenmeni istedi.
qstr_{s9}_of_{s3}_asked_y|{s3}nden {s9} 7 gün içinde {s4}ndeki hana {reg5} adet {s6} ulaştırmanı istedi.
qstr_Escort_the_merchant_|{s1} topraklarına doğru giden ticaret kervanına refakat et.
qstr_Merchant_{s9}_of_{s4|{s4}nden tüccar {s9}, senden şehrin civarındaki belalı haydutları avlamanı istedi. 
qstr_Guildmaster_of_{s4}_|{s4} lonca başkanı haydutlar tarafından kaçırılan bir kızın fidyesini ödemen için sana {reg12} dinar verdi. Haydutlarla {s3} yakınlarında buluşup fidyeyi ödemen gerekiyor. Ardından kızı {s4}ne geri getirmen bekleniyor.
qstr_Guildmaster_of_{s4}_p|{s4} lonca başkanı {s12} ve {s13} kişilerinin, {s15} ve {s14} arasında olası bir barış durumuna karşı tehdit olmamalarını sağlamayı başarırsan sana {reg12} dinar önerdi. Bunu yapmak için onları ya ikna etmeli ya da anlaşma yapılana kadar esir olarak tutmalısın.
qstr_The_Guildmaster_of_{s|{s14} lonca başkanı {s14} sokaklarına terör saçan bir grup haydutla ilgilenmeni istedi. Sadece geceleri ortaya çıkıyorlar ve sadece sokaklardaki yalnız yolculara saldırıyorlar.
qstr_Guildmaster_of_{s10}|{s10} lonca başkanı bir sığır sürüsünü {s13}ne sürmeni istedi. Karşılığında {reg8} dinar kazanacaksın.
qstr_He_is_not_commanding|Şu an hiçkimseyi yönetmiyor.
qstr_He_currently_command|Şu an {reg1?, yaklaşık {reg1} tanesi yaralı olan }{reg0} askere hükmediyor.
qstr_The_elder_of_the_vil|{s3}nün yaşlısı ona {reg5} çuval buğday getirmeni istedi.
qstr_The_elder_of_the_vill|{s3}nün yaşlısı haydutlarla savaşabilmeleri için {reg5} çiftçiyi eğitmeni istedi.
qstr_The_elder_of_the_villa|{s3}nün yaşlısı ona {reg5} baş sığır getirmeni istedi.
qstr_{s16}_and_{s15}|{s16} ve {s15}
qstr_I_can_smell_a_fat_pu|Kalın cüzdan kokusunu yolun öbür ucundan alırım. Bana kalırsa biraz hafifleme vaktin gelmiş!
qstr_Why_it_be_another_tr|Ah, yolların denk getirdiği başka bir yolcu! Sizi uyarmalıyım, bu kırlar sizin gibi hoş bir {bay/bayan} için tehlikeli olabilir. Ama küçük bir bağış karşılığı ben ve dostlarım doğru yere ulaşmanızı sağlayabilir...
qstr_Well_well_look_at_th|Bak, bak hele! Gümüşlerini uçlanmaya başlasan iyi olur arkadaşım, yoksa ben ve arkadaşlarım seni kırmak zorunda kalacağız.
qstr_There_s_a_toll_for_p|Bu topraktan geçmenin bir ücreti var, bize ödeniyor; siz rahatınızı bozmayın, biz ücretimizi cüzdanlarınızdan kapıveririz...
qstr_Another_fool_come_to|Kendini silahıma atmaya gelen başka bir şaklaban daha, ha? Öyle olsun, gel de kapışalım!
qstr_We_re_not_afraid_of_|Senin gibi bir {heriften/yellozdan} korkacak değiliz. Kafanın kırıdığımızda görürsün!
qstr_That_was_a_mistake._|Bu bir hataydı. Şimdi ölümünü uzun ve acı dolu hale getirmem gerekecek.
qstr_Brave_words._Let_s_s|Cesur laflar. Bakalım arkasında durabilecek misin, it!
qstr_A_{s5}?_Well..._Yes_|Bir {s5}? Sanırım öyle. Ne kadar ilginç bir soru bu.
qstr_Eh?_No_it_most_certa|Eh? Hayır! Bu kesinlikle bir {s5} değil. Yerinde olsam gözlerimi bir kontrol ederdim.
qstr_This_is_the_{reg4?to|Burası {s5} {beyim/hanımım}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Şehrimiz:Köyümüz} ve içinde bulunduğu topraklar tabiki siz {beyime/hanımıma} aittir.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Şehrimiz:Köyümüz} ve içinde bulunduğu toprakların sahibi {s8}ndan {s7} olur.
qstr_{s3}_and_{s5}|{s3} ve {s5}
qstr_{reg20?We_mostly_pro|{reg20?Burada genelde {s5} üretiyoruz:Şu sıralar pek birşey ürettiğimiz yok}. Eğer daha fazla öğrenmek istiyorsan {reg4?lonca başkanımızla:köyümüzün ihtiyarıyla} konuşabilirsin. Hemen şurada, ileride.
