dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_lord_talk:lord_denounce_1|Size birşey söylemek istiyorum -- {s4} yollarınızdan yeteri kadar gittik.
dlga_lord_denounce_1:lord_denounce_2|Afedersiniz... Ne dediniz?
dlga_lord_denounce_2:lord_denounce_3|Beni duydunuz. 
dlga_lord_denounce_2:lord_pretalk|Boş ver. Beni yanlış anlamış olmalısın.
dlga_lord_denounce_3:close_window|Neden böyle bir şey söylediniz ki? Dostluğumuza rağmen beni böyle küçük düşürmek -- Eski dostlarım tarafından sırtımdan bıçaklanmak, düşmanımın kılıcıyla ölmekten çok daha acımasızmış. Nasıl bir oyun oynadığınızı bilmiyorum, ama bunun bir parçası olmak istemiyorum. Gidin. Sizi bir daha görmek istemiyorum.
dlga_lord_denounce_3:close_window.1|Hmm... Gerçekten mi? Bu sizin görüşünüz mü, yoksa düşmanlarınızdan biri mi size bunları söylettiriyor? Boş verin. Oyununuza gelmeyeceğim. Entrikalarınızı da alıp gidin.
dlga_lord_denounce_3:lord_denounce_4|Beni topluluğun içinde küçük düşürmenize izin veremem, {bayım/leydim}. Sözlerinizi geri alın, ya da beni duello arenasında bekleyin.
dlga_lord_denounce_3:lord_denounce_4.1|Demek öyle ? O zaman şunu bil -- sen bir yılan, bir düzenbaz – ve eğer benimle düello alanında buluşmazsan – bir korkaksın. Buna ne diyeceksin? Sözlerini geri almıyor musun, yoksa kılıçlarımızı mı çekelim? 
dlga_lord_denounce_4:lord_respond_to_insult_challenge_duel_confirm|Seninle dövüşmek bir zevk olacak.
dlga_lord_denounce_4:lord_denounce_retract|Düşüncesizce konuştum. Sözlerimi geri alıyorum.
dlga_lord_denounce_retract:lord_pretalk|Bende öyle düşünmüştüm. Şimdi yıkıl karşımdan.
dlga_lord_talk:lord_respond_to_insult|{s9}
dlga_lord_pretalk:party_encounter_lord_hostile_attacker_2|Bu kadar konuşma yeter, teslim olun veya savaşın!
dlga_lord_pretalk:lord_talk|Başka birşey?
dlga_hero_pretalk:lord_talk|Başka birşey?
dlga_lord_talk:lord_quarrel_intervention_1|{s11} ile olan tartışmanızdan bahsetmek istiyorum
dlga_lord_talk:lord_recruit_1_relation|Durun! Size söylemem gereken bir şey var.
dlga_lord_talk:lord_bandit_information|Şu eşkâle sahip bir haydut grubunun peşindeyim... Onları gördünüz mü?
dlga_lord_bandit_information:lord_pretalk|{s15}
dlga_lord_talk:lord_internal_politics_cur_stance|Sizce ülkemizin mareşali kim olmalı?
dlga_lord_talk:lord_internal_politics_cur_stance.1|Sizce {s4} toprakları kime bırakılmalı?
dlga_lord_talk:lord_husband_auto_recruit|Şimdi {s4}na olan bağlılık yemini bozup {s5}na katılman gerekiyor.
dlga_lord_husband_auto_recruit:lord_pretalk|Buradan uzaklaşana kadar bunu yapamayız. Bunu daha sonra konuşalım, hanımım.
dlga_lord_husband_auto_recruit:close_window|İstediğin gibi olsun, hanımım.
dlga_lord_talk:lord_recruit_1_relation.1|Sizinle gizlice görüşmek istediğim bir konu var.
dlga_lord_talk:lord_recruit_1_relation.2|Sizinle gizlice görüşmek istediğim bir konu var.
dlga_lord_talk:lord_talk|Lordun sabrını sıfırla
dlga_lord_talk:lord_respond_to_insult_challenge_duel|HİLE – Duello yapalım!
dlga_lord_respond_to_insult:lord_pretalk|Hah! Hazırcevaplığı takdir ederim. Belki bir gün o dilinizi keserim, ama bugünlük nüktedanlığınızı ve cesaretinizi selamlamakla yetineceğim.
dlga_lord_respond_to_insult:lord_pretalk.1|Niyetim kabalık etmek değildi, hanımefendi.
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_battle|Beni kışkırtmaya mı çalışıyorsunuz? O halde size kadınlarla, kentlilerle, isyancılarla veya eşkıyalarla düelloya girmek gibi bir zorunluluğum olmadığını belirtmeliyim. Yine de, adamlarıma sizi yakalayıp kamçılamalarını emredebilirim. Bunu yapmalarını ister misiniz?
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_duel|Beni kışkırtmaya mı çalışıyorsunuz? O halde size kadınlarla, kentlilerle, isyancılarla veya eşkıyalarla düelloya girmek gibi bir zorunluluğum olmadığını belirtmeliyim. Yine de, şu durumda bir istisna yapmaktan zevk duyarım. Büyüklerine hürmet duymakla ilgili bir derse hazır mısın, {evladım/kızım}?
dlga_lord_respond_to_insult:close_window|Beni kışkırtmaya mı çalışıyorsunuz? O halde size kadınlarla, kentlilerle, isyancılarla veya eşkıyalarla düelloya girmek gibi bir zorunluluğum olmadığını belirtmeliyim. Bugün mutlu bir günümde olduğuma şükredin, çünkü adamlarıma sizi yakalatıp kırbaçlatmaya hakkım var. Şimdi kaybolun-- Zira size yeterince tahammül ettim.
dlga_lord_respond_to_insult_challenge_battle:lord_respond_to_insult_challenge_battle_confirm|Denesinler bakalım.
dlga_lord_respond_to_insult_challenge_battle:close_window|Kan dökmeye değmez.
dlga_lord_respond_to_insult_challenge_battle_confirm:close_window|Bu ne cüret! Saldırın, dostlarım!
dlga_lord_respond_to_insult_challenge_duel:lord_respond_to_insult_challenge_duel_confirm|Size bir ders vermeye hazırım.
dlga_lord_respond_to_insult_challenge_duel:close_window|Kan dökmeye değmez.
dlga_lord_respond_to_insult_challenge_duel_confirm:close_window|Öyle olsun. Koru kendini!
dlga_lord_quarrel_intervention_1:lord_quarrel_intervention_2|{s14}
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3a|Ah, peki. Öyle görünüyor ki yasal olarak haklısınız.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b|Sorunlarınız her neyse, onları halledebiliriz.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b.1|Aranızdaki fikir ayrılıklarını gidermek için sizi ikna etmem mümkün değil mi?
dlga_lord_quarrel_intervention_2:lord_pretalk|Tekrar düşündüm de, herhangi bir şey yapmak istemiyorum.
dlga_lord_quarrel_intervention_3a:lord_pretalk|Böyle düşünmenize sevindim.
dlga_lord_quarrel_intervention_3b:lord_quarrel_intervention_4|Dostluğumuzun hatrına, bu işi sizin adaletinize bırakıyorum. {s11} ile aramı düzeltmeye çalışacağım.
dlga_lord_quarrel_intervention_3b:lord_pretalk|{s11} ile uzlaşmayacağım. Haklarımı biliyorum.
dlga_lord_quarrel_intervention_4:lord_pretalk|Tartışmamızı hiç yapmadığımızı farzedin.
dlga_lord_quarrel_intervention_4:lord_pretalk.1|Sanırım {s11} ile konuşup, onun da benim için aynısını yapıp yapmayacağını görmelisiniz.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response|Zaten sizi desteklemeye karar vermiştim.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.1|Şu an için kararsızım.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.2|{s15}'{.i} destekliyorum. {s10} 
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_choose_candidate|Size kimi desteklediğimi söyleyeyim...
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_cur_stance_plyr_response|CHEAT -- Reset support
dlga_lord_internal_politics_plyr_choose_candidate:lord_internal_politics_plyr_choose_candidate_select|Siz kimi destekliyorsunuz?
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk|Bu onurlu görev için kendimi aday gösteriyorum
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.1|Kocamı destekliyorum.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_acknowledge|Sizi destekliyorum, {s4}
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_same_acknowledge|Sizin seçiminizi destekliyorum, {s4}
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_pretalk|Boş ver.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk|Çok naziksiniz, ama bu makamda gözüm yok, bu nedenle desteğinizi istemiyorum.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.1|Size güvenmiyorum ve bu nedenle desteğinizi istemiyorum.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.2|Çok cömertsiniz.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk|Ona bunu kendin söyleyebilirsin. Size güvenmiyorum ve sizin düzenlediğiniz bir oyunun parçası olmaya niyetim yok.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.1|{s4} ile olan ilişkinize dayanarak, sizin desteğinizi kabul edeceğini zannetmem. 
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.2|{s4} bu sözlerinizi en kısa zamanda duyacak. Şüphesiz ki desteğinizden dolayı minnettar olacaktır.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.2|Desteklediğim kişi {s4}
dlga_lord_internal_politics_pretalk:lord_internal_politics_cur_stance_plyr_response|Ah. Çok ilginç.
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_request_support|Sizi, beni desteklemeye ikna edebilir miyim?
dlga_lord_internal_politics_cur_stance_plyr_response:lord_pretalk|Neyse, şimdilik bu kadar politika yeter.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk|Şu sıralar adaylığa uygun olamayacak kadar fazla tartışmaya sebebiyet verdiniz. Benim size tavsiyem, başka makamlar aramadan önce biraz beklemenizdir.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.1|Üzgünüm, {s4} ile olan ilişkime zarar vermek istemem.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.2|Zaten işlerinizden dolayı yeteri kadar toprakla ödüllendirildiniz, bence.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.3|Bu pozisyon için uygun olmadan önce kendini ispatlaman gerek.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.4|Hımm... Dostluğumuz seviyesine bakarsak, bu istediğiniz çok fazla.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.5|Sizi memnuniyetle desteklerim.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.6|[Placeholder - pardon, henüz değil]
dlga_lord_recruit_1_relation:lord_pretalk|Şu anda politika konuşmaktan yoruldum. Belki başka zaman...
dlga_lord_recruit_1_relation:lord_pretalk.1|{s12}
dlga_lord_recruit_1_relation:lord_recruit_pretender|{s16} adına yapılan isyanın koşullarını iyileştirdiniz. {reg3?Onun:Onun} davasını savunmaya mı geldiniz?
dlga_lord_recruit_pretender:lord_recruit_3_dilemma_1|Evet.
dlga_lord_recruit_pretender:lord_recruit_1_relation|Hayır bu kadar değil, konuşmak istediğim başka bir mevzu var.
dlga_lord_recruit_1_relation:lord_pretalk.2|{s12}
dlga_lord_recruit_1_relation:lord_recruit_2|{s12}
dlga_lord_recruit_2:lord_recruit_2_philosophy|Genel anlamda krallar, derebeyleri ve politika hakkında ne düşünüyorsunuz?
dlga_lord_recruit_2:lord_spouse_leave_faction|Sevgili kocam, bence {s11} ile olan ittifakını tekrar düşünmelisin.
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2|{s9} bana her zaman çok iyi bir müttefik oldu, fakat dediklerini dikkate alacağım. Ne yapmamızı önerirsin?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.1|{s9} ile olan ittifakımı bozmak için geçerli hiçbir neden göremiyorum , fakat dediklerini dikkate alacağım. Ne yapmamızı önerirsin?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.2|Evet – {s9} bir müttefik olarak tam bir hayal kırıklığı. Ne yapmamızı önerirsin?
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_husband_king|Sevgili kocam, bence bu ülkenin kralı siz olmalısınız.
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_proclaim_queen|Ben Kalradya kraliçesi olmayı hak ediyorum. 
dlga_lord_spouse_leave_faction_2:lord_pretalk|Boş ver.
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk|Belki bir gün, sevgili eşim – fakat krallığımı herkese ilan etmeden önce, kendimize krallığımızın merkezi olacak bir kale seçmeliyiz.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk|Her ne kadar bu isteğine karşı olmasam da sevgili eşim, hükümdarlığımı herkese ilan etmeden önce, ikimizden birisinin hükümdarlığımızın merkezi olacak bir kaleye sahip olması gerekli.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_spouse_leave_faction_proclaim_queen_confirm|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk.1|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:close_window|Ben hazırım kocacığım. Bize ait olan tahtımızı almak için harekete geçelim.
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:lord_pretalk|Sanırım henüz hazır değilim.
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk.1|Belki de, ama bu hak iddiasını öne sürmek için tam desteğinize ihtiyacım olacak. Bu konuyu daha ileri götürmeden önce {s4}'{.n} isyanını halletmek isteyebilirsin.
dlga_lord_spouse_leave_faction_husband_king:lord_spouse_leave_faction_husband_king_2|Bu diyarlardaki neredeyse her büyük ailenin taht üzerinde bir iddiaları vardır... Son olaylardaki başarım göz önüne alındığında, {s4} kadar kral olmaya yasal hakkım var.
dlga_lord_spouse_leave_faction_husband_king_2:lord_spouse_leave_faction_husband_king_3|Kral olduğumda, vekil atama, başka krallıklarla ilişkiler ve bunun gibi konular hakkında kararları sana bırakacağım.
dlga_lord_spouse_leave_faction_husband_king_3:close_window|Pekala kocacığım. Hadi harekete geçip taht üzerindekin iddianı öne sürelim.
dlga_lord_spouse_leave_faction_husband_king_3:lord_pretalk|Aslında biraz beklesek daha iyi.
dlga_lord_recruit_2_philosophy:lord_recruit_2|{s43} Konuşmak istediğiniz başka bir şey daha var mıydı?
dlga_lord_recruit_2:lord_recruit_2_discontent|{s15} hakkında ne hissediyorsunuz?
dlga_lord_recruit_2:lord_recruit_3_a|Size daha önceden ne söylediğimi hatırlıyor musunuz?
dlga_lord_recruit_2:lord_recruit_quarrel_describe|{s16} ile atıştığınızı duydum
dlga_lord_recruit_quarrel_describe:lord_recruit_2|Bu bir sır değil. {s14}
dlga_lord_recruit_2:lord_pretalk|Boşver.
dlga_lord_recruit_2_discontent:lord_recruit_2_discontent_b|{s12}
dlga_lord_recruit_2_discontent:lord_recruit_hesitant|{s12}
dlga_lord_recruit_2_discontent_b:lord_recruit_3|Bazen, ülkenin durumu hakkında endişeye kapılıyorum.
dlga_lord_recruit_hesitant:lord_recruit_hesitant_persuade|Biraz daha söylemeniz için size ikna edemez miyim?
dlga_lord_recruit_hesitant:lord_pretalk|Ah. Çok iyi.
dlga_lord_recruit_hesitant_persuade:lord_recruit_3|Eğer bu konuyu bir tarafa koyarsak, kabul etmeliyim ki bazen ülkenin durumu hakkında endişeye kapılıyorum.
dlga_lord_recruit_hesitant_persuade:lord_pretalk|Sabrımı zorluyorsunuz. Sana söyleyecek bir şeyimin olmadığını söyledim.
dlga_lord_recruit_3:lord_recruit_3_a|Pekala, sana söyleyeceklerim var.
dlga_lord_recruit_3:lord_pretalk|Evet, ilginç bir şey doğrusu. Fakat, bu kadar politika yeter.
dlga_lord_recruit_3_a:lord_recruit_3_reset_claim|{s12}
dlga_lord_recruit_3_reset_claim:lord_recruit_3_claim|Evet, işte bu.
dlga_lord_recruit_3_reset_claim:lord_recruit_3_a_reset|Bunu başka bir şekilde anlatayım.
dlga_lord_recruit_3_a:lord_recruit_3_b|Evet?
dlga_lord_recruit_3_a_reset:lord_recruit_3_b|Evet?
dlga_lord_recruit_3_b:lord_recruit_3_why|Kalradya tahtı için desteğinizi istiyorum.
dlga_lord_recruit_3_b:lord_recruit_3_why.1|Lordum {s45} üzerine, bütün Kalradya'nın hükümdarı olarak bağlılık yemini etmeni istiyorum.
dlga_lord_recruit_3_b:lord_pretalk|Boşver.
dlga_lord_recruit_3_dilemma_1:lord_recruit_3_dilemma_2|{s43}
dlga_lord_recruit_3_dilemma_2:lord_recruit_3_why|{s43}
dlga_lord_recruit_3_why:lord_pretalk|Ne senin ne de benim sahip olduğumuz tek bir kalemiz yok. Krallığımızı ormanda bir haydut ininden mi yöneteceğiz?
dlga_lord_recruit_3_why:lord_recruit_3_d|{s44} denen {adamı/kadını} neden destekleyeyim?
dlga_lord_recruit_3_d:lord_recruit_3_claim|{s43}
dlga_lord_recruit_3_d:lord_recruit_3_claim.1|Eğer {s45} {s47} olsaydı, {s45} bütün insanlarla adil davranıp, halkın haklarını sonuna kadar savunurdu.
dlga_lord_recruit_3_d:lord_recruit_3_claim.2|Eğer {s45} {s47} olsaydı, {s45} senin bütün ezeli haklarını bu ülkenin bir soylusuymuşsun gibi desteklerdi.
dlga_lord_recruit_3_d:lord_recruit_3_claim.3|Çünkü {s45} tüm Kalradya'yı birleştirip, bu kavgaya bir son verebilir.
dlga_lord_recruit_3_d:lord_recruit_3_claim.4|Çünkü {s45} seni topraklarla ödüllendirecek.
dlga_lord_recruit_3_d:lord_pretalk|Boşver.
dlga_lord_recruit_3_claim:lord_recruit_3_claim|Belkide herkese duymak istedikleri şeyleri söylüyorsunuzdur? {s12}
dlga_lord_recruit_3_claim:lord_recruit_4|{s12}
dlga_lord_recruit_3_claim:lord_pretalk|{s12}
dlga_lord_recruit_4:lord_recruit_4_objective_conditions|{s16} üzerine bağlılık yemini etmeni istiyorum.
dlga_lord_recruit_4:lord_pretalk|Boşver.
dlga_lord_recruit_4_objective_conditions:lord_recruit_5_security|Düşünmeme izin ver...
dlga_lord_recruit_5_security:lord_recruit_5_political|{s32}
dlga_lord_recruit_5_political:lord_recruit_5_ideological|{s31}
dlga_lord_recruit_5_ideological:lord_recruit_5_change_sides|{s33}
dlga_lord_recruit_5_change_sides:lord_recruit_6|{s34}
dlga_lord_recruit_6:lord_recruit_6_reaction|Bir karar vermenizin zamanı geldi.
dlga_lord_recruit_6:lord_pretalk|Herhangi birşeye karar vermeye gerek yok – bunu daha sonra konuşabiliriz.
dlga_lord_recruit_6_reaction:lord_recruit_7_decision|Pekala...
dlga_lord_recruit_7_decision:lord_pretalk|{s12}
dlga_lord_recruit_7_decision:lord_recruit_pledge|Pekala – {s4} üzerine {reg4?kraliçem:kralım} olarak bağlılık yemini etmeye hazırım.
dlga_lord_recruit_pledge:lord_recruit_pledge|Unutma. Bana toprak sözü vermiştin ve bu sözüne sadık kalacaksın.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude|Peki o halde – Sana, sadık bir derebeyin olarak bağlılık yemini ediyorum. Düşmanlarınla savaşmak için kılıcım artık senin tarafında olacak, senin ve yasal varislerinin haklarını ve davalarını sonuna kadar savunacağım. Karşılığında ise beni koruyacak ve derebeyin olarak kabul edeceksin.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude.1|Peki o halde – {s4}, artık {reg4?onun:onun} sadık derebeyi olduğum hakkında bilgilendirsin. Bundan böyle {reg4?onu:onu} son nefesime kadar izleyip, düşmanlarına karşı her savaşında, kılıcım artık onun tarafında olacak, {reg4?onun:onun} ve yasal varislerinin haklarını ve davalarını sonuna kadar savunacağım. Karşılığında ise beni korumasını ve derebeyi olarak kabul etmesini istiyorum..
dlga_lord_recruit_pledge_conclude:close_window|Şimdi... Bu kararım çok önemli bir adımdı. Müsadenizi alıyorum, çünkü kendimi bir sonrakilere hazırlamak için zamana ihtiyacım olabilir.
dlga_lord_start:close_window.3|{s10} aracılığıyla bana sunulan hediyeyi aldım. Bu çok onurlu bir jestti, {efendim/hanımım}, ve sizinle atıştığım için pişmanım.
dlga_lord_start:close_window.4|{s10} aracılığıyla bana sunulan hediyeyi aldım. {reg4?Sizin:Sizin} hatrınıza, geçmişi geçmişte bırakmaya hazırım.
dlga_lord_start:close_window.5|{s10} aracılığıyla bana sunulan hediyeyi aldım. Peh! Dostluğumu satın alabileceğini mi düşündün?
dlga_lord_start:close_window.6|{s10} aracılığıyla bana sunulan hediyeyi aldım. Çok naziksiniz, fakat aramızdaki kavgayı unutabileceğimi sanmıyorum.
dlga_lord_talk:denounce_lord_results|Tavsiyenize uydum ve {s4} denen adamı ifşa ettim.
dlga_denounce_lord_results:lord_pretalk|Evet,umarım artık {s4} ona güvenip başka toprak, onur ve makamlar vermeden önce iki kere düşünür. Sana çok müteşekkiriz.
dlga_denounce_lord_results:close_window|Demek öyle – benim duyduğuma göre seni sözlerini geri almak zorunda bırakmış, ve görünüşe göre bu durumdan eskisinden de güçlenerek çıkmış. Size teşekkür sözleri söyleyemediğim için beni bağışlayın.
dlga_lord_talk:lord_quest_intrigue_result|İstediğiniz gibi yaptım, ve {s5} ile {s4} tarafından yayılan tehlike hakkında görüştüm.
dlga_lord_quest_intrigue_result:lord_pretalk|Biz de öyle duyduk. Ne mutlu ki artık {s4} ona toprak, ödül, ya da makam vermeden önce iki defa düşünecek. Yaptıklarından dolayı sana minnettarız.
dlga_lord_quest_intrigue_result:close_window|Biz de öyle duyduk – fakat ne yazık ki, {s5} dikkate almış gibi görünmüyor. Yine de, yaptıklarından dolayı sana minnettarız.
dlga_lord_talk:lord_lend_companion_end|{s14} ile başka işiniz yoksa, onu geri almak istiyorum, {reg65}.
dlga_lord_lend_companion_end:lord_pretalk|Grubunda zaten yeterinden fazla adam var, {playername}. Şu an daha fazlasını yönetemezsin.
dlga_lord_lend_companion_end:lord_pretalk.1|Pek tabi, {playername}. Kendisi çok parlak bir {reg3?kız:çocuk}, böyle değerli yandaşların olduğu için çok şanslı bir {adamsın/kadınsın}.
dlga_lord_talk:lord_ask_to_collect_debt|{s1} adına borcunu toplamaya geldim.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Oh. Yani, {s1} bana bir süre önce bir miktar borç vermişti ama ona geçmişte pek çok iyilik yaptım, o parayı da bu iyiliklerime karşılık olarak kabul ediyorum.
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1} bunu bir borç olarak kabul ediyor. Onun adına sizinle konuşmamı rica etti.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|Bu durumda daha fazla uzatmayacağım.
dlga_convince_accept:close_window|{s8}'{.e} olan borcumun vakti geçmişti ve bana büyük rahatsızlık veriyordu. Bu parayı ona götürmeyi kabul ettiğiniz için teşekkür ederim. Lütfen ona bu {reg10} dinarı verin ve adıma teşekkür edin.
dlga_lord_talk:lord_ask_to_make_peace|Lütfen, {s64}, artık {s12} ve {s13} arasındaki savaşı sonlandırmanın vakti geldi.
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|Eh? Seni doğru duyduğuma emin değilim, {playername}. Savaş tarafların hiçbiri için kolayca unutulmaz, ve benim sağlam bir hafızam vardır. Ne için bu köpeklerle barış ayarlamaya ilgi duyayım ki?
dlga_lord_ask_to_make_peace_2:convince_begin|Belki konuşup anlaşabiliriz.
dlga_lord_ask_to_make_peace_2:lord_pretalk|Boşversene, barış biraz daha bekleyebilir.
dlga_convince_accept:close_window.1|Sen... beni ikna ettin, {playername}. Pekala o zaman, {s14} ile barış yapılması için onayımı aldın. Kabul edeceklerini garantileyemem, ama eğer de olursa, karara saygı göstereceğim.
dlga_lord_talk:lord_challenge_duel_for_lady|{s1} üzerine olan suçlamalarını geri almanı istiyorum.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|Ne suçlaması? Herkes o kadının kocası yokken ahır uşaklarıyla ve eline geçirdiği herkesle yattığını biliyor. Ben sadece pek çoğunun söylediğini tekrarlıyorum.
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|Bu yalanlarını geri alacaksın, adi herif, yoksa onları kılıcıma karşı kanıtlaman gerekecek!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|Eğer öyle diyorsan...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|{s5} ile evlenme fikrinden vazgeç!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Yoksa ne? Bir kadın için dövüşmek mi istiyorsun? Şunu aklından çıkarma ki – lordumuz, omuz omuza düşmanlara karşı savaşmamız gerekirken, bu çocuksu savaşa girişmemizi öfkeyle karşılayacaktır.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Benimle dövüşmekten korkuyor musun?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|Özür dilerim. Düşüncesizce konuştum...
dlga_lord_talk:lord_message_delivered|{s9}'{.den} bir mesaj getiriyorum.
dlga_lord_message_delivered:lord_pretalk|Oh? Şuna bir bakayım... Pekala! Bunu bana getirmeniz takdire şayan bir şey, {playername}. Mührümü, mektubu aldığıma dair delil olarak al ve {s9} ile tekrar karşılaştığında ona selamlarımı ilet.
dlga_lord_talk:lord_message_delivered_enemy|{s9}'{.den} bir mesaj getiriyorum.
dlga_lord_message_delivered_enemy:close_window|Öyle mi? Bakalım... Hımm... Bunu bana getirdiğin iyi oldu, {playername}.  Teşekkürlerimle birlikte, mesajı aldığıma dair kanıt olarak mührümü al.
dlga_lord_talk:lord_deliver_message_prisoner|Size {s11}'{.den} bir mesaj getirdim.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Gerçek olabilir mi? Ah, çok müteşekkirim, {playername}! Bu kasvetli duvarların arasına küçük bir ışık ve umut getirdiniz. Belki bir gün size bu iyiliğinizin karşılığını ödeyebilirim.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a|Elimden geleni yaptım, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|Ne kadar minnettar olduğumu anlatamam, {playername}. Binlerce kez teşekkür ederim.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Endişelenmeyin, {s65}. Özgür kaldığınızda elinize pek çok şans geçecek.
dlga_lord_deliver_message_prisoner_2b:close_window|Hah, tabii ki, {playername}. Sonsuz teşekkürlerimi sunuyorum.
dlga_lord_talk:lord_rescue_by_replace_offer|Korkmayın, sizi kurtarmak için buradayım.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|Tanrım, siz ciddi misiniz? Planınız nedir?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|Basit bir hile, {s65}. Eğer kıyafetlerimizi değiştirirsek, ben sizin yerinize burada hapise geçebilirim; bu arada siz de ben olarak dışarı çıkarsınız.  Nöbetçilere de güzel bir rüşvet verdim, eminim en yakın hanın içki stoklarının yarısını almışlardır. Biraz da şansla, o kadar sarhoş olacaklar ki, bizi ayırt etmek bir yana dursun, kendi annelerini tanımakta zorlanacaklar. En azından siz buradan güvenli bir yere uzaklaşıncaya kadar.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Hmm, işe yarayabilir... Peki ya siz, dostum? Nöbetçiler bu numarayı iyi karşılamayacaklardır. Sonunda bu hücrede vakit geçirmeniz gerekebilir.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Endişelenmeyin, {s65}. Burasını şimdiden sevmeye başladım.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|Işin sonunda beni bekleyen iyi bir ödül olduğu sürece ben de iyi olacağım
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|Hakikaten cesur bir ruhsunuz. Bunu unutmayacağım
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Tabii ki, {dostum/hanımım}, tabii ki! Özgürlüğüne kavuştuğunda beni ziyarete gel ve belki borcunuzu bir şekilde ödeyebilirim.
dlga_lord_rescue_by_replace_offer_6:close_window|Acele et, {s65}, kıyafetlerimizi değişelim. Ayrılma vaktiniz geldi de geçiyor bile.
