str_no_string|¡NO STRING!
str_npc70_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc71_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc72_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc73_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc74_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc75_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc76_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc77_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc78_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc79_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc80_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc81_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc82_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc83_payment|Me alegraría prometer mi lealtad a vos por {reg3} denares.
str_npc84_payment|I would be glad to pledge my fealty to you for {reg3} denars.
str_npc85_payment|I would be glad to pledge my fealty to you for {reg3} denars.
str_npc86_payment|I would be glad to pledge my fealty to you for {reg3} denars.
str_npc87_payment|I would be glad to pledge my fealty to you for {reg3} denars.
str_npc88_payment|I would be glad to pledge my fealty to you for {reg3} denars.
str_npc1_payment_response|Very well, here's {reg3} gold. I will see you outside.
str_npc2_payment_response|Of course Felix, here is {reg3} gold.
str_npc3_payment_response|Very well.
str_npc4_payment_response|Here is {reg3} gold Oggy. Welcome to my party.
str_npc5_payment_response|Well... here's {reg3} gold, then. Your first payment.
str_npc6_payment_response|Take {reg3} gold, it's yours.
str_npc7_payment_response|Here's {reg3} gold.
str_npc8_payment_response|Here's {reg3} gold for you.
str_npc9_payment_response|Very well, here's {reg3} gold.
str_npc10_payment_response|Of course. Here's, {reg3} gold.
str_npc11_payment_response|Very well, here's {reg3} gold. Make yourself ready. We leave soon.
str_npc12_payment_response|Here you go, not that you'd know what to do with it.
str_npc13_payment_response|Of course, here's {reg3} gold. Make ready to leave soon.
str_npc14_payment_response|All right, here's {reg3} gold. You are most welcome in our company.
str_npc15_payment_response|All right, here's {reg3} gold. Glad to have you with us.
str_npc16_payment_response|All right, here's {reg3} gold for you. Make yourself ready.
str_npc17_payment_response|Of course. Here's, {reg3} gold.
str_npc18_payment_response|As you wish. Here's, {reg3} gold.
str_npc19_payment_response|.
str_npc20_payment_response|Here you go.
str_npc21_payment_response|You can have {reg3} gold
str_npc22_payment_response|You can have {reg3} gold.
str_npc23_payment_response|Here's {reg3} gold.
str_npc24_payment_response|Very well.
str_npc25_payment_response|Of course. Here, {reg3} gold.
str_npc26_payment_response|You can have {reg3} gold.
str_npc27_payment_response|Here is {reg3} gold
str_npc28_payment_response|Here's {reg3} gold.
str_npc29_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc30_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc31_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc32_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc33_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc34_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc35_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc36_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc37_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc38_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc39_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc40_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc41_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc42_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc43_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc44_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc45_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc46_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc47_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc48_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc49_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc50_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc51_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc52_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc53_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc54_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc55_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc56_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc57_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc58_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc59_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc60_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc61_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc62_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc63_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc64_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc65_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc66_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc67_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc68_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc69_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc70_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc71_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc72_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc73_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc74_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc75_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc76_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc77_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc78_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc79_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc80_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc81_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc82_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc83_payment_response|Muy bien, aquí están {reg3} denares para vos. Ahora conquistemos estas tierras.
str_npc84_payment_response|All right, here's {reg3} denars for you. Let us conquer these lands.
str_npc85_payment_response|All right, here's {reg3} denars for you. Let us conquer these lands.
str_npc86_payment_response|All right, here's {reg3} denars for you. Let us conquer these lands.
str_npc87_payment_response|All right, here's {reg3} denars for you. Let us conquer these lands.
str_npc88_payment_response|All right, here's {reg3} denars for you. Let us conquer these lands.
str_npc1_morality_speech|Listen here {playername}. I did not join this company to be led by someone who {s21}. Make sure you do not do it again or we will fall out.
str_npc2_morality_speech|{reg33?Madame:Sir} -- I'm not altogether happy that we {s21}. To accept a quest is like an oath and you should make sure it is seen through. I trust you will not let this happen again.
str_npc3_morality_speech|Perhaps it is not my place to say so, {reg33?madame:sir}, but I confess that I am somewhat shocked that we {s21}. Of course I realize that war is cruel, but there is no need to make it more cruel than necessary.
str_npc4_morality_speech|Excuse me {reg33?Madame:Sir}. I am happy to serve you but not if we {s21}, I do not wish to be associated with this kind of action. I am quite alarmed.
str_npc5_morality_speech|If someone gives you a job then you must complete it. This is a first principle. You should not {s21} as it makes you look weak.
str_npc6_morality_speech|Why did you attack those innocent people? This does not look good for your character when you {s21}, I suggest you be very careful.
str_npc7_morality_speech|I was not pleased that you decided to {s21}. You have responsibilities to your men, if you want respect see that they are fulfilled.
str_npc8_morality_speech|{playername} It is a bit much that you {s21}. I know I am guilty of the odd criminal act or two but that is just thieving. What you are doing is crossing the line.
str_npc9_morality_speech|Some may complain that you {s21} but I don't think you should care, I wouldn't.
str_npc10_morality_speech|Yes {playername}, this is will please the Gods. Next time we leave no one alive, not even the children.
str_npc11_morality_speech|I know much more than you about how to be a successful leader and I can tell you now that {s21} is not the way to win the respect of you troops. I know you are relatively new to this but you should know better. I am embarrassed to be led by you.
str_npc12_morality_speech|Bug likes {s21}.
str_npc13_morality_speech|I must protest most vigorously against you {s21}. No honourable leader would actively encourage such an action. I pray you do nothing of the sort again.
str_npc14_morality_speech|I urge you to forget the fact that you {s21} captain. Some might get annoyed but you tried your best which is all one can do.
str_npc15_morality_speech|{reg33?Madame:Sir} -- just so you know my opinion, any commander with sense will not let his company {s21}.I hope you don't mind me speaking so bluntly.
str_npc16_morality_speech|{reg33?Madame:Sir}, We just look weak if we {s21}, we don't want to look weak now do we?
str_npc17_morality_speech|As our leader you should not encourage us to {s21}. Whatever the danger we must face it, not run and hide like halflings.
str_npc18_morality_speech|No captain this is not the way to lead. What are you thinking {s21}, looks like your brains are a tiny as your balls.
str_npc19_morality_speech|You know I don't know much but I have heard that {s21} is not a good thing. Maybe you should stop doing it.
str_npc20_morality_speech|Sometimes you just can't do what people ask you to do captain. It is a tough world and things can prevent even the very best from seeing things through. Do not be disheartened for you will make ammends.
str_npc21_morality_speech|It's a damn shame that you made us {s21} {playername}. We should stand up to our enemies in future.
str_npc22_morality_speech|You should be more careful that {s21} doesn't happen again captain. It doesn't reflect well on any of us.
str_npc23_morality_speech|I know I am hardly the, hic, paragon of righteousness captain. But in future you should not {s21}. That's a low thing to do, either sober, hic, or drunk.
str_npc24_morality_speech|When I joined you {reg33?Madame:Sir} I didn't think that I would be party to {s21}. I am not happy seeing this happen so I urge you to not allow it to happen again.
str_npc25_morality_speech|You really should take care not to {s21} captain. You have a responsibility, please don't forget it.
str_npc26_morality_speech|Looting is just a fact of life isn't it captain. Some people kick up a fuss about it but so many Lords do it so why shouldn't we.
str_npc27_morality_speech|Unless you want me to break you in two I suggest that you never {s21} again.
str_npc28_morality_speech|It is not only looks by which you are judged but also your actions. While you do do things like {s21} you only bring shame on yourself and your company.
str_npc29_morality_speech|No me gusta cuando hacéis {s21}.
str_npc30_morality_speech|No me gusta cuando hacéis {s21}.
str_npc31_morality_speech|No me gusta cuando hacéis {s21}.
str_npc32_morality_speech|No me gusta cuando hacéis {s21}.
str_npc33_morality_speech|No me gusta cuando hacéis {s21}.
str_npc34_morality_speech|No me gusta cuando hacéis {s21}.
str_npc35_morality_speech|No me gusta cuando hacéis {s21}.
str_npc36_morality_speech|No me gusta cuando hacéis {s21}.
str_npc37_morality_speech|No me gusta cuando hacéis {s21}.
str_npc38_morality_speech|No me gusta cuando hacéis {s21}.
str_npc39_morality_speech|No me gusta cuando hacéis {s21}.
str_npc40_morality_speech|No me gusta cuando hacéis {s21}.
str_npc41_morality_speech|No me gusta cuando hacéis {s21}.
str_npc42_morality_speech|No me gusta cuando hacéis {s21}.
str_npc43_morality_speech|No me gusta cuando hacéis {s21}.
str_npc44_morality_speech|No me gusta cuando hacéis {s21}.
str_npc45_morality_speech|No me gusta cuando hacéis {s21}.
str_npc46_morality_speech|No me gusta cuando hacéis {s21}.
str_npc47_morality_speech|No me gusta cuando hacéis {s21}.
str_npc48_morality_speech|No me gusta cuando hacéis {s21}.
str_npc49_morality_speech|No me gusta cuando hacéis {s21}.
str_npc50_morality_speech|No me gusta cuando hacéis {s21}.
str_npc51_morality_speech|No me gusta cuando hacéis {s21}.
str_npc52_morality_speech|No me gusta cuando hacéis {s21}.
str_npc53_morality_speech|No me gusta cuando hacéis {s21}.
str_npc54_morality_speech|No me gusta cuando hacéis {s21}.
str_npc55_morality_speech|No me gusta cuando hacéis {s21}.
str_npc56_morality_speech|No me gusta cuando hacéis {s21}.
str_npc57_morality_speech|No me gusta cuando hacéis {s21}.
str_npc58_morality_speech|No me gusta cuando hacéis {s21}.
str_npc59_morality_speech|No me gusta cuando hacéis {s21}.
str_npc60_morality_speech|No me gusta cuando hacéis {s21}.
str_npc61_morality_speech|No me gusta cuando hacéis {s21}.
str_npc62_morality_speech|No me gusta cuando hacéis {s21}.
str_npc63_morality_speech|No me gusta cuando hacéis {s21}.
str_npc64_morality_speech|No me gusta cuando hacéis {s21}.
str_npc65_morality_speech|No me gusta cuando hacéis {s21}.
str_npc66_morality_speech|No me gusta cuando hacéis {s21}.
str_npc67_morality_speech|No me gusta cuando hacéis {s21}.
str_npc68_morality_speech|No me gusta cuando hacéis {s21}.
str_npc69_morality_speech|No me gusta cuando hacéis {s21}.
str_npc70_morality_speech|No me gusta cuando hacéis {s21}.
str_npc71_morality_speech|No me gusta cuando hacéis {s21}.
str_npc72_morality_speech|No me gusta cuando hacéis {s21}.
str_npc73_morality_speech|No me gusta cuando hacéis {s21}.
str_npc74_morality_speech|No me gusta cuando hacéis {s21}.
str_npc75_morality_speech|No me gusta cuando hacéis {s21}.
str_npc76_morality_speech|No me gusta cuando hacéis {s21}.
str_npc77_morality_speech|No me gusta cuando hacéis {s21}.
str_npc78_morality_speech|No me gusta cuando hacéis {s21}.
str_npc79_morality_speech|No me gusta cuando hacéis {s21}.
str_npc80_morality_speech|No me gusta cuando hacéis {s21}.
str_npc81_morality_speech|No me gusta cuando hacéis {s21}.
str_npc82_morality_speech|No me gusta cuando hacéis {s21}.
str_npc83_morality_speech|No me gusta cuando hacéis {s21}.
str_npc84_morality_speech|I dislike when you do {s21}.
str_npc85_morality_speech|I dislike when you do {s21}.
str_npc86_morality_speech|I dislike when you do {s21}.
str_npc87_morality_speech|I dislike when you do {s21}.
str_npc88_morality_speech|I dislike when you do {s21}.
str_npc1_2ary_morality_speech|That was a bloody battle {playername}. There may be a lot of {s21} but that is acceptable so long as we achieve our mission at hand. Let us advance forward with haste.
str_npc2_2ary_morality_speech|[No secondary moral code]
str_npc3_2ary_morality_speech|{reg33?Madame:Sir} -- I think it was a brave decision you took to {s21}. There is no shame in finding a way to avoid the spilling of blood.
str_npc4_2ary_morality_speech|[No secondary moral code]
str_npc6_2ary_morality_speech|Though it is regrettable sometimes you must {s21}. Do not let it weigh too heavily on you as a leader must make tough choices for the greater good.
str_npc9_2ary_morality_speech|I did not join your army to fail, Venators are who we are because we succeed. If you do not lead this party properly I will leave.
str_npc13_2ary_morality_speech|{reg33?Madame:Sir}, honour is everything and going back on your word does your reputation no good. It also harms the reputation of those under you as well so please do not associate us with this.
str_npc14_2ary_morality_speech|[No secondary moral code]
str_npc15_2ary_morality_speech|You know, friend {playername}, it's none too reassuring to see how you just {s21}. If you can break your word to them, you can break your word to me, is how I figure it.
str_npc17_2ary_morality_speech|It is a terrible thing when a battle leads to {s21} but sometimes a high price must be paid for victory. This is the reality of war.
str_npc18_2ary_morality_speech|You know noone said that having fun had to be moral. I know they say ask and you receive but I say take and you shall receive. Plus asking is boring as there is never any fighting that way.
str_npc20_2ary_morality_speech|[No secondary moral code]
str_npc21_2ary_morality_speech|[No secondary moral code]
str_npc22_2ary_morality_speech|[No secondary moral code]
str_npc23_2ary_morality_speech|[No secondary moral code]
str_npc24_2ary_morality_speech|[No secondary moral code]
str_npc25_2ary_morality_speech|[No secondary moral code]
str_npc26_2ary_morality_speech|[No secondary moral code]
str_npc27_2ary_morality_speech|[No secondary moral code]
str_npc28_2ary_morality_speech|[No secondary moral code]
str_npc29_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc30_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc31_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc32_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc33_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc34_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc35_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc36_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc37_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc38_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc39_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc40_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc41_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc42_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc43_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc44_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc45_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc46_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc47_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc48_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc49_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc50_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc51_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc52_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc53_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc54_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc55_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc56_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc57_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc58_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc59_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc60_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc61_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc62_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc63_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc64_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc65_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc66_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc67_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc68_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc69_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc70_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc71_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc72_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc73_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc74_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc75_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc76_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc77_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc78_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc79_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc80_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc81_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc82_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc83_2ary_morality_speech|Hacer {s21} no me molesta en absoluto.
str_npc84_2ary_morality_speech|Doing {s21} doesn't bother me at all.
str_npc85_2ary_morality_speech|Doing {s21} doesn't bother me at all.
str_npc86_2ary_morality_speech|Doing {s21} doesn't bother me at all.
str_npc87_2ary_morality_speech|Doing {s21} doesn't bother me at all.
str_npc88_2ary_morality_speech|Doing {s21} doesn't bother me at all.
str_npc1_personalityclash_speech|I feel disgusted having to share a party with {s11}. He acts so superior yet has spent his entire life in the service of others, never his own man. 
str_npc2_personalityclash_speech|You do yourself dishonour having {s11} in our company. He is a Skaven, a plague on this world, and he is a ruthless killer with no ounce of goodness in him.
str_npc3_personalityclash_speech|{reg33?Madame:Sir}, I appeal to you to relieve {s11} from your service as he is a threat to my life and to others here who he dislikes. You cannot control him or keep him in line, it is only a matter of time.
str_npc4_personalityclash_speech|{reg33?Madame:Sir}, you need to do something about the evil barbarism of {s11}. He tries everything he can to stop me from saving the life and health of your troops and he makes threats to me I fear he will carry out.
str_npc5_personalityclash_speech|I couldn't care less that {s11} hates me, but not being able to kill him is driving me insane. I will honour the mercenary code as you pay well but at least send him away, preferably to a task he can't possibly survive.
str_npc6_personalityclash_speech|{s11} may be virtuous but he is a poor judge of character. He continually insults my character but he knows nothing of my world or the work I do.
str_npc7_personalityclash_speech|I had heard of this {s11} character before I joined your party. Most people have and his reputation is certainly formidable but after spending some time with him I am left quite underwhelmed.
str_npc8_personalityclash_speech|Do you know how much money {s11} makes. He even takes a tithe from his venators just for using his name, and they call me a thief.
str_npc9_personalityclash_speech|Is hiring {s11} some kind of joke. You can be questionable as a leader at the best of times but you look like a fool having him in your employment.
str_npc10_personalityclash_speech|If some of our troops are close to death then let them die. There is honour in death, {s11} dishonours the Gods by doing his healing and surgery.
str_npc11_personalityclash_speech|When I leave I will pay you a handsome sum if you release {s11} as well. I will have my troops ready to take him back to the black towers for torture and eventual death.
str_npc12_personalityclash_speech|Booooooooooooooooooooooooooo {s11}, Bug wants to slice and dice.
str_npc13_personalityclash_speech|{reg33?Madame:Sir}, I understand that not everyone aspires to the same code as me but there is a limit to what I will tolerate and {s11} is that limit.
str_npc14_personalityclash_speech|Captain I am most upset with {s11} being in our group. I have only just got over the great evil he committed against me and now seeing his face every day is bringing it all back.
str_npc15_personalityclash_speech|The reason I have respect for all cultures and races is that behind the rituals, beliefs and psychological particulars there are many similarities between us all and at our base we are not so different. There is alot to admire in most races and individuals.
str_npc16_personalityclash_speech|I know that I am not as effective on the battlefield as others here but I feel that any criticisms should come from you and not {s11} as you are my leader.
str_npc17_personalityclash_speech|{playername} I object to that drunken dwarf {s11} being in this crew with us. He never does anything anyone tells him, I have even seen him ignore some of your orders recently. He is a law unto himself.
str_npc18_personalityclash_speech|I must admit it is fun winding up Florin but at the same time he is a pathetic pain in the arse. Men have this complex where they have to be thought of highly and they have to be better than there peers, especially women.
str_npc19_personalityclash_speech|For a race so territorial it is funny how they always encroach upon our territories in the Amazon. They are hypocrites and {s11} is the biggest one of them all.
str_npc20_personalityclash_speech|When I said I would join you I didn't think I would have to spend any time with {s11}. She is a liar and a cheat and she owes me a lot of money.
str_npc21_personalityclash_speech|Excuse me Captain but can I ask that {s11} be formally dismissed. He has offended me greatly as well as being an all round untrustworthy companion.
str_npc22_personalityclash_speech|Captain I have my respect for the skills of the fighting women of Amazonia but not for {s11}. She is lightweight and also incredibly ignorant
str_npc23_personalityclash_speech|You know Captain that {s11} is not a very good sport. I mean her no harm in my compliments, it's just when a fine single lady is in my presence why would I not turn on the Bastich charm.
str_npc24_personalityclash_speech|I know that I am not as effective on the battlefield as others but I feel that any criticisms should come from you and not {s11} as you are my leader.
str_npc25_personalityclash_speech|One moment Captain. I know strength and power are extremely useful for an ambitious leader such as yourself but intelligence is also an important attribute and I fear that {s11} is far too lacking in that area.
str_npc26_personalityclash_speech|Why Thrud get more respect than me? Everyone speaks of him like he is a God yet no one sees that I am the best fighter in your party.
str_npc27_personalityclash_speech|You are supposed to destroy the undead not have them fight with us, especially their best troops.
str_npc28_personalityclash_speech|The chaos have been invading the Empire for generations at the cost of tens of thousands of lives. They are dirty fighters and relentless and I have hated them since I was a young boy.
str_npc29_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc30_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc31_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc32_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc33_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc34_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc35_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc36_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc37_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc38_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc39_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc40_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc41_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc42_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc43_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc44_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc45_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc46_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc47_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc48_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc49_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc50_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc51_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc52_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc53_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc54_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc55_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc56_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc57_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc58_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc59_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc60_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc61_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc62_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc63_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc64_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc65_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc66_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc67_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc68_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc69_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc70_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc71_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc72_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc73_personalityclash_speech|Simplemente no me gusta {s11}.
str_npc74_personalityclash_speech|Simplemente no me gusta {s11}.
